"SYMBOL ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","LTP ","CHNG ","%CHNG ","VOLUME (shares)","VALUE ","52W H ","52W L ","30 D   %CHNG ","365 D % CHNG  21-Sep-2022"
"NIFTY 50","19,744.85","19,798.65","19,657.50","19,742.35","19,674.25","-68.10","-0.34","246,410,075","241,374,610,405.37","20,222.45","16,747.70","1.48","13.54"
"INDUSINDBK","1,416.00","1,463.50","1,413.00","1,411.30","1,451.65","40.35","2.86","4,397,398","6,350,238,477.82","1,475.65","990.00","1.95","22.78"
"MARUTI","10,378.00","10,566.75","10,308.45","10,284.30","10,552.60","268.30","2.61","986,206","10,321,799,651.02","10,623.65","8,076.05","10.04","12.75"
"SBIN","593.50","602.00","591.40","588.15","598.70","10.55","1.79","18,784,139","11,235,169,218.68","629.55","499.35","3.67","8.64"
"M&M","1,580.00","1,617.95","1,566.10","1,583.25","1,610.00","26.75","1.69","3,827,771","6,128,299,648.71","1,670.00","1,123.40","4.21","26.32"
"ASIANPAINT","3,234.95","3,283.60","3,221.15","3,244.20","3,280.50","36.30","1.12","896,521","2,924,612,875.78","3,582.90","2,685.85","1.53","-3.55"
"TECHM","1,290.05","1,320.00","1,284.00","1,291.65","1,306.00","14.35","1.11","3,252,940","4,253,999,755.60","1,320.00","981.05","8.86","26.11"
"BAJAJFINSV","1,528.00","1,551.00","1,524.90","1,526.20","1,541.00","14.80","0.97","1,321,743","2,040,202,842.51","1,820.00","1,215.00","5.11","-10.35"
"LT","2,908.70","2,936.45","2,902.25","2,899.35","2,924.85","25.50","0.88","1,965,569","5,740,719,444.16","3,009.00","1,797.40","8.57","57.17"
"COALINDIA","280.00","286.10","279.20","280.45","282.80","2.35","0.84","8,691,024","2,461,124,176.32","288.00","207.60","23.60","27.15"
"HEROMOTOCO","3,010.00","3,040.00","2,990.15","3,000.95","3,025.00","24.05","0.80","323,540","977,870,531.40","3,244.00","2,246.00","3.24","9.44"
