"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","2,489.95","2,498.00","2,460.00","2,479.25","2,462.00","2,464.90","2,474.07","4,190.00","1,017.45","865,589","2,141,528,315.00","44,391"
"21-Sep-2023","EQ","2,479.80","2,503.80","2,461.00","2,470.30","2,481.00","2,479.25","2,482.40","4,190.00","1,017.45","1,279,908","3,177,248,552.25","72,931"
"20-Sep-2023","EQ","2,502.40","2,533.65","2,458.90","2,502.45","2,470.40","2,470.30","2,489.13","4,190.00","1,017.45","1,203,019","2,994,474,438.95","53,694"
"18-Sep-2023","EQ","2,552.00","2,555.00","2,491.00","2,540.05","2,503.00","2,502.45","2,521.46","4,190.00","1,017.45","861,677","2,172,682,220.55","41,768"
"15-Sep-2023","EQ","2,519.80","2,558.00","2,514.20","2,519.80","2,537.90","2,540.05","2,539.20","4,190.00","1,017.45","1,547,001","3,928,138,873.75","59,448"
"14-Sep-2023","EQ","2,541.85","2,545.00","2,506.05","2,518.90","2,516.00","2,519.80","2,524.05","4,190.00","1,017.45","1,218,481","3,075,505,237.20","66,834"
"13-Sep-2023","EQ","2,545.70","2,566.95","2,496.00","2,535.70","2,525.00","2,518.90","2,528.52","4,190.00","1,017.45","1,780,068","4,500,935,940.00","64,129"
"12-Sep-2023","EQ","2,622.45","2,626.60","2,530.00","2,614.95","2,532.05","2,535.70","2,555.52","4,190.00","1,017.45","5,658,774","14,461,129,168.90","147,400"
"11-Sep-2023","EQ","2,565.00","2,630.25","2,546.00","2,519.30","2,612.00","2,614.95","2,581.13","4,190.00","1,017.45","9,148,241","23,612,771,041.40","181,137"
"08-Sep-2023","EQ","2,513.80","2,538.60","2,506.10","2,509.50","2,519.00","2,519.30","2,526.49","4,190.00","1,017.45","5,640,973","14,251,847,311.05","91,658"
"07-Sep-2023","EQ","2,498.00","2,520.00","2,485.00","2,496.50","2,506.00","2,509.50","2,506.00","4,190.00","1,017.45","4,298,988","10,773,283,012.10","65,954"
"06-Sep-2023","EQ","2,494.05","2,504.00","2,471.00","2,494.05","2,489.45","2,496.50","2,493.74","4,190.00","1,017.45","7,416,248","18,494,182,978.55","129,014"
"05-Sep-2023","EQ","2,482.00","2,501.40","2,464.00","2,470.60","2,488.00","2,494.05","2,488.19","4,190.00","1,017.45","6,489,319","16,146,683,103.20","124,950"
"04-Sep-2023","EQ","2,454.00","2,480.00","2,450.05","2,450.05","2,470.50","2,470.60","2,470.54","4,190.00","1,017.45","5,998,454","14,819,412,140.30","104,932"
"01-Sep-2023","EQ","2,381.00","2,465.55","2,380.00","2,419.25","2,449.90","2,450.05","2,441.84","4,190.00","1,017.45","6,764,397","16,517,563,367.45","169,694"
"31-Aug-2023","EQ","2,449.95","2,489.95","2,383.75","2,513.10","2,425.00","2,419.25","2,437.26","4,190.00","1,017.45","6,230,369","15,185,030,913.50","209,189"
"30-Aug-2023","EQ","2,517.00","2,543.00","2,492.40","2,506.45","2,510.00","2,513.10","2,525.87","4,190.00","1,017.45","6,484,593","16,379,233,763.05","116,612"
