"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","833.90","838.70","822.10","831.10","824.00","827.05","831.27","987.85","395.10","3,156,509","2,623,918,022.70","57,425"
"21-Sep-2023","EQ","821.15","842.40","820.00","818.05","832.30","831.10","833.57","987.85","395.10","6,437,320","5,365,953,296.95","125,991"
"20-Sep-2023","EQ","832.00","837.60","815.00","831.25","820.70","818.05","823.76","987.85","395.10","3,016,411","2,484,806,496.35","70,036"
"18-Sep-2023","EQ","848.05","848.05","828.15","845.65","830.45","831.25","838.64","987.85","395.10","2,801,202","2,349,199,647.70","58,684"
"15-Sep-2023","EQ","846.00","854.60","841.50","849.80","844.95","845.65","846.95","987.85","395.10","4,013,431","3,399,167,327.70","58,594"
"14-Sep-2023","EQ","854.05","857.85","841.00","849.70","845.00","849.80","848.36","987.85","395.10","6,234,825","5,289,383,371.35","90,882"
"13-Sep-2023","EQ","859.00","867.20","843.15","858.75","847.35","849.70","851.07","987.85","395.10","7,180,448","6,111,028,253.20","101,187"
"12-Sep-2023","EQ","889.50","889.50","853.05","882.45","858.00","858.75","865.41","987.85","395.10","8,036,897","6,955,202,466.05","144,338"
"11-Sep-2023","EQ","840.00","887.20","835.00","825.00","883.55","882.45","869.50","987.85","395.10","20,638,175","17,944,900,462.25","257,914"
"08-Sep-2023","EQ","810.90","828.80","810.15","809.90","823.00","825.00","821.94","987.85","395.10","11,683,222","9,602,926,887.60","111,359"
"07-Sep-2023","EQ","809.70","812.95","805.05","807.05","810.60","809.90","808.17","987.85","395.10","9,787,939","7,910,292,361.30","73,897"
"06-Sep-2023","EQ","806.00","808.50","800.45","804.95","804.00","807.05","805.04","987.85","395.10","6,729,598","5,417,611,171.05","97,481"
"05-Sep-2023","EQ","805.00","810.90","797.50","801.05","804.50","804.95","804.95","987.85","395.10","10,483,413","8,438,572,672.40","108,789"
"04-Sep-2023","EQ","807.55","811.75","795.55","799.50","800.20","801.05","800.64","987.85","395.10","12,522,148","10,025,732,357.35","100,756"
"01-Sep-2023","EQ","780.00","808.00","779.65","792.20","799.00","799.50","798.21","987.85","395.10","11,900,199","9,498,867,561.30","126,390"
"31-Aug-2023","EQ","803.90","810.90","787.70","818.70","792.70","792.20","795.94","987.85","395.10","9,998,925","7,958,536,623.45","153,469"
"30-Aug-2023","EQ","828.00","833.00","816.60","823.55","817.50","818.70","827.20","987.85","395.10","8,592,012","7,107,321,414.45","99,795"
"29-Aug-2023","EQ","809.50","830.80","800.05","807.45","820.90","823.55","818.96","987.85","395.10","5,935,085","4,860,592,074.85","101,216"
"28-Aug-2023","EQ","816.00","824.00","798.50","806.60","807.85","807.45","808.04","987.85","395.10","5,067,265","4,094,549,888.40","81,668"
"25-Aug-2023","EQ","823.00","830.40","803.50","822.35","806.00","806.60","813.43","987.85","395.10","4,442,243","3,613,466,591.20","83,230"
"24-Aug-2023","EQ","834.00","844.40","820.20","825.70","823.40","822.35","833.08","987.85","395.10","4,692,796","3,909,486,334.90","90,740"
"23-Aug-2023","EQ","858.55","862.45","820.10","854.50","830.05","825.70","839.14","987.85","395.10","4,748,732","3,984,874,072.30","97,575"
"22-Aug-2023","EQ","863.90","869.00","853.35","858.15","857.20","854.50","860.53","987.85","395.10","8,037,324","6,916,340,195.20","117,243"
"21-Aug-2023","EQ","840.10","864.10","838.50","835.90","857.55","858.15","855.44","987.85","395.10","17,432,300","14,912,340,587.40","213,088"
"18-Aug-2023","EQ","807.00","849.60","804.30","809.65","834.00","835.90","831.26","987.85","395.10","22,502,392","18,705,355,862.05","261,294"
"17-Aug-2023","EQ","778.00","813.60","776.85","776.10","810.50","809.65","796.50","987.85","395.10","14,011,644","11,160,271,156.90","171,038"
"16-Aug-2023","EQ","786.00","786.00","772.45","787.15","774.85","776.10","776.30","987.85","395.10","11,481,440","8,913,093,855.80","114,239"
"14-Aug-2023","EQ","781.00","794.20","771.10","801.05","784.00","787.15","782.74","987.85","395.10","17,841,454","13,965,158,433.05","215,809"
