"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","5,013.00","5,016.80","4,955.00","5,020.05","4,999.20","4,989.55","4,989.37","5,364.00","4,123.00","348,459","1,738,589,320.00","26,733"
"21-Sep-2023","EQ","4,990.00","5,046.95","4,975.45","5,006.30","5,020.00","5,020.05","5,010.43","5,364.00","4,123.00","422,586","2,117,335,753.45","42,775"
"20-Sep-2023","EQ","5,051.45","5,059.80","4,929.00","5,075.15","4,998.00","5,006.30","4,981.58","5,364.00","4,123.00","509,910","2,540,159,696.70","51,496"
"18-Sep-2023","EQ","5,100.00","5,162.00","5,067.35","5,091.80","5,081.00","5,075.15","5,112.92","5,364.00","4,123.00","371,912","1,901,554,963.80","33,864"
"15-Sep-2023","EQ","5,084.55","5,150.40","5,061.70","5,084.55","5,100.00","5,091.80","5,107.56","5,364.00","4,123.00","658,355","3,362,586,030.75","44,838"
"14-Sep-2023","EQ","5,001.00","5,100.00","4,995.50","5,011.00","5,086.05","5,084.55","5,070.64","5,364.00","4,123.00","414,391","2,101,227,075.05","48,918"
"13-Sep-2023","EQ","4,975.00","5,021.20","4,945.00","4,979.20","5,021.20","5,011.00","4,994.82","5,364.00","4,123.00","232,238","1,159,986,435.30","28,528"
"12-Sep-2023","EQ","5,111.00","5,125.00","4,966.00","5,095.95","4,980.00","4,979.20","5,009.95","5,364.00","4,123.00","483,061","2,420,113,749.05","50,922"
"11-Sep-2023","EQ","5,004.00","5,106.80","5,003.75","4,985.15","5,094.40","5,095.95","5,083.75","5,364.00","4,123.00","543,287","2,761,937,738.65","50,756"
"08-Sep-2023","EQ","5,040.00","5,049.80","4,977.95","5,029.05","4,988.00","4,985.15","4,997.56","5,364.00","4,123.00","292,671","1,462,642,145.75","25,431"
"07-Sep-2023","EQ","5,029.95","5,044.90","4,987.00","5,033.10","5,029.00","5,029.05","5,016.12","5,364.00","4,123.00","334,709","1,678,939,479.10","37,333"
"06-Sep-2023","EQ","4,980.00","5,043.65","4,954.00","4,984.50","5,021.05","5,033.10","5,003.69","5,364.00","4,123.00","535,407","2,679,011,598.20","47,257"
"05-Sep-2023","EQ","4,860.00","4,992.00","4,832.05","4,824.85","4,980.00","4,984.50","4,950.52","5,364.00","4,123.00","800,554","3,963,155,966.80","64,545"
"04-Sep-2023","EQ","4,860.00","4,870.00","4,817.60","4,840.35","4,832.90","4,824.85","4,830.14","5,364.00","4,123.00","354,446","1,712,022,353.25","21,306"
"01-Sep-2023","EQ","4,840.00","4,849.95","4,801.20","4,814.10","4,842.00","4,840.35","4,825.74","5,364.00","4,086.00","206,097","994,569,729.25","24,440"
"31-Aug-2023","EQ","4,887.45","4,911.80","4,805.80","4,874.50","4,823.00","4,814.10","4,837.38","5,364.00","4,086.00","488,260","2,361,898,626.10","36,770"
"30-Aug-2023","EQ","4,881.95","4,889.95","4,845.00","4,878.40","4,884.00","4,874.50","4,866.89","5,364.00","4,086.00","396,122","1,927,882,193.60","37,138"
"29-Aug-2023","EQ","4,906.00","4,945.00","4,858.90","4,905.45","4,872.00","4,878.40","4,892.43","5,364.00","4,086.00","591,619","2,894,453,432.35","47,675"
"28-Aug-2023","EQ","4,874.90","4,911.85","4,842.00","4,865.50","4,906.00","4,905.45","4,886.78","5,364.00","4,086.00","204,098","997,381,156.35","24,600"
"25-Aug-2023","EQ","4,900.00","4,913.10","4,846.00","4,919.95","4,859.00","4,865.50","4,871.75","5,364.00","3,987.85","249,504","1,215,520,458.05","24,127"
"24-Aug-2023","EQ","4,955.00","4,983.50","4,900.10","4,945.60","4,907.00","4,919.95","4,942.68","5,364.00","3,987.85","534,065","2,639,714,057.40","35,355"
"23-Aug-2023","EQ","4,958.00","4,987.00","4,911.00","4,919.65","4,942.00","4,945.60","4,960.18","5,364.00","3,987.85","597,123","2,961,837,305.15","47,527"
"22-Aug-2023","EQ","4,947.90","4,959.00","4,906.15","4,932.65","4,924.50","4,919.65","4,934.16","5,364.00","3,987.85","175,172","864,326,266.95","20,348"
"21-Aug-2023","EQ","4,881.00","4,945.45","4,840.00","4,848.35","4,927.00","4,932.65","4,892.88","5,364.00","3,987.85","243,126","1,189,586,248.20","34,575"
"18-Aug-2023","EQ","4,874.95","4,895.00","4,825.10","4,892.75","4,840.00","4,848.35","4,858.42","5,364.00","3,987.85","336,848","1,636,550,180.75","33,539"
"17-Aug-2023","EQ","4,940.50","4,960.00","4,872.55","4,941.90","4,880.05","4,892.75","4,899.24","5,364.00","3,987.85","375,779","1,841,033,245.35","48,159"
"16-Aug-2023","EQ","4,800.00","4,953.95","4,754.10","4,820.85","4,946.00","4,941.90","4,894.64","5,364.00","3,987.85","667,417","3,266,767,425.50","94,863"
"14-Aug-2023","EQ","4,863.00","4,927.55","4,730.00","4,906.15","4,822.00","4,820.85","4,808.15","5,364.00","3,987.85","832,136","4,001,035,622.70","78,496"
"11-Aug-2023","EQ","4,930.00","5,012.00","4,811.15","4,922.50","4,886.00","4,906.15","4,940.46","5,364.00","3,987.85","1,066,479","5,268,898,904.90","102,162"
"10-Aug-2023","EQ","4,981.40","4,981.45","4,903.60","4,981.35","4,925.90","4,922.50","4,928.11","5,364.00","3,987.85","370,166","1,824,217,209.20","41,419"
