"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","3,234.95","3,283.60","3,221.15","3,244.20","3,280.50","3,274.85","3,262.19","3,582.90","2,685.85","896,521","2,924,621,657.00","79,565"
"21-Sep-2023","EQ","3,210.00","3,261.20","3,180.55","3,214.35","3,248.00","3,244.20","3,215.04","3,582.90","2,685.85","845,739","2,719,086,597.95","91,780"
"20-Sep-2023","EQ","3,206.30","3,228.00","3,195.00","3,206.30","3,224.50","3,214.35","3,205.78","3,582.90","2,685.85","901,084","2,888,675,679.80","80,782"
"18-Sep-2023","EQ","3,200.00","3,229.90","3,190.00","3,196.65","3,208.00","3,206.30","3,217.20","3,582.90","2,685.85","673,602","2,167,115,317.10","51,286"
"15-Sep-2023","EQ","3,235.00","3,240.00","3,185.00","3,240.25","3,200.00","3,196.65","3,198.14","3,582.90","2,685.85","1,568,607","5,016,626,619.75","113,418"
"14-Sep-2023","EQ","3,282.00","3,294.20","3,223.25","3,277.75","3,240.00","3,240.25","3,245.86","3,582.90","2,685.85","1,102,554","3,578,736,751.10","113,167"
"13-Sep-2023","EQ","3,245.00","3,284.65","3,225.30","3,256.85","3,269.15","3,277.75","3,258.31","3,582.90","2,685.85","880,907","2,870,266,444.40","59,755"
"12-Sep-2023","EQ","3,260.00","3,279.80","3,243.00","3,259.40","3,260.00","3,256.85","3,262.63","3,582.90","2,685.85","554,905","1,810,448,074.40","60,638"
"11-Sep-2023","EQ","3,242.00","3,265.00","3,242.00","3,238.05","3,260.00","3,259.40","3,253.70","3,582.90","2,685.85","359,345","1,169,200,507.25","45,263"
"08-Sep-2023","EQ","3,250.55","3,263.05","3,232.00","3,246.35","3,236.95","3,238.05","3,247.55","3,582.90","2,685.85","395,918","1,285,764,146.05","33,798"
"07-Sep-2023","EQ","3,225.30","3,253.75","3,201.25","3,225.30","3,246.00","3,246.35","3,230.65","3,582.90","2,685.85","923,108","2,982,238,499.50","64,965"
"06-Sep-2023","EQ","3,209.00","3,230.00","3,195.00","3,223.30","3,223.00","3,225.30","3,215.62","3,582.90","2,685.85","754,106","2,424,921,818.85","64,778"
"05-Sep-2023","EQ","3,245.00","3,248.85","3,220.00","3,235.55","3,222.00","3,223.30","3,232.74","3,582.90","2,685.85","597,022","1,930,016,980.20","50,270"
"04-Sep-2023","EQ","3,259.55","3,266.25","3,216.10","3,259.55","3,245.50","3,235.55","3,232.96","3,582.90","2,685.85","696,213","2,250,828,100.20","51,379"
"01-Sep-2023","EQ","3,241.10","3,264.20","3,217.10","3,256.10","3,260.95","3,259.55","3,244.70","3,582.90","2,685.85","650,131","2,109,482,776.80","52,522"
"31-Aug-2023","EQ","3,300.05","3,302.00","3,220.00","3,294.70","3,255.00","3,256.10","3,264.35","3,582.90","2,685.85","1,601,967","5,229,384,859.80","80,059"
"30-Aug-2023","EQ","3,301.30","3,302.85","3,276.40","3,285.70","3,284.00","3,294.70","3,289.66","3,582.90","2,685.85","599,080","1,970,771,024.45","50,537"
"29-Aug-2023","EQ","3,261.00","3,289.00","3,255.05","3,259.70","3,288.00","3,285.70","3,278.37","3,582.90","2,685.85","533,163","1,747,907,929.95","48,076"
"28-Aug-2023","EQ","3,264.95","3,272.00","3,231.05","3,259.30","3,264.45","3,259.70","3,258.59","3,582.90","2,685.85","707,315","2,304,852,064.95","56,536"
"25-Aug-2023","EQ","3,224.90","3,265.00","3,216.20","3,225.60","3,255.85","3,259.30","3,245.82","3,582.90","2,685.85","1,363,431","4,425,445,993.35","99,869"
"24-Aug-2023","EQ","3,185.00","3,232.90","3,170.90","3,168.80","3,225.20","3,225.60","3,214.61","3,582.90","2,685.85","1,167,742","3,753,835,820.55","76,847"
"23-Aug-2023","EQ","3,186.00","3,196.00","3,165.25","3,179.70","3,167.75","3,168.80","3,177.50","3,582.90","2,685.85","370,811","1,178,252,480.10","39,159"
"22-Aug-2023","EQ","3,198.60","3,198.60","3,171.00","3,182.30","3,178.00","3,179.70","3,182.59","3,582.90","2,685.85","377,068","1,200,052,464.85","51,650"
"21-Aug-2023","EQ","3,159.90","3,187.50","3,152.15","3,163.55","3,184.00","3,182.30","3,172.66","3,582.90","2,685.85","353,330","1,120,995,437.05","45,808"
"18-Aug-2023","EQ","3,174.90","3,185.50","3,155.00","3,183.25","3,160.00","3,163.55","3,168.75","3,582.90","2,685.85","592,652","1,877,966,411.85","59,612"
"17-Aug-2023","EQ","3,223.90","3,224.00","3,162.00","3,194.05","3,177.55","3,183.25","3,181.16","3,582.90","2,685.85","873,392","2,778,400,870.70","102,774"
"16-Aug-2023","EQ","3,194.90","3,208.85","3,176.90","3,202.60","3,188.40","3,194.05","3,190.21","3,582.90","2,685.85","597,686","1,906,746,025.95","54,808"
"14-Aug-2023","EQ","3,185.35","3,209.90","3,152.25","3,185.35","3,198.00","3,202.60","3,185.32","3,582.90","2,685.85","815,534","2,597,734,022.95","106,204"
"11-Aug-2023","EQ","3,237.90","3,248.95","3,180.00","3,237.90","3,184.95","3,185.35","3,199.90","3,582.90","2,685.85","919,023","2,940,780,182.80","94,902"
"10-Aug-2023","EQ","3,310.00","3,320.00","3,230.00","3,331.00","3,231.00","3,237.90","3,253.22","3,582.90","2,685.85","1,253,219","4,076,999,776.80","124,013"
"09-Aug-2023","EQ","3,332.55","3,356.95","3,303.00","3,348.05","3,325.20","3,331.00","3,325.96","3,582.90","2,685.85","643,222","2,139,329,392.45","68,048"
"08-Aug-2023","EQ","3,343.00","3,359.95","3,332.65","3,343.00","3,342.00","3,348.05","3,346.67","3,582.90","2,685.85","500,258","1,674,200,655.65","67,902"
"07-Aug-2023","EQ","3,316.05","3,350.00","3,316.00","3,339.65","3,344.00","3,343.00","3,337.51","3,582.90","2,685.85","360,358","1,202,697,904.20","40,014"
