"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","1,010.00","1,027.25","1,008.00","1,014.45","1,019.50","1,018.25","1,020.91","1,047.50","707.70","7,108,110","7,256,768,050.45","217,224"
"21-Sep-2023","EQ","1,026.60","1,033.60","1,012.10","1,027.30","1,013.50","1,014.45","1,020.78","1,047.50","707.70","8,156,588","8,326,084,260.80","226,052"
"20-Sep-2023","EQ","1,012.30","1,047.50","1,012.30","1,024.75","1,027.00","1,027.30","1,032.71","1,047.50","707.70","13,619,788","14,065,244,955.60","320,975"
"18-Sep-2023","EQ","1,021.55","1,029.90","1,019.00","1,027.15","1,022.75","1,024.75","1,025.91","1,031.75","707.70","6,397,319","6,563,081,439.80","201,997"
"15-Sep-2023","EQ","1,021.00","1,031.75","1,014.55","1,020.90","1,022.90","1,027.15","1,024.97","1,031.75","707.70","8,986,157","9,210,514,298.30","214,008"
"14-Sep-2023","EQ","1,014.45","1,022.40","1,009.05","1,014.45","1,020.00","1,020.90","1,017.77","1,022.40","707.70","7,855,558","7,995,136,644.40","233,556"
"13-Sep-2023","EQ","1,002.95","1,017.00","993.70","1,000.90","1,016.75","1,014.45","1,009.41","1,017.00","707.70","12,254,423","12,369,701,006.75","235,005"
"12-Sep-2023","EQ","1,010.00","1,010.00","998.05","1,000.40","1,000.30","1,000.90","1,003.31","1,010.00","707.70","8,958,327","8,987,935,681.45","273,700"
"11-Sep-2023","EQ","981.80","1,004.00","979.00","980.30","1,003.00","1,000.40","993.36","1,004.00","707.70","7,130,484","7,083,103,947.70","220,086"
"08-Sep-2023","EQ","978.20","987.30","972.50","978.20","980.15","980.30","979.08","998.00","707.70","6,439,351","6,304,615,744.35","139,828"
"07-Sep-2023","EQ","965.05","979.80","963.10","965.05","976.85","978.20","970.25","998.00","707.70","8,686,550","8,428,167,238.55","193,016"
"06-Sep-2023","EQ","981.45","983.15","961.80","981.45","966.95","965.05","970.17","998.00","707.70","16,351,052","15,863,375,525.75","332,757"
"05-Sep-2023","EQ","985.45","986.20","977.90","982.25","981.10","981.45","981.73","998.00","707.70","10,548,660","10,355,958,837.90","258,242"
"04-Sep-2023","EQ","993.75","994.55","980.00","991.15","983.45","982.25","984.61","998.00","707.70","6,727,188","6,623,664,482.10","185,609"
"01-Sep-2023","EQ","974.25","993.00","969.00","973.50","990.00","991.15","981.57","998.00","707.70","10,946,742","10,744,950,739.35","215,805"
"31-Aug-2023","EQ","981.80","994.70","968.60","983.35","971.50","973.50","977.98","998.00","707.70","21,558,300","21,083,583,404.95","291,821"
"30-Aug-2023","EQ","983.00","998.00","980.00","980.70","981.00","983.35","992.32","998.00","707.70","9,023,083","8,953,825,024.45","209,796"
"29-Aug-2023","EQ","990.20","991.00","977.50","990.20","981.85","980.70","981.69","994.25","707.70","8,114,141","7,965,598,160.50","260,845"
"28-Aug-2023","EQ","980.10","992.50","980.10","983.10","986.50","990.20","987.69","994.25","707.70","8,451,441","8,347,376,518.70","221,750"
"25-Aug-2023","EQ","974.00","988.20","970.80","981.35","982.00","983.10","980.51","994.25","707.70","6,228,241","6,106,875,145.00","164,949"
"24-Aug-2023","EQ","984.80","994.25","979.10","979.25","982.10","981.35","986.03","994.25","707.70","11,899,556","11,733,274,955.35","250,283"
"23-Aug-2023","EQ","962.00","980.45","958.40","957.05","977.25","979.25","972.35","990.00","707.70","12,677,151","12,326,647,757.60","180,436"
"22-Aug-2023","EQ","953.85","959.10","948.65","952.60","958.00","957.05","956.26","990.00","707.70","10,860,061","10,385,012,797.40","158,798"
"21-Aug-2023","EQ","944.20","954.25","943.95","943.05","951.50","952.60","950.40","990.00","707.70","6,822,155","6,483,809,700.90","155,184"
"18-Aug-2023","EQ","934.85","945.95","931.05","936.55","942.50","943.05","942.07","990.00","707.70","6,648,744","6,263,599,325.10","185,265"
"17-Aug-2023","EQ","935.95","943.00","931.65","933.05","937.25","936.55","938.45","990.00","707.70","9,336,994","8,762,292,583.50","276,317"
"16-Aug-2023","EQ","935.95","940.00","931.30","939.95","933.00","933.05","935.01","990.00","707.70","7,394,623","6,914,042,214.55","126,711"
"14-Aug-2023","EQ","935.00","943.30","928.90","937.20","940.00","939.95","936.81","990.00","707.70","7,172,522","6,719,257,570.85","202,979"
"11-Aug-2023","EQ","937.50","945.70","933.00","939.75","937.75","937.20","938.09","990.00","707.70","9,558,237","8,966,442,119.10","229,062"
"10-Aug-2023","EQ","948.00","951.95","937.30","950.00","940.45","939.75","943.63","990.00","707.70","13,590,891","12,824,749,603.85","317,925"
"09-Aug-2023","EQ","952.00","953.30","944.30","952.90","949.90","950.00","948.18","990.00","707.70","7,701,831","7,302,697,896.90","189,419"
"08-Aug-2023","EQ","950.00","959.90","944.05","947.40","953.20","952.90","952.49","990.00","707.70","11,512,735","10,965,743,490.80","238,800"
