"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","5,051.00","5,084.15","4,996.20","5,085.20","5,005.00","5,001.05","5,034.26","5,274.90","3,461.25","498,375","2,508,950,379.85","38,022"
"21-Sep-2023","EQ","5,168.00","5,185.55","5,073.10","5,182.95","5,084.20","5,085.20","5,118.10","5,274.90","3,461.25","640,829","3,279,829,142.90","65,094"
"20-Sep-2023","EQ","5,176.00","5,263.35","5,166.10","5,176.65","5,172.00","5,182.95","5,214.98","5,274.90","3,461.25","622,924","3,248,538,249.75","53,530"
"18-Sep-2023","EQ","5,124.00","5,274.90","5,094.25","5,130.50","5,176.00","5,176.65","5,195.82","5,274.90","3,461.25","804,973","4,182,493,351.45","58,274"
"15-Sep-2023","EQ","4,894.90","5,149.00","4,893.00","4,844.50","5,149.00","5,130.50","5,079.12","5,149.00","3,461.25","1,689,829","8,582,844,202.90","133,733"
"14-Sep-2023","EQ","4,814.95","4,858.00","4,787.55","4,808.30","4,850.25","4,844.50","4,823.89","4,995.10","3,461.25","249,498","1,203,550,354.55","49,337"
"13-Sep-2023","EQ","4,820.00","4,843.00","4,800.25","4,820.60","4,815.00","4,808.30","4,825.17","4,995.10","3,461.25","207,142","999,495,830.75","29,526"
"12-Sep-2023","EQ","4,843.95","4,849.85","4,762.60","4,806.40","4,824.60","4,820.60","4,820.83","4,995.10","3,461.25","305,478","1,472,657,754.05","33,344"
"11-Sep-2023","EQ","4,779.00","4,810.00","4,763.00","4,759.55","4,810.00","4,806.40","4,791.96","4,995.10","3,461.25","151,600","726,461,882.95","18,075"
"08-Sep-2023","EQ","4,717.20","4,784.60","4,702.70","4,717.20","4,755.00","4,759.55","4,751.21","4,995.10","3,461.25","209,769","996,657,311.70","21,810"
"07-Sep-2023","EQ","4,679.00","4,725.00","4,655.00","4,683.80","4,715.00","4,717.20","4,691.53","4,995.10","3,461.25","319,934","1,500,981,445.15","34,895"
"06-Sep-2023","EQ","4,701.50","4,710.00","4,666.70","4,701.60","4,688.50","4,683.80","4,685.60","4,995.10","3,461.25","224,928","1,053,923,440.20","30,272"
"05-Sep-2023","EQ","4,639.00","4,735.00","4,635.35","4,637.15","4,705.00","4,701.60","4,695.34","4,995.10","3,461.25","353,620","1,660,364,855.00","30,768"
"04-Sep-2023","EQ","4,683.00","4,689.40","4,622.40","4,668.45","4,644.00","4,637.15","4,643.64","4,995.10","3,461.25","328,037","1,523,284,807.05","21,455"
