"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","1,528.00","1,551.00","1,524.90","1,526.20","1,541.00","1,543.70","1,543.57","1,820.00","1,215.00","1,321,743","2,040,207,446.60","64,271"
"21-Sep-2023","EQ","1,530.50","1,552.25","1,514.00","1,553.35","1,527.30","1,526.20","1,525.49","1,820.00","1,215.00","1,772,341","2,703,691,532.35","93,734"
"20-Sep-2023","EQ","1,554.90","1,568.20","1,545.10","1,559.95","1,556.00","1,553.35","1,554.25","1,820.00","1,215.00","1,076,887","1,673,752,650.70","63,551"
"18-Sep-2023","EQ","1,538.10","1,565.35","1,532.90","1,538.10","1,557.85","1,559.95","1,553.19","1,820.00","1,215.00","1,403,635","2,180,105,068.00","67,535"
"15-Sep-2023","EQ","1,548.05","1,567.60","1,531.30","1,550.90","1,538.90","1,538.10","1,542.96","17,420.00","1,215.00","3,116,428","4,808,514,180.85","72,428"
"14-Sep-2023","EQ","1,556.95","1,563.60","1,541.20","1,552.80","1,548.50","1,550.90","1,551.25","17,420.00","1,215.00","920,905","1,428,556,854.25","66,029"
"13-Sep-2023","EQ","1,542.00","1,565.05","1,521.00","1,542.45","1,550.25","1,552.80","1,543.17","17,420.00","1,215.00","1,193,072","1,841,112,557.30","54,584"
"12-Sep-2023","EQ","1,558.90","1,558.90","1,527.65","1,549.70","1,542.00","1,542.45","1,541.89","17,420.00","1,215.00","1,444,688","2,227,548,565.80","75,998"
"11-Sep-2023","EQ","1,549.50","1,552.00","1,540.00","1,541.00","1,550.00","1,549.70","1,547.71","17,420.00","1,215.00","841,557","1,302,485,939.40","47,854"
"08-Sep-2023","EQ","1,530.00","1,558.80","1,525.05","1,519.55","1,540.60","1,541.00","1,546.23","17,585.00","1,215.00","2,168,354","3,352,774,943.05","81,536"
