"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","7,493.95","7,577.00","7,453.60","7,484.20","7,474.85","7,471.35","7,519.12","7,999.90","5,485.70","526,304","3,957,344,378.50","66,489"
"21-Sep-2023","EQ","7,530.00","7,583.65","7,425.00","7,539.00","7,493.85","7,484.20","7,485.59","7,999.90","5,485.70","675,725","5,058,199,027.20","107,376"
"20-Sep-2023","EQ","7,488.65","7,647.00","7,483.00","7,548.65","7,530.00","7,539.00","7,583.18","7,999.90","5,485.70","844,190","6,401,646,997.75","99,610"
"18-Sep-2023","EQ","7,488.90","7,560.00","7,465.00","7,492.20","7,540.00","7,548.65","7,530.92","7,999.90","5,485.70","706,618","5,321,485,807.20","97,037"
"15-Sep-2023","EQ","7,499.00","7,565.15","7,455.55","7,494.30","7,491.50","7,492.20","7,509.86","7,999.90","5,485.70","787,494","5,913,970,575.95","77,059"
"14-Sep-2023","EQ","7,475.90","7,511.70","7,427.05","7,475.90","7,476.70","7,494.30","7,471.78","7,999.90","5,485.70","650,372","4,859,434,928.30","81,192"
"13-Sep-2023","EQ","7,429.30","7,508.25","7,380.65","7,431.30","7,475.00","7,475.90","7,446.31","7,999.90","5,485.70","579,846","4,317,711,428.80","67,471"
"12-Sep-2023","EQ","7,421.00","7,459.00","7,305.50","7,391.65","7,416.60","7,431.30","7,399.48","7,999.90","5,485.70","963,517","7,129,524,026.25","110,323"
"11-Sep-2023","EQ","7,425.00","7,444.00","7,362.00","7,410.65","7,390.00","7,391.65","7,395.89","7,999.90","5,485.70","406,849","3,009,011,711.65","54,667"
"08-Sep-2023","EQ","7,390.00","7,449.95","7,370.00","7,363.20","7,395.00","7,410.65","7,410.57","7,999.90","5,485.70","624,642","4,628,955,769.55","47,395"
"07-Sep-2023","EQ","7,380.00","7,387.80","7,303.70","7,387.80","7,363.00","7,363.20","7,344.17","7,999.90","5,485.70","549,622","4,036,518,379.30","56,573"
"06-Sep-2023","EQ","7,315.30","7,397.00","7,290.70","7,345.10","7,391.00","7,387.80","7,347.50","7,999.90","5,485.70","605,157","4,446,391,254.40","67,522"
"05-Sep-2023","EQ","7,283.00","7,358.45","7,280.00","7,270.25","7,340.05","7,345.10","7,322.71","7,999.90","5,485.70","1,221,353","8,943,609,625.85","120,505"
"04-Sep-2023","EQ","7,370.00","7,370.00","7,258.40","7,320.60","7,278.30","7,270.25","7,310.00","7,999.90","5,485.70","581,363","4,249,760,835.80","64,275"
"01-Sep-2023","EQ","7,168.55","7,329.40","7,155.00","7,163.00","7,300.10","7,320.60","7,252.43","7,999.90","5,485.70","676,076","4,903,195,099.15","65,881"
"31-Aug-2023","EQ","7,280.00","7,285.00","7,135.00","7,268.10","7,168.55","7,163.00","7,186.58","7,999.90","5,485.70","1,412,980","10,154,497,462.60","77,331"
"30-Aug-2023","EQ","7,326.00","7,330.90","7,258.00","7,293.35","7,270.60","7,268.10","7,298.29","7,999.90","5,485.70","460,268","3,359,171,018.70","49,496"
"29-Aug-2023","EQ","7,250.00","7,310.95","7,236.00","7,235.60","7,295.00","7,293.35","7,270.15","7,999.90","5,485.70","1,418,305","10,311,286,046.25","82,187"
"28-Aug-2023","EQ","7,224.95","7,261.00","7,138.10","7,211.50","7,220.00","7,235.60","7,184.15","7,999.90","5,485.70","703,626","5,054,955,965.95","67,864"
"25-Aug-2023","EQ","7,115.00","7,278.10","7,101.00","7,137.45","7,185.15","7,211.50","7,209.35","7,999.90","5,485.70","1,303,276","9,395,771,105.95","111,882"
"24-Aug-2023","EQ","7,150.00","7,185.95","7,121.00","7,116.45","7,124.00","7,137.45","7,152.89","7,999.90","5,485.70","910,360","6,511,704,432.85","84,497"
"23-Aug-2023","EQ","7,100.00","7,149.00","7,003.00","7,069.95","7,122.00","7,116.45","7,073.20","7,999.90","5,485.70","803,248","5,681,533,864.55","71,148"
"22-Aug-2023","EQ","7,051.05","7,153.50","7,050.00","7,048.20","7,053.25","7,069.95","7,097.97","7,999.90","5,485.70","1,248,780","8,863,803,389.95","122,169"
