"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","917.95","922.35","903.80","917.95","911.95","911.40","912.71","948.70","735.80","6,112,928","5,579,302,888.80","145,684"
"21-Sep-2023","EQ","910.20","920.15","903.35","910.70","920.00","917.95","913.21","948.70","735.80","4,896,202","4,471,240,108.55","172,897"
"20-Sep-2023","EQ","911.00","919.30","904.80","920.20","911.40","910.70","910.39","948.70","735.80","5,241,903","4,772,186,787.20","112,442"
"18-Sep-2023","EQ","929.40","935.80","918.00","936.15","922.20","920.20","926.64","948.70","735.80","2,977,375","2,758,963,551.20","146,600"
"15-Sep-2023","EQ","912.60","948.70","910.00","914.95","929.50","936.15","931.69","948.70","735.80","14,003,428","13,046,821,150.70","155,018"
"14-Sep-2023","EQ","920.30","920.60","910.10","915.15","912.80","914.95","914.32","920.60","735.80","5,513,106","5,040,718,356.80","207,485"
"13-Sep-2023","EQ","888.05","918.00","885.55","890.40","914.95","915.15","906.17","918.00","735.80","5,222,561","4,732,534,438.70","139,361"
"12-Sep-2023","EQ","894.90","896.50","885.00","890.80","890.90","890.40","890.33","901.40","735.80","4,106,031","3,655,702,147.15","108,767"
"11-Sep-2023","EQ","888.00","892.30","883.60","885.85","887.00","890.80","888.31","901.40","735.80","2,733,894","2,428,558,288.55","110,350"
"08-Sep-2023","EQ","881.80","890.65","878.15","875.30","884.95","885.85","886.14","901.40","686.20","3,741,470","3,315,465,895.30","108,544"
"07-Sep-2023","EQ","880.30","883.70","873.15","880.30","876.00","875.30","877.08","901.40","686.20","4,532,834","3,975,676,216.50","136,372"
"06-Sep-2023","EQ","867.15","882.40","865.80","865.90","879.95","880.30","874.79","901.40","686.20","4,235,096","3,704,815,138.25","140,495"
"05-Sep-2023","EQ","863.10","867.80","858.40","865.30","867.80","865.90","863.57","901.40","686.20","2,216,754","1,914,315,180.80","81,853"
"04-Sep-2023","EQ","865.75","869.45","859.70","865.95","862.10","865.30","864.14","901.40","686.20","3,102,649","2,681,132,532.85","106,343"
"01-Sep-2023","EQ","853.15","867.55","852.75","856.40","864.35","865.95","862.18","901.40","686.20","4,427,899","3,817,652,352.65","146,461"
"31-Aug-2023","EQ","855.50","859.50","847.05","857.75","857.05","856.40","856.37","901.40","686.20","12,528,190","10,728,809,630.90","148,103"
"30-Aug-2023","EQ","859.85","862.60","856.45","855.20","858.15","857.75","859.54","901.40","686.20","3,261,665","2,803,520,293.50","94,793"
"29-Aug-2023","EQ","870.00","870.00","848.50","870.35","855.30","855.20","855.42","901.40","686.20","14,064,286","12,030,836,241.80","174,320"
"28-Aug-2023","EQ","874.05","875.75","865.85","873.50","870.25","870.35","869.82","901.40","686.20","3,094,455","2,691,622,777.90","112,364"
"25-Aug-2023","EQ","869.45","875.95","861.10","869.45","873.10","873.50","869.73","901.40","686.20","3,124,339","2,717,321,625.35","157,962"
"24-Aug-2023","EQ","873.00","874.70","864.20","868.15","870.10","869.45","869.01","901.40","686.20","2,842,728","2,470,363,589.80","82,376"
"23-Aug-2023","EQ","877.00","877.00","866.80","877.65","867.85","868.15","870.01","901.40","686.20","1,860,153","1,618,352,691.10","86,992"
"22-Aug-2023","EQ","871.00","879.95","866.20","871.95","876.40","877.65","875.98","901.40","686.20","3,333,869","2,920,413,952.20","112,239"
"21-Aug-2023","EQ","855.65","874.00","854.10","856.25","871.40","871.95","869.55","901.40","686.20","3,220,142","2,800,076,299.95","90,066"
"18-Aug-2023","EQ","856.70","862.00","852.25","856.70","855.40","856.25","856.74","901.40","686.20","4,929,835","4,223,604,928.00","122,192"
"17-Aug-2023","EQ","857.20","859.85","850.00","856.95","857.15","856.70","855.06","901.40","686.20","3,013,019","2,576,325,665.85","117,296"
"16-Aug-2023","EQ","870.00","874.00","853.20","867.05","856.50","856.95","858.21","901.40","686.20","3,962,408","3,400,571,581.75","106,846"
"14-Aug-2023","EQ","870.50","870.60","857.60","870.55","866.00","867.05","863.35","901.40","686.20","2,665,905","2,301,612,127.15","123,541"
"11-Aug-2023","EQ","872.00","873.70","865.00","874.80","870.30","870.55","870.15","901.40","686.20","2,812,690","2,447,455,390.70","122,362"
"10-Aug-2023","EQ","882.00","883.90","868.20","883.70","875.00","874.80","876.27","901.40","686.20","3,439,922","3,014,308,814.15","110,287"
"09-Aug-2023","EQ","885.00","897.45","878.80","885.40","882.05","883.70","889.34","901.40","686.20","3,185,159","2,832,701,197.70","89,934"
"08-Aug-2023","EQ","892.00","894.30","880.45","891.40","884.25","885.40","886.26","901.40","686.20","3,282,856","2,909,470,265.85","100,338"
"07-Aug-2023","EQ","885.15","900.55","884.10","889.65","892.00","891.40","894.35","901.40","686.20","4,086,452","3,654,709,674.45","160,890"
"04-Aug-2023","EQ","869.00","892.95","866.20","871.70","889.55","889.65","880.76","901.40","677.05","7,066,276","6,223,723,525.95","129,050"
"03-Aug-2023","EQ","875.00","882.05","865.10","878.10","871.65","871.70","872.61","901.40","677.05","4,642,067","4,050,692,872.70","151,593"
"02-Aug-2023","EQ","883.20","890.65","872.60","891.65","875.60","878.10","880.23","901.40","677.05","3,328,903","2,930,204,169.05","109,765"
"01-Aug-2023","EQ","894.50","897.40","888.15","889.90","890.50","891.65","892.35","901.40","677.05","2,087,412","1,862,704,324.45","72,869"
"31-Jul-2023","EQ","894.00","897.80","885.25","895.10","889.00","889.90","890.40","901.40","677.05","4,424,817","3,939,875,145.30","96,873"
"28-Jul-2023","EQ","899.90","899.90","890.55","895.15","895.10","895.10","894.92","901.40","664.20","2,314,339","2,071,147,527.80","84,221"
"27-Jul-2023","EQ","889.35","901.40","888.15","889.40","893.90","895.15","895.24","901.40","664.20","3,445,446","3,084,518,098.55","105,802"
