"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","355.50","357.50","351.35","355.25","352.00","351.95","353.53","397.90","288.05","1,991,051","703,891,888.15","42,947"
"21-Sep-2023","EQ","353.00","358.50","351.80","352.55","355.15","355.25","355.27","397.90","288.05","4,939,771","1,754,931,197.00","95,294"
"20-Sep-2023","EQ","354.00","356.80","351.20","360.35","352.90","352.55","353.55","397.90","288.05","9,146,076","3,233,583,427.25","87,142"
"18-Sep-2023","EQ","352.25","361.10","350.65","352.25","360.20","360.35","358.45","397.90","288.05","5,003,744","1,793,572,387.55","50,305"
"15-Sep-2023","EQ","357.95","358.55","351.25","358.75","353.00","352.25","353.25","397.90","288.05","6,191,704","2,187,228,360.75","62,199"
"14-Sep-2023","EQ","358.00","362.25","356.10","355.60","358.85","358.75","358.86","397.90","288.05","5,058,369","1,815,232,918.50","81,336"
"13-Sep-2023","EQ","350.60","356.15","347.20","348.40","355.30","355.60","353.72","397.90","288.05","4,856,859","1,717,953,862.50","55,996"
"12-Sep-2023","EQ","365.00","365.50","347.05","363.75","349.95","348.40","351.71","397.90","288.05","9,084,111","3,194,966,995.70","79,864"
"11-Sep-2023","EQ","365.20","368.75","360.70","361.95","363.20","363.75","363.90","397.90","288.05","5,226,425","1,901,901,165.35","81,055"
"08-Sep-2023","EQ","354.75","364.50","354.05","354.60","361.90","361.95","360.11","397.90","288.05","5,172,065","1,862,487,782.30","53,805"
"07-Sep-2023","EQ","354.00","356.25","353.15","353.15","353.75","354.60","354.82","397.90","288.05","3,624,673","1,286,123,215.55","55,676"
"06-Sep-2023","EQ","349.95","353.85","348.05","350.20","353.00","353.15","351.43","397.90","288.05","3,375,527","1,186,247,375.10","59,765"
"05-Sep-2023","EQ","345.90","352.60","345.25","344.70","350.00","350.20","349.72","397.90","288.05","4,181,589","1,462,399,923.75","67,108"
"04-Sep-2023","EQ","344.65","348.75","342.80","344.20","345.00","344.70","345.86","397.90","288.05","3,449,286","1,192,975,497.70","64,385"
