"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","4,558.55","4,572.00","4,510.00","4,558.55","4,568.20","4,564.65","4,556.81","5,270.35","3,564.10","210,753","960,361,320.15","18,489"
"21-Sep-2023","EQ","4,520.00","4,565.70","4,478.00","4,527.40","4,554.00","4,558.55","4,532.74","5,270.35","3,564.10","367,638","1,666,409,288.85","51,872"
"20-Sep-2023","EQ","4,596.20","4,597.00","4,507.70","4,596.20","4,531.00","4,527.40","4,526.10","5,270.35","3,564.10","357,295","1,617,152,517.00","50,580"
"18-Sep-2023","EQ","4,540.00","4,603.00","4,520.00","4,532.85","4,600.00","4,596.20","4,579.68","5,270.35","3,564.10","304,844","1,396,087,668.85","24,634"
"15-Sep-2023","EQ","4,583.00","4,589.25","4,518.60","4,574.35","4,530.00","4,532.85","4,534.81","5,270.35","3,564.10","408,326","1,851,681,951.85","40,755"
"14-Sep-2023","EQ","4,619.00","4,631.95","4,552.65","4,608.25","4,574.00","4,574.35","4,585.56","5,270.35","3,564.10","473,085","2,169,357,347.05","61,301"
"13-Sep-2023","EQ","4,567.15","4,630.45","4,549.10","4,567.15","4,604.00","4,608.25","4,601.99","5,270.35","3,564.10","435,792","2,005,509,575.65","56,225"
"12-Sep-2023","EQ","4,568.55","4,574.40","4,508.90","4,568.55","4,571.90","4,567.15","4,551.45","5,270.35","3,564.10","321,129","1,461,603,458.70","35,044"
"11-Sep-2023","EQ","4,540.90","4,574.00","4,540.00","4,540.50","4,569.00","4,568.55","4,554.75","5,270.35","3,564.10","302,448","1,377,574,872.90","32,813"
"08-Sep-2023","EQ","4,540.70","4,548.60","4,513.80","4,530.70","4,540.40","4,540.50","4,531.53","5,270.35","3,564.10","278,293","1,261,094,166.70","29,349"
"07-Sep-2023","EQ","4,590.00","4,590.40","4,521.00","4,569.15","4,528.00","4,530.70","4,535.82","5,270.35","3,564.10","479,124","2,173,221,555.35","82,414"
"06-Sep-2023","EQ","4,520.00","4,590.00","4,503.05","4,514.95","4,579.80","4,569.15","4,552.43","5,270.35","3,564.10","300,673","1,368,791,724.75","32,924"
"05-Sep-2023","EQ","4,507.20","4,539.00","4,485.00","4,507.20","4,515.00","4,514.95","4,515.29","5,270.35","3,564.10","453,349","2,047,001,698.70","39,289"
"04-Sep-2023","EQ","4,484.35","4,511.00","4,449.75","4,484.35","4,508.10","4,507.20","4,482.87","5,270.35","3,564.10","394,391","1,768,005,473.15","35,918"
"01-Sep-2023","EQ","4,475.00","4,491.95","4,426.00","4,467.75","4,488.20","4,484.35","4,462.07","5,270.35","3,564.10","383,124","1,709,524,724.00","52,109"
"31-Aug-2023","EQ","4,564.90","4,575.00","4,442.00","4,550.80","4,460.00","4,467.75","4,495.91","5,270.35","3,564.10","874,564","3,931,962,432.15","57,688"
"30-Aug-2023","EQ","4,552.95","4,558.55","4,511.70","4,530.75","4,555.00","4,550.80","4,540.42","5,270.35","3,564.10","367,571","1,668,928,237.65","46,164"
"29-Aug-2023","EQ","4,510.95","4,540.00","4,486.10","4,510.95","4,539.95","4,530.75","4,514.73","5,270.35","3,564.10","340,257","1,536,169,774.10","41,668"
"28-Aug-2023","EQ","4,525.00","4,525.80","4,485.60","4,525.80","4,518.80","4,510.95","4,505.45","5,270.35","3,564.10","343,698","1,548,515,106.65","24,739"
"25-Aug-2023","EQ","4,544.60","4,560.05","4,506.20","4,542.80","4,525.00","4,525.80","4,524.68","5,270.35","3,564.10","333,873","1,510,669,896.20","24,339"
"24-Aug-2023","EQ","4,538.30","4,559.50","4,515.45","4,512.45","4,555.00","4,542.80","4,533.66","5,270.35","3,564.10","357,303","1,619,890,119.15","29,438"
"23-Aug-2023","EQ","4,555.00","4,555.00","4,484.70","4,511.65","4,508.60","4,512.45","4,509.61","5,270.35","3,564.10","346,764","1,563,768,684.75","45,076"
"22-Aug-2023","EQ","4,524.80","4,524.95","4,490.00","4,510.50","4,513.50","4,511.65","4,508.37","5,270.35","3,564.10","217,446","980,327,366.65","26,633"
