"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","1,207.40","1,209.10","1,168.55","1,206.40","1,186.40","1,185.90","1,183.04","1,277.90","852.00","2,796,199","3,308,010,853.15","75,486"
"21-Sep-2023","EQ","1,232.00","1,240.25","1,204.00","1,239.70","1,209.10","1,206.40","1,215.82","1,277.90","852.00","1,895,731","2,304,875,159.55","89,908"
"20-Sep-2023","EQ","1,243.25","1,252.60","1,236.00","1,240.55","1,240.20","1,239.70","1,242.67","1,277.90","852.00","1,701,959","2,114,968,701.90","64,777"
"18-Sep-2023","EQ","1,240.95","1,257.60","1,237.05","1,235.50","1,244.00","1,240.55","1,246.08","1,277.90","852.00","1,864,030","2,322,728,841.05","56,089"
"15-Sep-2023","EQ","1,234.80","1,241.95","1,228.30","1,233.75","1,235.00","1,235.50","1,234.22","1,277.90","852.00","1,938,487","2,392,529,048.65","56,569"
"14-Sep-2023","EQ","1,230.00","1,244.25","1,225.00","1,228.50","1,234.80","1,233.75","1,233.20","1,277.90","852.00","1,713,142","2,112,644,634.55","111,102"
"13-Sep-2023","EQ","1,242.00","1,250.00","1,223.30","1,239.80","1,226.85","1,228.50","1,231.68","1,277.90","852.00","1,627,384","2,004,415,662.20","62,990"
"12-Sep-2023","EQ","1,247.95","1,259.90","1,234.95","1,247.35","1,238.70","1,239.80","1,243.75","1,277.90","852.00","1,132,283","1,408,271,837.10","67,123"
"11-Sep-2023","EQ","1,244.60","1,252.75","1,236.50","1,244.60","1,247.90","1,247.35","1,241.69","1,277.90","852.00","1,162,138","1,443,017,580.40","54,182"
"08-Sep-2023","EQ","1,249.50","1,262.00","1,239.00","1,249.30","1,243.00","1,244.60","1,247.17","1,277.90","852.00","787,710","982,411,850.10","54,343"
"07-Sep-2023","EQ","1,259.00","1,261.00","1,245.00","1,256.75","1,248.00","1,249.30","1,250.04","1,277.90","852.00","849,621","1,062,064,383.10","37,414"
"06-Sep-2023","EQ","1,246.15","1,267.00","1,242.60","1,238.95","1,256.00","1,256.75","1,256.56","1,277.90","852.00","2,721,714","3,419,989,336.00","78,983"
"05-Sep-2023","EQ","1,255.00","1,266.00","1,235.10","1,238.85","1,239.50","1,238.95","1,246.55","1,277.90","852.00","2,179,947","2,717,403,122.65","75,640"
"04-Sep-2023","EQ","1,250.30","1,255.40","1,232.55","1,245.40","1,241.90","1,238.85","1,239.24","1,277.90","852.00","1,126,182","1,395,606,847.45","62,307"
"01-Sep-2023","EQ","1,264.90","1,268.90","1,239.65","1,257.60","1,244.95","1,245.40","1,253.84","1,277.90","852.00","1,167,597","1,463,984,134.45","63,732"
"31-Aug-2023","EQ","1,240.15","1,266.10","1,223.20","1,236.15","1,253.40","1,257.60","1,245.44","1,277.90","852.00","3,103,295","3,864,960,693.05","79,713"
"30-Aug-2023","EQ","1,234.70","1,256.80","1,231.15","1,229.75","1,236.00","1,236.15","1,243.14","1,277.90","852.00","1,282,450","1,594,264,096.30","53,059"
"29-Aug-2023","EQ","1,232.00","1,245.65","1,227.30","1,228.90","1,230.20","1,229.75","1,234.65","1,277.90","852.00","1,209,087","1,492,802,847.15","52,476"
"28-Aug-2023","EQ","1,212.00","1,237.00","1,211.00","1,209.40","1,232.95","1,228.90","1,229.14","1,277.90","852.00","1,666,004","2,047,743,842.00","63,527"
"25-Aug-2023","EQ","1,217.95","1,219.90","1,205.00","1,220.50","1,212.00","1,209.40","1,212.18","1,277.90","852.00","887,533","1,075,848,330.90","55,547"
"24-Aug-2023","EQ","1,235.20","1,239.65","1,217.00","1,230.65","1,220.00","1,220.50","1,226.98","1,277.90","852.00","848,018","1,040,499,974.95","44,805"
"23-Aug-2023","EQ","1,252.05","1,259.90","1,225.05","1,221.00","1,233.60","1,230.65","1,235.51","1,277.90","852.00","2,562,635","3,166,162,945.95","111,471"
"22-Aug-2023","EQ","1,233.80","1,240.25","1,218.05","1,233.80","1,221.00","1,221.00","1,222.97","1,277.90","852.00","1,379,445","1,687,016,099.15","49,759"
"21-Aug-2023","EQ","1,237.45","1,245.30","1,230.30","1,236.40","1,233.50","1,233.80","1,236.48","1,277.90","852.00","1,101,408","1,361,868,648.30","41,901"
"18-Aug-2023","EQ","1,239.00","1,257.00","1,231.00","1,241.00","1,231.00","1,236.40","1,243.72","1,277.90","852.00","1,292,509","1,607,516,076.25","68,975"
