"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","280.00","286.10","279.20","280.45","282.80","283.35","283.19","288.00","207.60","8,691,024","2,461,189,331.15","112,504"
"21-Sep-2023","EQ","284.90","286.80","278.60","284.30","280.00","280.45","282.88","288.00","207.60","11,071,899","3,131,993,712.20","134,367"
"20-Sep-2023","EQ","279.50","288.00","279.10","281.25","284.40","284.30","285.15","288.00","207.60","18,615,797","5,308,385,833.80","146,748"
"18-Sep-2023","EQ","279.30","282.75","274.45","279.30","281.10","281.25","280.24","284.45","207.60","8,754,852","2,453,495,350.80","81,993"
"15-Sep-2023","EQ","278.50","284.15","277.55","277.55","278.70","279.30","280.17","284.45","207.60","13,288,180","3,722,965,658.10","92,811"
"14-Sep-2023","EQ","281.30","282.20","276.70","279.65","277.25","277.55","278.66","284.45","207.60","12,033,796","3,353,380,199.35","113,463"
"13-Sep-2023","EQ","271.50","281.50","269.00","270.75","279.45","279.65","277.25","284.45","207.60","17,607,568","4,881,669,166.35","136,391"
"12-Sep-2023","EQ","280.00","280.05","269.00","278.95","270.35","270.75","273.52","284.45","207.60","17,547,706","4,799,618,853.85","144,994"
"11-Sep-2023","EQ","284.00","284.20","277.25","282.10","278.85","278.95","280.41","284.45","207.60","14,505,153","4,067,405,645.05","155,811"
"08-Sep-2023","EQ","274.60","284.45","270.90","274.00","281.25","282.10","279.85","284.45","207.60","41,855,413","11,713,130,962.00","244,911"
"07-Sep-2023","EQ","256.00","274.75","254.80","255.80","273.50","274.00","268.05","274.75","207.60","72,255,521","19,368,154,030.45","352,444"
"06-Sep-2023","EQ","255.95","257.80","252.55","255.35","255.25","255.80","255.04","263.40","207.60","13,346,191","3,403,780,083.65","124,732"
"05-Sep-2023","EQ","249.35","255.90","247.50","247.80","255.40","255.35","251.65","263.40","207.60","19,654,487","4,946,047,504.15","148,756"
"04-Sep-2023","EQ","238.75","248.95","238.15","236.90","247.90","247.80","245.89","263.40","207.60","24,785,966","6,094,656,242.60","166,660"
"01-Sep-2023","EQ","230.70","237.25","230.65","230.05","236.90","236.90","235.43","263.40","207.60","14,869,577","3,500,736,085.90","103,803"
"31-Aug-2023","EQ","229.00","230.45","228.40","228.75","230.30","230.05","229.88","263.40","207.60","10,403,460","2,391,550,709.45","56,453"
"30-Aug-2023","EQ","230.10","230.75","228.50","229.95","228.70","228.75","229.36","263.40","207.60","4,086,281","937,233,688.80","65,259"
"29-Aug-2023","EQ","229.45","230.40","228.75","229.45","229.85","229.95","229.84","263.40","207.60","3,112,560","715,388,544.80","50,396"
"28-Aug-2023","EQ","228.50","230.05","227.50","227.70","229.35","229.45","229.09","263.40","207.60","3,360,861","769,924,285.80","43,322"
"25-Aug-2023","EQ","229.00","230.10","227.50","229.25","227.75","227.70","228.39","263.40","207.60","3,890,957","888,652,578.65","40,983"
"24-Aug-2023","EQ","231.85","232.65","228.50","230.90","229.75","229.25","230.28","263.40","207.60","6,378,317","1,468,775,976.10","55,843"
"23-Aug-2023","EQ","231.25","231.50","230.30","230.75","230.80","230.90","230.97","263.40","207.60","2,524,601","583,108,222.30","36,029"
"22-Aug-2023","EQ","230.40","232.05","229.70","230.10","230.85","230.75","230.96","263.40","207.60","4,280,368","988,600,968.15","45,547"
"21-Aug-2023","EQ","227.45","230.80","227.00","227.45","230.35","230.10","229.56","263.40","207.60","4,955,953","1,137,692,043.30","52,922"
"18-Aug-2023","EQ","228.50","228.95","227.00","232.30","227.05","227.45","227.78","263.40","207.60","6,904,019","1,572,599,754.15","69,825"
"17-Aug-2023","EQ","233.70","233.90","231.10","233.05","232.25","232.30","232.15","263.40","207.60","5,602,132","1,300,543,529.75","57,913"
"16-Aug-2023","EQ","234.00","234.80","232.10","233.90","233.20","233.05","233.35","263.40","207.60","4,576,249","1,067,871,443.90","41,473"
"14-Aug-2023","EQ","236.00","236.20","230.70","234.90","234.15","233.90","233.11","263.40","207.60","6,092,872","1,420,326,768.65","68,607"
"11-Aug-2023","EQ","234.00","235.60","233.75","234.90","235.25","234.90","234.53","263.40","207.05","6,132,454","1,438,229,560.35","58,111"
"10-Aug-2023","EQ","234.75","236.80","234.45","234.75","234.70","234.90","235.38","263.40","207.05","10,749,822","2,530,254,277.35","89,881"
"09-Aug-2023","EQ","233.25","235.70","230.60","230.25","234.70","234.75","233.05","263.40","207.05","35,271,302","8,220,000,094.50","131,025"
"08-Aug-2023","EQ","233.00","235.40","229.30","232.95","230.40","230.25","230.91","263.40","207.05","13,828,141","3,193,058,386.35","107,869"
"07-Aug-2023","EQ","234.75","236.00","232.30","233.75","233.00","232.95","233.99","263.40","207.05","6,744,074","1,578,025,688.85","69,662"
"04-Aug-2023","EQ","232.80","236.50","230.50","230.05","234.40","233.75","233.49","263.40","205.75","6,725,977","1,570,460,266.10","63,269"
"03-Aug-2023","EQ","234.55","235.10","229.45","234.55","230.75","230.05","231.59","263.40","205.75","13,949,266","3,230,466,713.35","78,864"
"02-Aug-2023","EQ","241.15","243.15","232.30","240.35","234.80","234.55","237.27","263.40","205.75","25,003,960","5,932,713,747.35","135,748"
"01-Aug-2023","EQ","230.00","241.30","228.95","229.25","241.20","240.35","237.59","263.40","205.75","22,409,256","5,324,314,097.90","147,516"
"31-Jul-2023","EQ","228.50","229.95","226.85","227.10","229.35","229.25","228.73","263.40","205.75","19,422,170","4,442,421,188.60","74,345"
"28-Jul-2023","EQ","229.60","229.95","226.85","229.05","227.50","227.10","227.83","263.40","194.60","8,817,344","2,008,832,285.95","62,193"
"27-Jul-2023","EQ","231.00","231.90","228.15","230.50","229.65","229.05","229.75","263.40","194.60","7,837,850","1,800,714,317.60","55,286"
"26-Jul-2023","EQ","230.55","231.20","228.90","229.95","230.75","230.50","230.02","263.40","194.60","7,574,284","1,742,218,812.35","62,591"
"25-Jul-2023","EQ","232.30","232.35","228.85","230.95","229.95","229.95","230.69","263.40","194.60","11,024,983","2,543,302,244.40","71,516"
"24-Jul-2023","EQ","229.00","232.00","228.55","229.00","231.10","230.95","230.74","263.40","194.60","3,456,895","797,650,677.00","48,589"
"21-Jul-2023","EQ","229.60","230.50","228.55","229.75","229.15","229.00","229.19","263.40","193.85","3,903,407","894,623,258.60","38,251"
