"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","3,721.00","3,742.00","3,685.00","3,746.80","3,701.00","3,705.05","3,711.07","3,934.70","2,730.00","190,002","705,110,085.50","24,102"
"21-Sep-2023","EQ","3,775.55","3,798.20","3,733.10","3,779.60","3,743.05","3,746.80","3,757.21","3,934.70","2,730.00","262,481","986,195,399.45","41,144"
"20-Sep-2023","EQ","3,774.00","3,803.40","3,755.00","3,785.30","3,785.00","3,779.60","3,780.07","3,934.70","2,730.00","201,038","759,936,815.75","22,428"
"18-Sep-2023","EQ","3,808.20","3,820.00","3,771.50","3,815.50","3,775.00","3,785.30","3,792.18","3,934.70","2,730.00","185,723","704,294,308.50","18,088"
"15-Sep-2023","EQ","3,825.90","3,845.00","3,805.40","3,817.90","3,819.65","3,815.50","3,823.33","3,934.70","2,730.00","315,409","1,205,914,075.80","30,726"
"14-Sep-2023","EQ","3,755.55","3,827.95","3,755.55","3,750.85","3,826.00","3,817.90","3,799.66","3,934.70","2,730.00","483,608","1,837,546,402.45","56,485"
"13-Sep-2023","EQ","3,800.00","3,826.00","3,740.00","3,787.80","3,752.10","3,750.85","3,763.07","3,934.70","2,730.00","319,699","1,203,050,943.70","32,907"
"12-Sep-2023","EQ","3,749.00","3,848.00","3,725.25","3,736.25","3,786.70","3,787.80","3,796.43","3,934.70","2,730.00","736,438","2,795,837,859.05","61,123"
"11-Sep-2023","EQ","3,700.00","3,748.90","3,691.80","3,698.80","3,722.10","3,736.25","3,725.09","3,934.70","2,730.00","379,770","1,414,678,898.45","24,656"
"08-Sep-2023","EQ","3,692.70","3,711.70","3,668.25","3,694.00","3,700.00","3,698.80","3,694.02","3,934.70","2,730.00","247,373","913,801,610.05","16,663"
"07-Sep-2023","EQ","3,707.95","3,732.75","3,660.65","3,707.95","3,692.70","3,694.00","3,693.81","3,934.70","2,730.00","556,079","2,054,049,566.30","41,100"
"06-Sep-2023","EQ","3,642.30","3,714.90","3,632.30","3,642.30","3,706.65","3,707.95","3,692.62","3,934.70","2,730.00","407,338","1,504,142,409.95","39,513"
"05-Sep-2023","EQ","3,629.35","3,667.30","3,620.05","3,629.35","3,643.00","3,642.30","3,646.13","3,934.70","2,730.00","449,961","1,640,614,207.45","28,000"
"04-Sep-2023","EQ","3,590.05","3,638.00","3,587.00","3,589.30","3,628.90","3,629.35","3,617.85","3,934.70","2,730.00","336,522","1,217,487,683.00","37,183"
"01-Sep-2023","EQ","3,586.00","3,600.00","3,529.75","3,592.10","3,595.05","3,589.30","3,570.56","3,934.70","2,730.00","586,290","2,093,380,762.05","41,484"
"31-Aug-2023","EQ","3,645.00","3,656.45","3,575.50","3,630.80","3,584.00","3,592.10","3,605.36","3,934.70","2,730.00","600,001","2,163,220,523.15","41,109"
"30-Aug-2023","EQ","3,657.10","3,678.20","3,623.00","3,657.10","3,631.80","3,630.80","3,653.14","3,934.70","2,730.00","309,108","1,129,214,011.80","23,344"
"29-Aug-2023","EQ","3,625.05","3,673.80","3,625.05","3,633.25","3,654.75","3,657.10","3,662.12","3,934.70","2,730.00","239,552","877,268,776.20","22,660"
"28-Aug-2023","EQ","3,630.00","3,656.95","3,621.10","3,636.50","3,628.00","3,633.25","3,636.29","3,934.70","2,730.00","196,064","712,946,099.05","21,993"
"25-Aug-2023","EQ","3,641.70","3,653.95","3,616.05","3,664.25","3,632.25","3,636.50","3,633.86","3,934.70","2,730.00","217,537","790,500,044.80","22,489"
"24-Aug-2023","EQ","3,710.00","3,739.75","3,644.00","3,704.15","3,648.00","3,664.25","3,673.03","3,934.70","2,730.00","414,907","1,523,967,023.75","28,573"
"23-Aug-2023","EQ","3,671.00","3,728.80","3,660.05","3,653.25","3,710.00","3,704.15","3,704.29","3,934.70","2,730.00","472,425","1,749,997,145.20","45,545"
"22-Aug-2023","EQ","3,665.25","3,681.45","3,638.80","3,665.25","3,655.20","3,653.25","3,654.14","3,934.70","2,730.00","244,583","893,739,358.70","21,531"
"21-Aug-2023","EQ","3,650.05","3,683.50","3,646.25","3,654.90","3,666.00","3,665.25","3,664.11","3,934.70","2,730.00","242,728","889,382,168.15","25,442"
"18-Aug-2023","EQ","3,661.75","3,682.15","3,621.00","3,654.75","3,650.05","3,654.90","3,645.60","3,934.70","2,730.00","436,067","1,589,726,040.95","48,857"
"17-Aug-2023","EQ","3,700.00","3,714.10","3,636.10","3,712.10","3,661.80","3,654.75","3,663.80","3,934.70","2,730.00","453,444","1,661,329,571.55","49,733"
"16-Aug-2023","EQ","3,731.00","3,740.00","3,653.00","3,730.55","3,710.00","3,712.10","3,697.88","3,934.70","2,730.00","632,601","2,339,281,177.50","42,405"
"14-Aug-2023","EQ","3,645.10","3,747.45","3,601.75","3,679.15","3,744.80","3,730.55","3,667.42","3,934.70","2,730.00","1,295,993","4,752,951,899.40","94,268"
"11-Aug-2023","EQ","3,732.95","3,742.80","3,671.05","3,745.50","3,674.00","3,679.15","3,699.20","3,973.90","2,730.00","339,619","1,256,319,533.50","34,390"
"10-Aug-2023","EQ","3,743.80","3,775.55","3,725.15","3,737.70","3,751.00","3,745.50","3,745.57","3,973.90","2,730.00","600,325","2,248,559,135.80","48,795"
"09-Aug-2023","EQ","3,860.00","3,860.00","3,715.00","3,846.40","3,743.70","3,737.70","3,755.72","3,973.90","2,730.00","749,561","2,815,142,432.00","60,113"
"08-Aug-2023","EQ","3,925.05","3,934.70","3,834.05","3,910.55","3,847.00","3,846.40","3,863.97","3,973.90","2,730.00","532,706","2,058,359,007.75","44,477"
"07-Aug-2023","EQ","3,762.90","3,920.00","3,760.00","3,745.40","3,914.35","3,910.55","3,857.14","3,973.90","2,730.00","1,124,433","4,337,092,409.20","84,815"
"04-Aug-2023","EQ","3,726.30","3,759.95","3,723.00","3,726.30","3,745.00","3,745.40","3,747.17","3,973.90","2,730.00","280,240","1,050,105,654.65","30,971"
"03-Aug-2023","EQ","3,700.00","3,764.80","3,690.20","3,690.60","3,722.95","3,726.30","3,730.16","3,973.90","2,730.00","619,764","2,311,818,433.45","42,076"
"02-Aug-2023","EQ","3,630.00","3,695.00","3,577.05","3,639.50","3,694.95","3,690.60","3,655.66","3,973.90","2,730.00","681,092","2,489,843,636.15","55,998"
"01-Aug-2023","EQ","3,705.00","3,720.60","3,625.00","3,684.30","3,630.00","3,639.50","3,664.53","3,973.90","2,730.00","369,042","1,352,366,463.75","34,552"
"31-Jul-2023","EQ","3,640.00","3,748.95","3,640.00","3,739.05","3,699.70","3,684.30","3,695.37","3,973.90","2,730.00","389,638","1,439,854,797.45","34,330"
"28-Jul-2023","EQ","3,769.00","3,775.00","3,710.00","3,741.90","3,735.00","3,739.05","3,740.85","3,973.90","2,730.00","355,259","1,328,969,432.90","28,096"
"27-Jul-2023","EQ","3,694.00","3,795.90","3,685.30","3,680.45","3,755.00","3,741.90","3,752.93","3,973.90","2,730.00","875,566","3,285,934,529.60","56,365"
"26-Jul-2023","EQ","3,743.00","3,743.00","3,673.55","3,719.40","3,681.00","3,680.45","3,695.80","3,973.90","2,730.00","293,630","1,085,196,409.65","25,131"
"25-Jul-2023","EQ","3,695.00","3,743.00","3,681.10","3,686.00","3,720.00","3,719.40","3,718.72","3,973.90","2,730.00","323,039","1,201,292,789.95","32,471"
"24-Jul-2023","EQ","3,688.25","3,710.00","3,656.95","3,688.30","3,688.00","3,686.00","3,679.54","3,973.90","2,730.00","304,318","1,119,751,237.70","25,344"
"21-Jul-2023","EQ","3,661.00","3,747.00","3,638.45","3,666.55","3,690.00","3,688.30","3,701.17","3,973.90","2,730.00","629,513","2,329,937,133.20","59,976"
"20-Jul-2023","EQ","3,650.00","3,679.15","3,620.05","3,638.05","3,663.00","3,666.55","3,653.36","3,973.90","2,730.00","336,955","1,231,019,505.60","56,817"
"19-Jul-2023","EQ","3,626.65","3,675.00","3,625.00","3,626.65","3,638.65","3,638.05","3,647.14","3,973.90","2,730.00","328,518","1,198,152,460.40","30,519"
"18-Jul-2023","EQ","3,670.00","3,683.00","3,567.00","3,662.90","3,630.00","3,626.65","3,610.67","3,973.90","2,730.00","385,790","1,392,959,858.10","40,258"
"17-Jul-2023","EQ","3,684.00","3,704.05","3,650.20","3,677.20","3,662.00","3,662.90","3,674.96","3,973.90","2,730.00","232,501","854,431,763.45","19,853"
"14-Jul-2023","EQ","3,659.00","3,690.00","3,627.00","3,620.90","3,684.00","3,677.20","3,659.87","3,973.90","2,730.00","295,738","1,082,362,337.60","43,379"
"13-Jul-2023","EQ","3,646.00","3,674.65","3,610.05","3,633.50","3,625.80","3,620.90","3,646.10","3,973.90","2,730.00","227,125","828,119,754.30","50,404"
"12-Jul-2023","EQ","3,650.00","3,670.00","3,596.75","3,641.45","3,634.90","3,633.50","3,630.39","3,973.90","2,730.00","320,760","1,164,483,286.15","40,233"
"11-Jul-2023","EQ","3,661.00","3,697.00","3,632.45","3,639.95","3,645.00","3,641.45","3,656.80","3,973.90","2,730.00","257,208","940,557,540.40","28,122"
"10-Jul-2023","EQ","3,685.00","3,685.00","3,590.75","3,668.65","3,645.00","3,639.95","3,628.80","3,973.90","2,730.00","289,377","1,050,090,740.25","29,445"
"07-Jul-2023","EQ","3,717.00","3,740.00","3,661.15","3,736.85","3,673.30","3,668.65","3,705.71","3,973.90","2,730.00","489,065","1,812,330,631.85","45,714"
"06-Jul-2023","EQ","3,746.70","3,748.20","3,700.00","3,747.95","3,717.00","3,736.85","3,723.81","3,973.90","2,730.00","594,282","2,212,993,293.30","50,273"
"05-Jul-2023","EQ","3,576.40","3,775.00","3,563.15","3,550.10","3,760.05","3,747.95","3,687.12","3,973.90","2,730.00","1,611,582","5,942,096,679.30","84,158"
