"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","5,668.50","5,693.90","5,502.00","5,668.50","5,537.00","5,517.05","5,551.94","5,989.70","3,997.00","489,557","2,717,992,452.95","47,580"
"21-Sep-2023","EQ","5,615.50","5,697.00","5,612.85","5,615.05","5,677.00","5,668.50","5,653.48","5,989.70","3,997.00","585,343","3,309,224,816.00","57,621"
"20-Sep-2023","EQ","5,721.85","5,721.85","5,602.00","5,728.00","5,610.00","5,615.05","5,645.70","5,989.70","3,997.00","453,281","2,559,088,628.75","53,445"
"18-Sep-2023","EQ","5,821.00","5,828.80","5,721.90","5,819.50","5,722.00","5,728.00","5,753.80","5,989.70","3,997.00","251,348","1,446,205,670.15","25,484"
"15-Sep-2023","EQ","5,776.60","5,842.85","5,733.10","5,744.65","5,829.95","5,819.50","5,794.47","5,989.70","3,997.00","413,821","2,397,873,725.90","40,830"
"14-Sep-2023","EQ","5,770.00","5,776.30","5,704.55","5,738.90","5,738.00","5,744.65","5,735.10","5,989.70","3,997.00","227,946","1,307,293,898.40","42,337"
"13-Sep-2023","EQ","5,710.00","5,759.50","5,671.30","5,673.80","5,748.00","5,738.90","5,722.30","5,989.70","3,997.00","314,323","1,798,650,732.80","30,853"
"12-Sep-2023","EQ","5,639.95","5,717.00","5,626.00","5,613.80","5,693.00","5,673.80","5,678.13","5,989.70","3,997.00","516,243","2,931,293,484.60","55,764"
"11-Sep-2023","EQ","5,595.00","5,664.00","5,585.05","5,583.80","5,610.00","5,613.80","5,623.09","5,989.70","3,997.00","262,786","1,477,668,165.65","25,864"
"08-Sep-2023","EQ","5,631.00","5,633.65","5,570.00","5,615.15","5,579.95","5,583.80","5,592.83","5,989.70","3,997.00","184,790","1,033,498,336.80","19,114"
"07-Sep-2023","EQ","5,582.95","5,654.50","5,581.25","5,583.30","5,615.90","5,615.15","5,621.70","5,989.70","3,997.00","526,843","2,961,754,729.60","60,433"
