"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","3,425.00","3,431.80","3,392.00","3,435.85","3,417.90","3,409.45","3,409.16","3,889.65","2,836.00","393,516","1,341,557,221.80","29,114"
"21-Sep-2023","EQ","3,429.80","3,440.05","3,404.00","3,441.20","3,430.00","3,435.85","3,426.24","3,889.65","2,836.00","477,582","1,636,312,741.30","44,215"
"20-Sep-2023","EQ","3,427.00","3,450.00","3,376.80","3,431.75","3,438.00","3,441.20","3,427.51","3,889.65","2,836.00","547,812","1,877,633,518.70","38,115"
"18-Sep-2023","EQ","3,432.05","3,452.85","3,412.00","3,427.20","3,421.90","3,431.75","3,432.53","3,889.65","2,836.00","596,376","2,047,076,871.55","32,170"
"15-Sep-2023","EQ","3,380.05","3,447.90","3,371.55","3,381.40","3,422.00","3,427.20","3,425.80","3,889.65","2,836.00","1,169,429","4,006,232,453.50","56,923"
"14-Sep-2023","EQ","3,335.00","3,385.00","3,325.10","3,320.30","3,383.00","3,381.40","3,367.07","3,889.65","2,836.00","436,335","1,469,168,460.10","49,574"
"13-Sep-2023","EQ","3,349.95","3,369.90","3,308.00","3,341.25","3,322.00","3,320.30","3,330.94","3,889.65","2,836.00","820,181","2,731,977,290.50","36,687"
"12-Sep-2023","EQ","3,410.00","3,414.95","3,320.70","3,404.50","3,340.10","3,341.25","3,358.62","3,889.65","2,836.00","446,513","1,499,669,102.35","38,455"
"11-Sep-2023","EQ","3,377.00","3,409.90","3,363.00","3,370.90","3,404.50","3,404.50","3,384.09","3,889.65","2,836.00","544,361","1,842,165,654.70","41,990"
"08-Sep-2023","EQ","3,403.00","3,406.35","3,366.10","3,402.45","3,371.70","3,370.90","3,379.94","3,889.65","2,836.00","448,502","1,515,909,830.95","38,955"
"07-Sep-2023","EQ","3,390.00","3,411.95","3,375.00","3,391.30","3,397.40","3,402.45","3,397.56","3,889.65","2,836.00","334,700","1,137,162,423.05","31,190"
"06-Sep-2023","EQ","3,415.00","3,417.10","3,375.00","3,403.45","3,390.00","3,391.30","3,394.19","3,889.65","2,836.00","431,090","1,463,199,221.80","32,794"
"05-Sep-2023","EQ","3,434.15","3,444.00","3,396.50","3,434.15","3,408.95","3,403.45","3,416.27","3,889.65","2,836.00","374,902","1,280,766,854.50","39,938"
