"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","1,906.70","1,928.95","1,889.30","1,911.50","1,913.20","1,911.95","1,909.88","1,988.10","1,527.05","676,037","1,291,146,559.65","51,065"
"21-Sep-2023","EQ","1,932.10","1,940.00","1,896.10","1,944.70","1,912.00","1,911.50","1,910.60","1,988.10","1,527.05","998,239","1,907,231,621.15","75,319"
"20-Sep-2023","EQ","1,957.45","1,960.00","1,930.00","1,957.45","1,941.25","1,944.70","1,944.80","1,988.10","1,527.05","579,726","1,127,448,988.70","32,209"
"18-Sep-2023","EQ","1,980.00","1,988.10","1,953.00","1,972.85","1,953.05","1,957.45","1,964.66","1,988.10","1,527.05","679,771","1,335,518,147.15","46,425"
"15-Sep-2023","EQ","1,942.00","1,987.95","1,932.75","1,931.60","1,970.00","1,972.85","1,969.47","1,987.95","1,527.05","1,666,149","3,281,428,668.25","72,793"
"14-Sep-2023","EQ","1,943.00","1,954.00","1,918.55","1,933.00","1,933.00","1,931.60","1,934.87","1,954.00","1,527.05","1,221,120","2,362,708,230.95","79,660"
"13-Sep-2023","EQ","1,879.00","1,946.50","1,855.65","1,870.95","1,929.50","1,933.00","1,919.95","1,946.50","1,527.05","2,885,260","5,539,543,637.40","117,344"
"12-Sep-2023","EQ","1,865.00","1,920.00","1,836.00","1,862.35","1,876.30","1,870.95","1,889.75","1,920.00","1,527.05","1,850,845","3,497,636,753.85","67,591"
"11-Sep-2023","EQ","1,849.75","1,869.10","1,845.80","1,849.75","1,855.00","1,862.35","1,861.12","1,872.00","1,527.05","432,130","804,247,015.65","23,686"
"08-Sep-2023","EQ","1,847.40","1,856.25","1,840.10","1,847.40","1,847.00","1,849.75","1,848.93","1,872.00","1,527.05","364,113","673,220,016.55","18,084"
"07-Sep-2023","EQ","1,832.00","1,851.10","1,825.55","1,838.50","1,846.15","1,847.40","1,838.08","1,872.00","1,527.05","408,187","750,280,878.65","31,568"
"06-Sep-2023","EQ","1,855.00","1,859.00","1,817.00","1,853.80","1,838.00","1,838.50","1,835.09","1,872.00","1,527.05","596,020","1,093,751,285.95","32,513"
"05-Sep-2023","EQ","1,852.45","1,872.00","1,844.50","1,841.05","1,853.90","1,853.80","1,858.64","1,872.00","1,527.05","881,175","1,637,784,939.75","34,350"
"04-Sep-2023","EQ","1,815.05","1,850.70","1,815.00","1,811.50","1,843.85","1,841.05","1,837.91","1,868.40","1,527.05","944,090","1,735,156,283.20","31,115"
"01-Sep-2023","EQ","1,790.00","1,825.00","1,787.90","1,790.95","1,818.00","1,811.50","1,799.30","1,868.40","1,527.05","420,245","756,145,665.85","27,654"
"31-Aug-2023","EQ","1,806.65","1,819.00","1,781.85","1,806.65","1,790.00","1,790.95","1,793.58","1,868.40","1,527.05","1,244,802","2,232,648,844.65","49,490"
"30-Aug-2023","EQ","1,805.00","1,824.90","1,799.85","1,801.80","1,805.75","1,806.65","1,813.58","1,868.40","1,527.05","473,306","858,377,416.45","25,294"
"29-Aug-2023","EQ","1,785.00","1,806.95","1,779.10","1,784.65","1,800.00","1,801.80","1,793.31","1,868.40","1,527.05","640,851","1,149,246,551.15","27,995"
"28-Aug-2023","EQ","1,777.95","1,790.00","1,768.30","1,776.25","1,782.00","1,784.65","1,777.40","1,868.40","1,527.05","770,162","1,368,886,597.90","27,874"
"25-Aug-2023","EQ","1,760.00","1,782.65","1,758.05","1,778.05","1,770.30","1,776.25","1,769.15","1,868.40","1,527.05","656,660","1,161,732,531.85","29,844"
"24-Aug-2023","EQ","1,805.00","1,813.45","1,771.00","1,797.65","1,777.00","1,778.05","1,789.18","1,868.40","1,527.05","921,003","1,647,843,056.70","41,927"
"23-Aug-2023","EQ","1,810.00","1,815.00","1,793.00","1,805.80","1,795.45","1,797.65","1,800.46","1,868.40","1,527.05","416,515","749,918,145.25","37,080"
"22-Aug-2023","EQ","1,810.00","1,825.00","1,798.05","1,808.40","1,807.50","1,805.80","1,806.24","1,868.40","1,527.05","364,666","658,673,142.00","19,825"
"21-Aug-2023","EQ","1,790.95","1,813.00","1,790.00","1,790.95","1,805.60","1,808.40","1,803.64","1,868.40","1,527.05","266,387","480,465,742.45","18,585"
"18-Aug-2023","EQ","1,795.00","1,800.85","1,785.65","1,800.85","1,790.00","1,790.95","1,792.59","1,868.40","1,527.05","439,611","788,043,412.95","32,516"
"17-Aug-2023","EQ","1,810.00","1,812.45","1,793.70","1,816.90","1,799.00","1,800.85","1,805.45","1,868.40","1,527.05","495,104","893,885,737.35","44,284"
"16-Aug-2023","EQ","1,812.00","1,820.00","1,785.55","1,811.75","1,813.00","1,816.90","1,806.87","1,868.40","1,527.05","397,750","718,681,313.65","22,070"
"14-Aug-2023","EQ","1,824.95","1,835.00","1,793.80","1,827.55","1,811.55","1,811.75","1,805.67","1,868.40","1,527.05","528,132","953,634,065.70","38,794"
"11-Aug-2023","EQ","1,828.80","1,840.00","1,808.50","1,830.30","1,823.65","1,827.55","1,825.38","1,868.40","1,527.05","746,178","1,362,058,860.30","44,030"
"10-Aug-2023","EQ","1,835.10","1,855.00","1,824.05","1,845.65","1,831.05","1,830.30","1,835.72","1,868.40","1,527.05","700,514","1,285,949,776.45","41,685"
"09-Aug-2023","EQ","1,844.95","1,849.95","1,827.45","1,844.45","1,847.20","1,845.65","1,836.45","1,868.40","1,527.05","527,765","969,215,734.20","28,954"
"08-Aug-2023","EQ","1,857.70","1,868.40","1,831.80","1,855.60","1,845.00","1,844.45","1,843.22","1,868.40","1,527.05","480,042","884,821,105.00","26,191"
"07-Aug-2023","EQ","1,826.90","1,864.95","1,826.05","1,825.45","1,857.95","1,855.60","1,852.20","1,864.95","1,527.05","966,616","1,790,366,004.05","46,253"
"04-Aug-2023","EQ","1,830.55","1,845.95","1,820.15","1,830.55","1,827.00","1,825.45","1,830.22","1,855.00","1,527.05","324,658","594,194,536.00","20,222"
"03-Aug-2023","EQ","1,808.00","1,834.60","1,794.20","1,821.00","1,825.00","1,830.55","1,817.06","1,855.00","1,527.05","661,829","1,202,585,278.65","30,696"
"02-Aug-2023","EQ","1,832.70","1,839.90","1,806.05","1,837.70","1,820.00","1,821.00","1,817.18","1,855.00","1,527.05","647,802","1,177,173,941.75","29,845"
"01-Aug-2023","EQ","1,852.00","1,855.00","1,824.65","1,849.45","1,835.80","1,837.70","1,835.22","1,855.00","1,527.05","510,537","936,949,650.90","32,244"
"31-Jul-2023","EQ","1,830.00","1,854.70","1,820.80","1,823.80","1,847.50","1,849.45","1,843.13","1,854.70","1,527.05","597,240","1,100,790,207.00","42,514"
"28-Jul-2023","EQ","1,818.50","1,834.90","1,810.00","1,822.50","1,823.00","1,823.80","1,819.72","1,849.00","1,481.90","491,289","894,007,747.75","26,281"
"27-Jul-2023","EQ","1,842.15","1,848.75","1,815.00","1,839.10","1,819.00","1,822.50","1,825.26","1,849.00","1,481.90","538,138","982,239,390.10","30,349"
"26-Jul-2023","EQ","1,833.00","1,849.00","1,829.10","1,829.05","1,835.55","1,839.10","1,841.63","1,849.00","1,481.90","462,059","850,941,864.20","28,183"
"25-Jul-2023","EQ","1,814.00","1,842.80","1,812.05","1,813.05","1,832.00","1,829.05","1,829.20","1,842.80","1,481.90","470,519","860,674,251.80","33,396"
"24-Jul-2023","EQ","1,796.00","1,842.80","1,790.05","1,804.60","1,815.00","1,813.05","1,826.36","1,842.80","1,481.90","779,732","1,424,073,574.75","37,506"
"21-Jul-2023","EQ","1,820.00","1,824.95","1,790.00","1,819.45","1,803.00","1,804.60","1,811.58","1,839.50","1,406.10","779,636","1,412,373,396.90","32,645"
