"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","1,272.45","1,283.60","1,265.10","1,278.00","1,274.80","1,273.70","1,273.80","1,311.30","882.00","1,321,467","1,683,287,530.40","105,323"
"21-Sep-2023","EQ","1,284.00","1,285.00","1,259.30","1,293.40","1,279.05","1,278.00","1,272.71","1,311.30","882.00","3,112,700","3,961,551,242.75","153,306"
"20-Sep-2023","EQ","1,281.50","1,304.00","1,281.50","1,305.00","1,295.50","1,293.40","1,295.12","1,311.30","882.00","2,220,756","2,876,136,593.25","93,995"
"18-Sep-2023","EQ","1,302.00","1,311.30","1,289.70","1,304.60","1,303.00","1,305.00","1,303.79","1,311.30","882.00","2,761,885","3,600,908,541.05","115,143"
"15-Sep-2023","EQ","1,294.00","1,310.00","1,291.05","1,283.60","1,304.15","1,304.60","1,303.25","1,310.00","882.00","4,286,280","5,586,105,589.45","134,461"
"14-Sep-2023","EQ","1,280.85","1,290.70","1,275.60","1,275.25","1,285.00","1,283.60","1,283.14","1,291.75","882.00","2,655,172","3,406,957,951.50","201,055"
"13-Sep-2023","EQ","1,282.00","1,282.40","1,266.10","1,282.40","1,274.00","1,275.25","1,274.83","1,291.75","882.00","2,275,523","2,900,895,636.35","142,696"
"12-Sep-2023","EQ","1,285.00","1,291.75","1,265.50","1,281.55","1,280.00","1,282.40","1,279.20","1,291.75","882.00","2,140,769","2,738,467,990.45","118,421"
"11-Sep-2023","EQ","1,276.55","1,284.30","1,270.40","1,262.05","1,278.80","1,281.55","1,279.09","1,284.30","882.00","2,691,836","3,443,089,267.30","153,639"
"08-Sep-2023","EQ","1,259.00","1,269.55","1,254.30","1,254.00","1,262.00","1,262.05","1,262.49","1,269.55","882.00","2,280,777","2,879,448,337.20","138,497"
"07-Sep-2023","EQ","1,238.00","1,257.00","1,230.30","1,235.85","1,255.00","1,254.00","1,248.74","1,257.00","882.00","2,582,004","3,224,250,353.85","135,132"
"06-Sep-2023","EQ","1,239.85","1,242.40","1,222.70","1,235.55","1,236.00","1,235.85","1,233.14","1,242.40","882.00","1,767,709","2,179,839,681.75","125,649"
"05-Sep-2023","EQ","1,236.75","1,241.70","1,225.20","1,232.50","1,233.60","1,235.55","1,234.95","1,241.70","882.00","2,842,400","3,510,216,150.20","115,240"
"04-Sep-2023","EQ","1,186.00","1,235.00","1,185.00","1,185.80","1,232.00","1,232.50","1,217.25","1,235.00","882.00","4,517,935","5,499,434,616.70","184,099"
"01-Sep-2023","EQ","1,173.00","1,188.00","1,171.10","1,172.15","1,185.10","1,185.80","1,181.94","1,202.60","882.00","1,669,640","1,973,416,748.55","99,889"
"31-Aug-2023","EQ","1,179.50","1,188.10","1,165.90","1,170.50","1,175.00","1,172.15","1,176.10","1,202.60","882.00","4,483,967","5,273,612,689.40","118,762"
"30-Aug-2023","EQ","1,166.00","1,175.15","1,161.65","1,157.55","1,170.00","1,170.50","1,170.64","1,202.60","882.00","1,497,356","1,752,864,102.35","96,719"
"29-Aug-2023","EQ","1,153.90","1,163.30","1,148.30","1,146.45","1,159.00","1,157.55","1,155.40","1,202.60","882.00","1,794,652","2,073,544,535.75","113,850"
"28-Aug-2023","EQ","1,155.00","1,159.70","1,139.30","1,153.95","1,151.00","1,146.45","1,147.95","1,202.60","882.00","2,571,967","2,952,500,890.40","163,195"
"25-Aug-2023","EQ","1,165.00","1,170.80","1,150.00","1,171.25","1,153.00","1,153.95","1,158.89","1,202.60","882.00","2,105,159","2,439,650,896.40","115,977"
"24-Aug-2023","EQ","1,188.95","1,189.00","1,169.00","1,182.50","1,172.95","1,171.25","1,181.69","1,202.60","882.00","2,464,221","2,911,936,913.70","158,164"
"23-Aug-2023","EQ","1,192.95","1,195.00","1,178.65","1,179.50","1,182.85","1,182.50","1,183.73","1,202.60","882.00","2,347,850","2,779,228,768.60","143,492"
"22-Aug-2023","EQ","1,182.00","1,187.00","1,176.15","1,179.25","1,180.00","1,179.50","1,180.42","1,202.60","882.00","1,805,887","2,131,708,724.80","182,300"
"21-Aug-2023","EQ","1,172.95","1,188.90","1,168.95","1,173.70","1,177.95","1,179.25","1,180.73","1,202.60","882.00","1,661,946","1,962,305,473.05","127,751"
"18-Aug-2023","EQ","1,173.00","1,177.85","1,158.65","1,176.70","1,173.00","1,173.70","1,170.23","1,202.60","882.00","3,406,088","3,985,911,384.70","155,879"
"17-Aug-2023","EQ","1,176.85","1,180.95","1,163.95","1,177.15","1,174.95","1,176.70","1,174.65","1,202.60","882.00","2,331,256","2,738,408,350.50","133,531"
"16-Aug-2023","EQ","1,175.75","1,186.25","1,170.10","1,171.00","1,175.50","1,177.15","1,178.84","1,202.60","882.00","2,567,226","3,026,354,742.10","169,058"
"14-Aug-2023","EQ","1,170.65","1,177.00","1,154.00","1,171.45","1,170.00","1,171.00","1,167.10","1,202.60","882.00","1,720,940","2,008,502,293.40","144,674"
"11-Aug-2023","EQ","1,160.00","1,186.95","1,154.30","1,134.30","1,167.55","1,171.45","1,175.12","1,202.60","882.00","7,391,806","8,686,245,319.70","271,731"
"10-Aug-2023","EQ","1,140.00","1,144.80","1,128.65","1,144.15","1,134.90","1,134.30","1,134.81","1,202.60","882.00","1,676,669","1,902,705,079.75","95,658"
"09-Aug-2023","EQ","1,140.95","1,146.00","1,125.00","1,141.35","1,141.55","1,144.15","1,137.23","1,202.60","882.00","1,559,337","1,773,320,835.35","100,961"
"08-Aug-2023","EQ","1,154.90","1,156.90","1,137.00","1,150.80","1,140.00","1,141.35","1,144.60","1,202.60","882.00","1,667,697","1,908,843,348.50","98,052"
"07-Aug-2023","EQ","1,154.55","1,155.75","1,143.15","1,144.35","1,151.00","1,150.80","1,150.89","1,202.60","882.00","1,655,404","1,905,194,925.45","100,770"
"04-Aug-2023","EQ","1,130.45","1,152.35","1,126.00","1,125.50","1,142.50","1,144.35","1,145.33","1,202.60","882.00","3,315,303","3,797,127,841.60","100,505"
"03-Aug-2023","EQ","1,126.00","1,135.55","1,115.05","1,130.90","1,123.40","1,125.50","1,124.57","1,202.60","882.00","1,608,187","1,808,517,480.20","68,064"
"02-Aug-2023","EQ","1,137.00","1,137.00","1,121.50","1,138.50","1,127.00","1,130.90","1,130.19","1,202.60","882.00","2,701,150","3,052,813,702.50","129,632"
"01-Aug-2023","EQ","1,120.00","1,142.00","1,111.90","1,116.70","1,138.00","1,138.50","1,128.58","1,202.60","882.00","2,710,536","3,059,043,763.05","123,102"
