"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","1,559.00","1,564.40","1,523.75","1,553.35","1,530.20","1,529.65","1,544.59","1,757.50","1,365.00","30,852,125","47,653,955,740.50","548,206"
"21-Sep-2023","EQ","1,553.00","1,568.95","1,537.05","1,563.70","1,554.50","1,553.35","1,555.34","1,757.50","1,365.00","36,420,721","56,646,657,569.55","614,240"
"20-Sep-2023","EQ","1,599.00","1,599.00","1,560.40","1,629.05","1,566.00","1,563.70","1,570.63","1,757.50","1,365.00","57,737,324","90,684,080,075.60","977,717"
"18-Sep-2023","EQ","1,653.75","1,655.00","1,626.10","1,661.75","1,629.65","1,629.05","1,636.50","1,757.50","1,365.00","18,528,144","30,321,224,693.30","292,658"
"15-Sep-2023","EQ","1,650.00","1,670.00","1,650.00","1,642.90","1,657.00","1,661.75","1,660.63","1,757.50","1,365.00","86,705,601","143,986,131,583.85","485,971"
"14-Sep-2023","EQ","1,644.25","1,650.00","1,635.10","1,643.90","1,643.00","1,642.90","1,642.38","1,757.50","1,365.00","11,769,424","19,329,882,409.25","269,108"
"13-Sep-2023","EQ","1,631.30","1,651.60","1,628.60","1,636.90","1,641.60","1,643.90","1,643.76","1,757.50","1,365.00","23,210,047","38,151,741,645.90","353,522"
"12-Sep-2023","EQ","1,640.00","1,642.90","1,625.05","1,631.80","1,636.00","1,636.90","1,635.47","1,757.50","1,365.00","19,516,670","31,918,959,857.45","310,906"
"11-Sep-2023","EQ","1,628.90","1,636.50","1,624.00","1,623.40","1,633.00","1,631.80","1,631.32","1,757.50","1,365.00","15,786,511","25,752,884,037.25","290,843"
"08-Sep-2023","EQ","1,608.30","1,632.90","1,607.60","1,610.85","1,623.20","1,623.40","1,619.68","1,757.50","1,365.00","17,251,105","27,941,256,455.40","263,597"
"07-Sep-2023","EQ","1,595.50","1,614.00","1,587.15","1,595.50","1,611.00","1,610.85","1,601.67","1,757.50","1,365.00","17,104,171","27,395,255,131.15","282,493"
"06-Sep-2023","EQ","1,576.80","1,600.00","1,574.90","1,574.90","1,599.00","1,595.50","1,588.41","1,757.50","1,365.00","28,160,455","44,730,393,184.30","394,705"
"05-Sep-2023","EQ","1,588.40","1,588.40","1,570.60","1,584.55","1,575.00","1,574.90","1,576.27","1,757.50","1,365.00","19,356,041","30,510,314,620.10","407,651"
"04-Sep-2023","EQ","1,590.00","1,591.45","1,574.90","1,574.70","1,584.50","1,584.55","1,582.03","1,757.50","1,365.00","12,536,819","19,833,666,505.30","236,702"
"01-Sep-2023","EQ","1,571.00","1,579.00","1,559.35","1,571.45","1,573.75","1,574.70","1,569.33","1,757.50","1,365.00","21,613,388","33,918,508,405.30","450,304"
"31-Aug-2023","EQ","1,579.00","1,583.15","1,563.10","1,578.70","1,577.00","1,571.45","1,570.99","1,757.50","1,365.00","50,037,886","78,608,931,136.20","419,748"
"30-Aug-2023","EQ","1,603.95","1,603.95","1,573.70","1,590.30","1,579.00","1,578.70","1,589.56","1,757.50","1,365.00","14,042,102","22,320,781,696.10","297,743"
"29-Aug-2023","EQ","1,589.70","1,592.65","1,581.45","1,577.75","1,591.25","1,590.30","1,588.37","1,757.50","1,365.00","17,769,466","28,224,420,149.05","341,561"
