"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","643.40","656.00","642.25","644.25","648.50","649.45","650.58","690.85","457.80","1,925,717","1,252,842,070.60","67,184"
"21-Sep-2023","EQ","646.05","653.90","641.40","648.20","645.40","644.25","646.90","690.85","457.80","2,420,603","1,565,891,219.25","86,335"
"20-Sep-2023","EQ","659.35","659.35","645.75","659.95","648.00","648.20","650.44","690.85","457.80","1,596,867","1,038,671,520.85","59,668"
"18-Sep-2023","EQ","644.70","665.55","644.60","644.90","660.60","659.95","658.90","690.85","457.80","4,012,209","2,643,658,742.00","95,491"
"15-Sep-2023","EQ","641.20","646.85","640.30","645.45","646.45","644.90","644.27","690.85","457.80","6,827,895","4,399,011,636.45","98,805"
"14-Sep-2023","EQ","650.30","655.40","643.00","650.20","643.90","645.45","647.35","690.85","457.80","3,735,579","2,418,240,720.45","96,943"
"13-Sep-2023","EQ","656.00","658.95","642.70","660.95","651.25","650.20","650.18","690.85","457.80","4,423,644","2,876,184,361.10","82,738"
"12-Sep-2023","EQ","668.65","670.30","656.50","668.65","658.90","660.95","663.50","690.85","457.80","4,061,914","2,695,084,896.50","100,913"
"11-Sep-2023","EQ","658.00","677.55","656.40","657.45","667.60","668.65","669.66","690.85","457.80","4,083,029","2,734,231,195.45","82,935"
"08-Sep-2023","EQ","659.20","660.80","652.95","656.75","657.20","657.45","657.41","690.85","457.80","1,693,851","1,113,556,530.30","47,118"
"07-Sep-2023","EQ","648.00","657.75","643.05","647.55","655.10","656.75","652.14","690.85","457.80","2,349,089","1,531,945,906.60","76,111"
"06-Sep-2023","EQ","643.50","651.20","639.30","640.95","648.00","647.55","646.82","690.85","457.80","2,898,323","1,874,680,289.85","104,082"
"05-Sep-2023","EQ","644.00","648.10","636.00","640.05","641.45","640.95","641.40","690.85","457.80","3,759,460","2,411,311,964.60","96,583"
"04-Sep-2023","EQ","645.00","645.85","634.00","641.35","640.15","640.05","638.48","690.85","457.80","1,384,829","884,180,170.90","55,446"
"01-Sep-2023","EQ","644.75","648.00","638.55","644.75","641.00","641.35","643.17","690.85","457.80","1,271,599","817,853,629.40","47,391"
"31-Aug-2023","EQ","635.00","647.90","631.30","637.05","646.05","644.75","641.75","690.85","457.80","4,473,826","2,871,061,107.30","70,760"
"30-Aug-2023","EQ","636.50","639.95","634.15","634.90","637.00","637.05","637.11","690.85","457.80","1,858,995","1,184,382,490.75","40,710"
"29-Aug-2023","EQ","628.40","636.00","626.05","627.35","634.95","634.90","630.33","690.85","457.80","3,656,025","2,304,488,392.15","66,592"
"28-Aug-2023","EQ","629.00","632.25","624.65","628.30","628.45","627.35","628.31","690.85","457.80","2,531,965","1,590,863,602.55","37,803"
"25-Aug-2023","EQ","630.00","635.85","625.75","630.50","627.30","628.30","630.94","690.85","457.80","1,938,963","1,223,370,158.00","45,255"
"24-Aug-2023","EQ","635.00","637.50","628.50","633.20","631.00","630.50","632.91","690.85","457.80","1,518,585","961,129,886.40","61,486"
"23-Aug-2023","EQ","638.00","638.50","630.10","635.85","633.00","633.20","633.00","690.85","457.80","1,544,136","977,439,818.55","51,449"
"22-Aug-2023","EQ","625.00","654.05","624.20","625.15","634.70","635.85","643.54","690.85","457.80","8,186,967","5,268,600,551.55","141,086"
"21-Aug-2023","EQ","625.00","629.35","623.00","625.95","625.30","625.15","625.70","690.85","457.80","1,207,075","755,263,375.15","57,959"
"18-Aug-2023","EQ","623.00","627.45","616.75","628.40","623.90","625.95","623.13","690.85","457.80","2,392,364","1,490,750,399.55","67,274"
"17-Aug-2023","EQ","625.15","630.95","622.20","625.15","627.40","628.40","626.47","690.85","457.80","1,800,092","1,127,712,378.65","55,525"
"16-Aug-2023","EQ","627.10","629.80","619.65","632.75","624.20","625.15","623.79","690.85","457.80","1,800,138","1,122,907,501.05","45,839"
"14-Aug-2023","EQ","632.10","638.00","625.60","633.60","632.00","632.75","632.36","690.85","457.80","1,927,044","1,218,584,668.10","90,751"
