"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","3,010.00","3,040.00","2,990.15","3,000.95","3,025.00","3,022.70","3,022.42","3,244.00","2,246.00","323,540","977,873,176.50","28,054"
"21-Sep-2023","EQ","3,057.00","3,062.95","2,990.00","3,061.85","3,002.00","3,000.95","3,010.94","3,244.00","2,246.00","585,566","1,763,103,257.35","65,578"
"20-Sep-2023","EQ","3,114.60","3,132.85","3,048.25","3,114.65","3,055.50","3,061.85","3,095.79","3,244.00","2,246.00","575,906","1,782,882,501.00","42,443"
"18-Sep-2023","EQ","3,066.75","3,128.00","3,038.00","3,064.85","3,108.00","3,114.65","3,106.80","3,244.00","2,246.00","897,322","2,787,795,862.25","59,799"
"15-Sep-2023","EQ","3,014.60","3,103.00","3,004.95","2,998.40","3,065.95","3,064.85","3,067.24","3,244.00","2,246.00","949,607","2,912,669,550.40","66,851"
"14-Sep-2023","EQ","3,006.80","3,028.95","2,976.00","2,994.40","3,000.00","2,998.40","2,997.99","3,244.00","2,246.00","311,245","933,109,695.05","35,740"
"13-Sep-2023","EQ","3,020.05","3,034.90","2,985.10","3,020.05","2,996.85","2,994.40","2,999.37","3,244.00","2,246.00","290,774","872,139,950.35","24,749"
"12-Sep-2023","EQ","3,069.30","3,069.30","3,010.00","3,054.35","3,023.00","3,020.05","3,043.20","3,244.00","2,246.00","429,664","1,307,553,990.65","35,909"
"11-Sep-2023","EQ","3,028.90","3,059.00","3,019.05","3,008.75","3,053.20","3,054.35","3,040.20","3,244.00","2,246.00","486,566","1,479,255,551.50","30,843"
"08-Sep-2023","EQ","2,969.80","3,027.00","2,960.15","2,960.90","3,012.00","3,008.75","3,004.56","3,244.00","2,246.00","569,352","1,710,650,755.95","36,948"
"07-Sep-2023","EQ","2,940.00","2,968.45","2,930.60","2,938.00","2,964.00","2,960.90","2,954.79","3,244.00","2,246.00","242,002","715,065,001.20","21,889"
"06-Sep-2023","EQ","2,955.00","2,955.00","2,916.85","2,935.35","2,936.05","2,938.00","2,934.82","3,244.00","2,246.00","275,916","809,763,109.90","29,448"
"05-Sep-2023","EQ","2,965.00","2,973.90","2,928.20","2,942.85","2,935.45","2,935.35","2,944.30","3,244.00","2,246.00","306,742","903,139,367.45","20,896"
"04-Sep-2023","EQ","2,950.00","2,964.95","2,922.75","2,927.40","2,949.90","2,942.85","2,940.58","3,244.00","2,246.00","643,279","1,891,615,313.65","41,247"
"01-Sep-2023","EQ","2,932.95","2,947.15","2,908.00","2,915.95","2,927.05","2,927.40","2,930.22","3,244.00","2,246.00","331,811","972,280,675.15","28,388"
