"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","479.00","481.80","471.50","479.55","477.80","478.85","477.56","508.90","358.80","3,684,720","1,759,668,473.35","69,216"
"21-Sep-2023","EQ","479.00","486.45","476.40","478.30","479.00","479.55","482.02","508.90","358.80","5,146,457","2,480,695,408.45","98,187"
"20-Sep-2023","EQ","482.00","486.40","475.25","484.50","479.15","478.30","479.63","508.90","358.80","5,861,905","2,811,545,734.70","98,997"
"18-Sep-2023","EQ","494.00","494.00","483.15","496.55","485.70","484.50","487.97","508.90","358.80","6,238,600","3,044,270,503.75","92,530"
"15-Sep-2023","EQ","507.80","508.00","494.95","497.35","495.65","496.55","498.39","508.90","358.80","8,515,363","4,243,982,529.75","129,744"
"14-Sep-2023","EQ","486.00","508.90","486.00","483.20","499.15","497.35","501.09","508.90","358.80","16,108,768","8,071,942,202.65","200,651"
"13-Sep-2023","EQ","478.50","484.80","473.85","477.75","483.50","483.20","481.31","504.00","358.80","4,162,140","2,003,282,324.25","64,544"
"12-Sep-2023","EQ","490.00","490.90","475.40","484.85","477.70","477.75","479.95","504.00","358.80","6,817,270","3,271,917,741.35","128,292"
"11-Sep-2023","EQ","478.00","487.80","476.45","476.15","484.10","484.85","482.76","504.00","358.80","5,960,678","2,877,565,870.05","95,061"
"08-Sep-2023","EQ","473.00","478.80","467.70","475.10","476.50","476.15","473.92","504.00","358.80","5,637,990","2,671,947,089.65","85,702"
"07-Sep-2023","EQ","475.55","479.50","473.55","478.15","475.10","475.10","475.67","504.00","358.80","4,055,611","1,929,117,282.20","75,296"
"06-Sep-2023","EQ","484.90","484.90","474.25","486.10","478.10","478.15","477.50","504.00","358.80","5,138,246","2,453,504,932.80","79,028"
"05-Sep-2023","EQ","486.00","489.75","478.20","486.65","486.20","486.10","483.31","504.00","358.80","4,941,534","2,388,270,608.00","66,500"
"04-Sep-2023","EQ","477.60","492.30","475.00","473.25","487.85","486.65","488.02","504.00","358.80","10,359,653","5,055,683,549.50","110,730"
"01-Sep-2023","EQ","462.95","478.50","462.10","459.85","472.70","473.25","473.04","504.00","358.80","11,151,562","5,275,182,553.45","139,000"
"31-Aug-2023","EQ","462.25","465.00","456.75","456.75","461.15","459.85","460.85","504.00","358.80","9,294,166","4,283,223,723.95","94,757"
"30-Aug-2023","EQ","460.20","465.15","455.75","456.05","456.85","456.75","460.99","504.00","358.80","5,510,658","2,540,379,418.60","65,509"
"29-Aug-2023","EQ","448.00","458.50","447.35","446.30","456.90","456.05","454.91","504.00","358.80","6,062,408","2,757,853,459.45","73,107"
"28-Aug-2023","EQ","450.55","452.85","445.50","450.00","446.10","446.30","447.89","504.00","358.80","4,259,997","1,908,010,073.70","47,859"
"25-Aug-2023","EQ","453.00","454.30","448.90","456.50","449.85","450.00","451.31","504.00","358.80","3,304,204","1,491,209,402.70","41,447"
"24-Aug-2023","EQ","464.00","465.90","453.85","461.25","455.55","456.50","457.63","504.00","358.80","5,950,400","2,723,065,959.10","70,481"
"23-Aug-2023","EQ","454.70","465.30","452.90","450.35","460.90","461.25","461.83","504.00","358.80","9,182,054","4,240,534,158.70","105,038"
"22-Aug-2023","EQ","449.75","454.40","448.35","449.40","451.00","450.35","451.48","504.00","358.80","3,254,685","1,469,433,523.35","47,024"
"21-Aug-2023","EQ","443.00","450.85","439.90","439.50","448.70","449.40","446.68","504.00","358.80","3,775,298","1,686,363,936.05","52,463"
"18-Aug-2023","EQ","447.50","447.50","438.15","447.60","439.20","439.50","440.96","504.00","358.80","3,990,678","1,759,720,588.95","63,892"
"17-Aug-2023","EQ","443.00","449.25","440.50","445.20","446.10","447.60","444.70","504.00","358.80","3,558,210","1,582,350,324.75","74,485"
"16-Aug-2023","EQ","447.00","448.00","439.00","450.80","444.00","445.20","442.27","504.00","358.80","5,066,857","2,240,937,275.80","64,438"
"14-Aug-2023","EQ","458.60","458.60","447.60","462.45","448.85","450.80","450.80","504.00","358.80","4,566,085","2,058,382,264.00","84,400"
"11-Aug-2023","EQ","467.00","470.00","460.00","468.90","461.90","462.45","462.79","504.00","358.80","4,422,888","2,046,880,600.10","86,268"
