"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","2,468.00","2,490.00","2,458.00","2,473.35","2,484.00","2,482.45","2,478.30","2,769.65","2,393.00","1,176,741","2,916,322,660.55","120,526"
"21-Sep-2023","EQ","2,466.00","2,483.00","2,442.90","2,466.85","2,480.70","2,473.35","2,455.60","2,769.65","2,393.00","2,223,720","5,460,573,326.20","143,990"
"20-Sep-2023","EQ","2,449.65","2,480.00","2,445.00","2,488.65","2,469.00","2,466.85","2,466.47","2,769.65","2,393.00","1,795,159","4,427,706,009.20","105,855"
"18-Sep-2023","EQ","2,471.35","2,492.95","2,462.00","2,469.70","2,486.60","2,488.65","2,476.84","2,769.65","2,393.00","1,499,641","3,714,368,585.75","68,206"
"15-Sep-2023","EQ","2,474.80","2,490.00","2,466.00","2,500.80","2,469.00","2,469.70","2,472.04","2,769.65","2,393.00","3,750,697","9,271,857,499.10","216,163"
"14-Sep-2023","EQ","2,511.00","2,514.00","2,493.10","2,506.55","2,500.00","2,500.80","2,500.44","2,769.65","2,393.00","2,081,195","5,203,905,003.85","176,473"
"13-Sep-2023","EQ","2,494.00","2,509.00","2,492.00","2,498.85","2,506.65","2,506.55","2,502.52","2,769.65","2,393.00","1,231,305","3,081,370,168.15","82,616"
"12-Sep-2023","EQ","2,549.00","2,549.00","2,488.00","2,536.25","2,498.00","2,498.85","2,501.00","2,769.65","2,393.00","3,946,716","9,870,731,289.95","225,058"
"11-Sep-2023","EQ","2,513.80","2,538.90","2,509.05","2,513.80","2,538.50","2,536.25","2,530.73","2,769.65","2,393.00","1,121,083","2,837,161,215.80","74,709"
"08-Sep-2023","EQ","2,504.00","2,521.05","2,501.55","2,507.45","2,513.90","2,513.80","2,512.94","2,769.65","2,393.00","1,018,234","2,558,761,068.60","64,406"
"07-Sep-2023","EQ","2,510.00","2,521.85","2,500.00","2,523.50","2,509.70","2,507.45","2,506.02","2,769.65","2,393.00","1,894,798","4,748,392,450.25","135,196"
"06-Sep-2023","EQ","2,513.45","2,526.10","2,507.45","2,507.05","2,523.00","2,523.50","2,518.36","2,769.65","2,393.00","1,094,146","2,755,448,711.20","81,063"
"05-Sep-2023","EQ","2,510.00","2,523.45","2,502.10","2,501.40","2,512.00","2,507.05","2,511.35","2,769.65","2,393.00","844,088","2,119,803,324.15","96,986"
"04-Sep-2023","EQ","2,514.00","2,514.00","2,492.00","2,504.80","2,501.90","2,501.40","2,499.24","2,769.65","2,393.00","1,143,301","2,857,382,759.75","92,582"
"01-Sep-2023","EQ","2,505.05","2,514.50","2,500.00","2,505.05","2,504.60","2,504.80","2,506.90","2,769.65","2,393.00","813,413","2,039,147,968.65","74,955"
"31-Aug-2023","EQ","2,532.05","2,539.80","2,491.10","2,531.95","2,511.05","2,505.05","2,509.02","2,769.65","2,393.00","3,235,414","8,117,727,123.70","112,337"
"30-Aug-2023","EQ","2,526.15","2,536.00","2,520.00","2,526.15","2,532.35","2,531.95","2,531.41","2,769.65","2,393.00","1,227,377","3,106,989,132.20","71,789"
"29-Aug-2023","EQ","2,558.90","2,558.90","2,522.10","2,555.70","2,525.00","2,526.15","2,534.80","2,769.65","2,393.00","958,564","2,429,768,665.65","67,698"
"28-Aug-2023","EQ","2,565.00","2,568.00","2,539.00","2,563.55","2,552.00","2,555.70","2,551.19","2,769.65","2,393.00","619,841","1,581,335,140.60","63,673"
"25-Aug-2023","EQ","2,567.00","2,580.70","2,551.50","2,581.25","2,554.65","2,563.55","2,567.18","2,769.65","2,393.00","802,955","2,061,328,242.20","64,723"
"24-Aug-2023","EQ","2,585.00","2,591.75","2,566.95","2,574.05","2,571.65","2,581.25","2,581.68","2,769.65","2,393.00","1,143,934","2,953,275,627.15","88,489"
"23-Aug-2023","EQ","2,575.00","2,583.50","2,562.50","2,565.80","2,574.00","2,574.05","2,574.05","2,769.65","2,393.00","1,136,112","2,924,413,354.65","75,892"
"22-Aug-2023","EQ","2,573.60","2,575.00","2,553.00","2,562.75","2,558.50","2,565.80","2,565.14","2,769.65","2,393.00","960,025","2,462,598,464.30","82,836"
"21-Aug-2023","EQ","2,554.75","2,574.90","2,539.05","2,554.75","2,563.90","2,562.75","2,561.77","2,769.65","2,393.00","977,004","2,502,854,711.00","99,815"
"18-Aug-2023","EQ","2,532.10","2,567.75","2,532.10","2,543.25","2,555.70","2,554.75","2,555.09","2,769.65","2,393.00","1,970,819","5,035,621,207.40","110,496"
"17-Aug-2023","EQ","2,552.60","2,560.65","2,533.00","2,552.60","2,537.00","2,543.25","2,546.92","2,769.65","2,393.00","1,532,873","3,904,098,948.20","92,325"
"16-Aug-2023","EQ","2,534.00","2,555.05","2,524.40","2,533.10","2,550.00","2,552.60","2,545.53","2,769.65","2,393.00","1,155,882","2,942,336,444.05","64,919"
"14-Aug-2023","EQ","2,501.80","2,540.00","2,488.10","2,501.80","2,532.95","2,533.10","2,523.90","2,769.65","2,393.00","1,060,479","2,676,543,982.40","94,456"
"11-Aug-2023","EQ","2,535.00","2,536.65","2,499.00","2,536.70","2,501.00","2,501.80","2,508.09","2,769.65","2,393.00","1,472,199","3,692,407,707.80","109,547"
"10-Aug-2023","EQ","2,549.05","2,551.40","2,527.60","2,552.20","2,537.00","2,536.70","2,535.54","2,769.65","2,393.00","1,313,334","3,330,005,617.40","68,094"
"09-Aug-2023","EQ","2,565.85","2,568.95","2,541.00","2,565.85","2,553.35","2,552.20","2,548.34","2,769.65","2,393.00","1,212,549","3,089,983,564.30","80,921"
"08-Aug-2023","EQ","2,569.20","2,585.20","2,555.55","2,569.20","2,562.95","2,565.85","2,564.84","2,769.65","2,393.00","1,002,061","2,570,125,774.45","106,132"
"07-Aug-2023","EQ","2,540.00","2,574.00","2,538.75","2,546.00","2,573.80","2,569.20","2,561.73","2,769.65","2,393.00","803,823","2,059,174,044.85","59,987"
"04-Aug-2023","EQ","2,551.30","2,558.95","2,535.05","2,551.30","2,545.20","2,546.00","2,545.40","2,769.65","2,393.00","1,359,318","3,460,009,387.40","98,549"
"03-Aug-2023","EQ","2,557.95","2,561.05","2,537.20","2,568.95","2,552.00","2,551.30","2,546.35","2,769.65","2,393.00","1,475,310","3,756,658,717.75","92,243"
"02-Aug-2023","EQ","2,538.00","2,573.45","2,536.00","2,551.10","2,572.00","2,568.95","2,559.89","2,769.65","2,393.00","2,082,908","5,332,010,478.05","85,845"
"01-Aug-2023","EQ","2,570.00","2,573.80","2,545.00","2,560.80","2,555.00","2,551.10","2,555.03","2,769.65","2,393.00","1,758,897","4,494,026,902.20","103,864"
"31-Jul-2023","EQ","2,575.05","2,582.90","2,554.00","2,584.60","2,559.60","2,560.80","2,562.03","2,769.65","2,393.00","2,003,252","5,132,399,104.20","119,095"
"28-Jul-2023","EQ","2,570.00","2,593.75","2,565.20","2,569.85","2,580.00","2,584.60","2,579.98","2,769.65","2,393.00","966,450","2,493,422,397.15","74,109"
"27-Jul-2023","EQ","2,561.00","2,583.00","2,553.00","2,583.30","2,574.80","2,569.85","2,567.40","2,769.65","2,393.00","2,276,136","5,843,753,185.65","193,251"
"26-Jul-2023","EQ","2,579.50","2,598.80","2,572.30","2,568.15","2,580.40","2,583.30","2,588.80","2,769.65","2,393.00","1,300,033","3,365,528,345.45","106,554"
"25-Jul-2023","EQ","2,580.20","2,586.60","2,562.30","2,580.25","2,565.00","2,568.15","2,570.89","2,769.65","2,393.00","1,653,775","4,251,680,207.95","162,958"
"24-Jul-2023","EQ","2,604.00","2,605.95","2,575.00","2,604.00","2,580.00","2,580.25","2,587.27","2,769.65","2,393.00","1,777,469","4,598,792,902.20","147,744"
"21-Jul-2023","EQ","2,650.00","2,676.35","2,592.00","2,703.25","2,605.90","2,604.00","2,629.20","2,769.65","2,393.00","5,198,952","13,669,104,971.90","274,983"
"20-Jul-2023","EQ","2,669.05","2,716.30","2,658.20","2,671.60","2,700.20","2,703.25","2,690.22","2,769.65","2,393.00","1,430,764","3,849,063,401.30","85,814"
"19-Jul-2023","EQ","2,682.75","2,696.90","2,660.90","2,682.80","2,671.20","2,671.60","2,669.01","2,769.65","2,393.00","1,166,542","3,113,516,836.15","80,927"
"18-Jul-2023","EQ","2,685.55","2,701.10","2,677.30","2,681.70","2,680.05","2,682.80","2,683.86","2,769.65","2,393.00","1,215,904","3,263,317,500.75","81,378"
"17-Jul-2023","EQ","2,670.00","2,703.20","2,670.00","2,676.90","2,688.00","2,681.70","2,684.69","2,769.65","2,393.00","912,701","2,450,323,681.30","82,944"
"14-Jul-2023","EQ","2,655.00","2,686.50","2,651.05","2,654.70","2,678.00","2,676.90","2,674.00","2,769.65","2,393.00","1,419,016","3,794,443,091.60","92,718"
"13-Jul-2023","EQ","2,684.95","2,687.45","2,651.20","2,673.65","2,658.25","2,654.70","2,668.72","2,769.65","2,393.00","1,495,067","3,989,914,074.20","95,377"
"12-Jul-2023","EQ","2,704.95","2,704.95","2,642.50","2,684.50","2,668.00","2,673.65","2,666.33","2,769.65","2,393.00","2,395,826","6,388,052,207.25","125,342"
"11-Jul-2023","EQ","2,657.10","2,716.75","2,646.00","2,656.55","2,685.10","2,684.50","2,691.65","2,769.65","2,393.00","2,476,367","6,665,519,383.90","117,440"
"10-Jul-2023","EQ","2,709.90","2,711.35","2,651.00","2,698.10","2,657.00","2,656.55","2,670.21","2,769.65","2,393.00","1,518,183","4,053,865,096.45","79,270"
"07-Jul-2023","EQ","2,753.10","2,769.65","2,691.00","2,757.10","2,699.00","2,698.10","2,736.35","2,769.65","2,276.00","1,178,930","3,225,969,760.05","89,844"
"06-Jul-2023","EQ","2,759.90","2,765.00","2,735.65","2,755.85","2,750.00","2,757.10","2,752.27","2,765.00","2,276.00","1,265,020","3,481,673,250.00","80,838"
"05-Jul-2023","EQ","2,699.95","2,759.40","2,696.10","2,700.00","2,756.95","2,755.85","2,739.61","2,759.40","2,276.00","1,717,547","4,705,405,809.65","101,423"
"04-Jul-2023","EQ","2,701.05","2,706.70","2,675.00","2,701.05","2,701.55","2,700.00","2,694.55","2,741.60","2,276.00","721,907","1,945,211,783.95","59,631"
"03-Jul-2023","EQ","2,687.00","2,705.85","2,659.45","2,678.15","2,700.20","2,701.05","2,680.80","2,741.60","2,276.00","980,665","2,628,963,266.80","77,899"
"30-Jun-2023","EQ","2,665.95","2,685.90","2,651.35","2,661.25","2,676.05","2,678.15","2,670.31","2,741.60","2,203.60","1,160,181","3,098,045,688.10","100,991"
"28-Jun-2023","EQ","2,652.95","2,687.60","2,642.00","2,651.35","2,669.65","2,661.25","2,665.90","2,741.60","2,203.60","1,397,573","3,725,792,249.90","75,563"
"27-Jun-2023","EQ","2,652.10","2,661.60","2,636.00","2,652.10","2,650.00","2,651.35","2,648.01","2,741.60","2,203.60","687,747","1,821,161,971.15","41,410"
"26-Jun-2023","EQ","2,642.15","2,674.20","2,642.15","2,641.60","2,653.70","2,652.10","2,656.21","2,741.60","2,203.60","758,700","2,015,268,379.95","43,105"
"23-Jun-2023","EQ","2,651.30","2,660.55","2,627.45","2,654.35","2,647.00","2,641.60","2,639.71","2,741.60","2,108.15","991,214","2,616,517,618.00","69,693"
"22-Jun-2023","EQ","2,668.65","2,678.00","2,648.70","2,676.60","2,655.35","2,654.35","2,658.11","2,741.60","2,108.15","830,052","2,206,370,477.75","48,900"
"21-Jun-2023","EQ","2,685.95","2,706.85","2,668.45","2,676.10","2,672.50","2,676.60","2,685.49","2,741.60","2,108.15","1,201,840","3,227,525,742.20","86,315"
"20-Jun-2023","EQ","2,670.00","2,680.40","2,648.10","2,683.25","2,677.35","2,676.10","2,667.41","2,741.60","2,108.15","1,129,279","3,012,245,307.85","79,624"
"19-Jun-2023","EQ","2,702.00","2,711.40","2,675.00","2,715.65","2,689.25","2,683.25","2,689.35","2,741.60","2,108.15","1,068,263","2,872,932,753.15","63,172"
"16-Jun-2023","EQ","2,689.70","2,724.00","2,683.20","2,689.70","2,714.25","2,715.65","2,707.57","2,741.60","2,100.00","1,748,145","4,733,228,330.20","88,442"
"15-Jun-2023","EQ","2,713.95","2,717.50","2,678.15","2,698.75","2,688.30","2,689.70","2,694.57","2,741.60","2,100.00","1,830,192","4,931,575,355.70","106,076"
"14-Jun-2023","EQ","2,671.00","2,702.10","2,652.00","2,675.90","2,698.95","2,698.75","2,680.19","2,741.60","2,100.00","1,536,248","4,117,431,067.65","133,627"
"13-Jun-2023","EQ","2,629.60","2,697.00","2,627.50","2,643.45","2,669.00","2,675.90","2,679.44","2,741.60","2,100.00","1,787,924","4,790,643,710.70","100,297"
"12-Jun-2023","EQ","2,645.00","2,657.00","2,633.00","2,636.20","2,649.80","2,643.45","2,645.66","2,741.60","2,100.00","775,484","2,051,667,744.60","59,571"
"09-Jun-2023","EQ","2,688.95","2,688.95","2,620.10","2,679.90","2,639.95","2,636.20","2,641.03","2,741.60","2,100.00","1,413,808","3,733,916,115.35","94,529"
"08-Jun-2023","EQ","2,707.00","2,721.55","2,674.90","2,716.20","2,677.65","2,679.90","2,690.37","2,741.60","2,100.00","923,536","2,484,652,686.85","71,040"
"07-Jun-2023","EQ","2,690.00","2,727.00","2,679.35","2,691.15","2,709.00","2,716.20","2,713.95","2,741.60","2,100.00","1,428,490","3,876,846,606.35","81,231"
"06-Jun-2023","EQ","2,700.00","2,707.90","2,670.15","2,695.80","2,693.00","2,691.15","2,685.00","2,741.60","2,100.00","655,372","1,759,676,340.00","45,982"
"05-Jun-2023","EQ","2,716.45","2,722.00","2,684.15","2,716.70","2,702.00","2,695.80","2,695.82","2,741.60","2,100.00","1,000,190","2,696,336,058.55","77,118"
"02-Jun-2023","EQ","2,710.00","2,738.20","2,691.65","2,697.90","2,711.05","2,716.70","2,722.86","2,741.60","2,100.00","1,509,260","4,109,506,199.55","95,015"
"01-Jun-2023","EQ","2,667.00","2,731.25","2,654.50","2,667.55","2,691.00","2,697.90","2,705.75","2,741.60","2,100.00","1,541,080","4,169,783,905.90","123,682"
"31-May-2023","EQ","2,656.55","2,680.00","2,638.00","2,656.55","2,667.65","2,667.55","2,663.64","2,741.60","2,100.00","3,388,305","9,025,215,313.35","105,365"
"30-May-2023","EQ","2,655.50","2,665.00","2,650.85","2,650.30","2,655.00","2,656.55","2,658.52","2,741.60","2,100.00","948,051","2,520,410,983.00","63,135"
"29-May-2023","EQ","2,670.00","2,679.55","2,645.05","2,652.35","2,649.50","2,650.30","2,662.94","2,741.60","2,100.00","698,267","1,859,444,941.95","53,571"
"26-May-2023","EQ","2,603.75","2,656.70","2,603.10","2,597.25","2,652.05","2,652.35","2,630.25","2,741.60","2,100.00","947,073","2,491,037,808.50","52,677"
"25-May-2023","EQ","2,610.00","2,626.15","2,580.55","2,614.95","2,598.05","2,597.25","2,595.97","2,741.60","2,100.00","1,072,231","2,783,479,757.80","55,384"
"24-May-2023","EQ","2,620.00","2,638.00","2,608.00","2,628.30","2,615.35","2,614.95","2,620.03","2,741.60","2,100.00","628,872","1,647,666,150.90","62,129"
"23-May-2023","EQ","2,632.00","2,649.80","2,625.00","2,638.10","2,631.85","2,628.30","2,635.01","2,741.60","2,100.00","703,864","1,854,688,998.70","95,345"
"22-May-2023","EQ","2,635.00","2,655.45","2,623.05","2,641.45","2,636.00","2,638.10","2,640.05","2,741.60","2,100.00","768,232","2,028,173,313.50","44,256"
"19-May-2023","EQ","2,628.65","2,649.00","2,600.65","2,627.55","2,641.00","2,641.45","2,623.50","2,741.60","2,100.00","1,174,757","3,081,969,403.45","85,683"
"18-May-2023","EQ","2,665.50","2,669.20","2,621.85","2,661.75","2,627.00","2,627.55","2,640.55","2,741.60","2,100.00","1,434,067","3,786,723,826.60","94,635"
"17-May-2023","EQ","2,672.00","2,674.00","2,647.05","2,675.90","2,659.10","2,661.75","2,663.18","2,741.60","2,100.00","839,404","2,235,485,781.50","82,314"
"16-May-2023","EQ","2,670.00","2,678.40","2,650.60","2,662.25","2,670.10","2,675.90","2,667.98","2,741.60","2,100.00","1,477,905","3,943,016,050.35","83,726"
"15-May-2023","EQ","2,637.95","2,670.75","2,623.05","2,623.40","2,659.10","2,662.25","2,656.23","2,741.60","2,100.00","1,561,055","4,146,528,318.20","171,332"
"12-May-2023","EQ","2,594.00","2,640.00","2,586.40","2,592.40","2,619.05","2,623.40","2,621.43","2,741.60","2,100.00","2,170,011","5,688,530,941.25","150,578"
"11-May-2023","EQ","2,536.95","2,599.00","2,523.60","2,522.70","2,590.00","2,592.40","2,566.19","2,741.60","2,100.00","1,749,356","4,489,171,358.20","106,466"
"10-May-2023","EQ","2,521.00","2,535.00","2,505.85","2,515.80","2,518.30","2,522.70","2,524.64","2,741.60","2,100.00","2,025,658","5,114,064,638.75","90,860"
"09-May-2023","EQ","2,525.00","2,525.00","2,500.05","2,516.30","2,514.00","2,515.80","2,510.45","2,741.60","2,100.00","1,651,327","4,145,581,417.15","83,682"
"08-May-2023","EQ","2,505.75","2,526.85","2,497.15","2,500.75","2,516.95","2,516.30","2,516.56","2,741.60","2,100.00","972,810","2,448,131,241.50","72,102"
"05-May-2023","EQ","2,500.00","2,520.00","2,494.70","2,506.75","2,501.20","2,500.75","2,506.34","2,741.60","2,100.00","1,354,871","3,395,766,308.10","115,127"
"04-May-2023","EQ","2,486.95","2,509.35","2,480.15","2,486.00","2,502.50","2,506.75","2,496.17","2,741.60","2,100.00","1,150,227","2,871,161,275.30","120,976"
"03-May-2023","EQ","2,456.95","2,490.00","2,452.65","2,451.70","2,485.20","2,486.00","2,478.84","2,741.60","2,100.00","1,258,140","3,118,730,037.90","79,036"
"02-May-2023","EQ","2,471.80","2,478.00","2,450.00","2,457.30","2,450.90","2,451.70","2,459.83","2,741.60","2,100.00","1,760,370","4,330,219,495.00","107,548"
"28-Apr-2023","EQ","2,436.05","2,467.80","2,419.00","2,468.95","2,458.00","2,457.30","2,437.60","2,741.60","2,047.00","3,761,927","9,170,072,491.45","167,242"
"27-Apr-2023","EQ","2,513.95","2,522.00","2,457.00","2,510.80","2,469.00","2,468.95","2,475.66","2,741.60","2,047.00","2,743,893","6,792,941,414.45","166,075"
"26-Apr-2023","EQ","2,490.00","2,518.00","2,482.20","2,490.45","2,514.95","2,510.80","2,501.52","2,741.60","2,047.00","1,245,903","3,116,647,281.95","64,383"
"25-Apr-2023","EQ","2,490.85","2,499.75","2,478.05","2,499.75","2,489.00","2,490.45","2,487.49","2,741.60","2,047.00","1,701,098","4,231,471,669.80","87,717"
"24-Apr-2023","EQ","2,502.00","2,504.90","2,475.10","2,497.95","2,500.60","2,499.75","2,489.60","2,741.60","2,047.00","1,735,797","4,321,438,862.05","71,482"
"21-Apr-2023","EQ","2,492.00","2,509.50","2,485.65","2,492.60","2,499.85","2,497.95","2,495.33","2,741.60","2,047.00","1,206,288","3,010,085,613.00","83,359"
"20-Apr-2023","EQ","2,517.80","2,532.40","2,480.00","2,531.60","2,493.15","2,492.60","2,500.80","2,741.60","2,047.00","1,401,364","3,504,524,469.00","72,949"
"19-Apr-2023","EQ","2,548.00","2,548.00","2,510.25","2,541.05","2,523.50","2,531.60","2,525.19","2,741.60","2,047.00","1,320,243","3,333,869,919.70","65,279"
"18-Apr-2023","EQ","2,560.00","2,560.00","2,530.00","2,551.85","2,538.25","2,541.05","2,542.15","2,741.60","2,047.00","1,474,786","3,749,130,497.60","84,791"
