"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","956.50","960.90","947.40","959.30","951.50","950.30","955.04","1,008.70","796.00","12,701,888","12,130,824,852.40","285,137"
"21-Sep-2023","EQ","979.95","982.50","957.45","987.15","959.40","959.30","965.36","1,008.70","796.00","19,742,813","19,058,980,867.15","397,438"
"20-Sep-2023","EQ","981.55","996.00","980.65","990.20","988.10","987.15","986.34","1,008.70","796.00","25,741,856","25,390,113,398.50","471,565"
"18-Sep-2023","EQ","990.10","996.25","987.30","992.45","989.45","990.20","992.03","1,008.70","796.00","16,713,222","16,579,990,394.95","232,525"
"15-Sep-2023","EQ","990.35","997.50","988.60","987.70","991.95","992.45","992.53","1,008.70","796.00","13,307,980","13,208,589,294.85","197,327"
"14-Sep-2023","EQ","992.30","992.90","982.25","989.80","987.75","987.70","987.17","1,008.70","796.00","11,464,188","11,317,106,954.40","215,342"
"13-Sep-2023","EQ","989.80","994.85","980.55","990.50","989.95","989.80","988.38","1,008.70","796.00","21,997,553","21,742,027,080.55","363,734"
"12-Sep-2023","EQ","990.10","995.15","982.65","978.25","989.55","990.50","988.45","1,008.70","796.00","20,959,591","20,717,509,808.35","297,925"
"11-Sep-2023","EQ","974.95","982.00","969.35","970.55","982.00","978.25","974.06","1,008.70","796.00","7,894,110","7,689,302,117.05","213,561"
"08-Sep-2023","EQ","967.50","975.00","961.25","965.65","971.80","970.55","968.42","1,008.70","796.00","13,086,915","12,673,695,006.90","219,318"
"07-Sep-2023","EQ","957.40","969.50","954.70","957.50","962.95","965.65","961.62","1,008.70","796.00","13,462,347","12,945,641,821.95","244,409"
"06-Sep-2023","EQ","962.55","969.50","950.80","968.40","960.05","957.50","957.94","1,008.70","796.00","30,802,100","29,506,413,588.70","436,476"
"05-Sep-2023","EQ","964.10","970.00","962.25","967.35","969.50","968.40","965.27","1,008.70","796.00","16,623,486","16,046,141,015.75","259,236"
"04-Sep-2023","EQ","968.70","969.05","960.55","968.70","967.00","967.35","964.60","1,008.70","796.00","9,512,956","9,176,182,299.30","209,738"
"01-Sep-2023","EQ","956.90","973.05","952.80","958.75","967.60","968.70","961.63","1,008.70","796.00","16,268,147","15,643,884,506.15","269,894"
"31-Aug-2023","EQ","960.00","966.20","954.05","958.90","959.85","958.75","959.09","1,008.70","796.00","36,675,400","35,174,833,652.85","365,627"
"30-Aug-2023","EQ","970.45","975.90","955.40","967.75","958.50","958.90","966.84","1,008.70","796.00","13,936,165","13,474,025,378.85","277,019"
"29-Aug-2023","EQ","973.30","977.25","965.65","970.55","967.70","967.75","970.16","1,008.70","796.00","13,209,913","12,815,756,159.75","220,782"
"28-Aug-2023","EQ","969.95","975.00","965.05","970.40","971.40","970.55","970.17","1,008.70","796.00","10,481,574","10,168,926,507.60","245,681"
"25-Aug-2023","EQ","962.95","972.60","960.20","968.95","969.85","970.40","968.49","1,008.70","796.00","10,275,758","9,951,995,362.20","196,217"
"24-Aug-2023","EQ","972.50","982.40","966.75","966.85","968.80","968.95","972.60","1,008.70","796.00","28,389,740","27,611,944,070.65","343,063"
"23-Aug-2023","EQ","954.00","968.05","949.85","952.00","967.00","966.85","960.41","1,008.70","796.00","14,707,331","14,125,049,768.25","331,761"
"22-Aug-2023","EQ","956.40","956.95","949.30","955.20","950.00","952.00","953.54","1,008.70","796.00","16,872,719","16,088,743,644.25","284,535"
"21-Aug-2023","EQ","950.70","959.30","948.40","950.65","952.85","955.20","955.23","1,008.70","796.00","13,358,017","12,759,968,175.35","253,434"
"18-Aug-2023","EQ","947.90","955.00","946.00","951.65","948.95","950.65","951.53","1,008.70","796.00","13,257,508","12,614,874,160.35","215,725"
"17-Aug-2023","EQ","956.95","957.80","946.45","956.50","950.00","951.65","951.03","1,008.70","796.00","27,077,611","25,751,522,550.55","332,152"
"16-Aug-2023","EQ","954.45","959.80","946.60","959.55","956.00","956.50","954.56","1,008.70","796.00","17,930,805","17,116,068,426.30","189,193"
"14-Aug-2023","EQ","949.00","962.90","946.00","952.85","959.00","959.55","956.40","1,008.70","796.00","19,026,691","18,197,049,210.40","245,849"
"11-Aug-2023","EQ","963.40","963.50","950.00","964.10","954.35","952.85","955.69","1,008.70","796.00","17,162,177","16,401,688,668.60","194,985"
"10-Aug-2023","EQ","971.55","973.65","959.45","972.70","963.35","964.10","965.21","1,008.70","796.00","24,858,441","23,993,561,281.30","336,041"
"09-Aug-2023","EQ","974.95","975.30","963.60","979.90","973.00","972.70","969.34","1,008.70","796.00","19,317,331","18,725,102,116.35","196,780"
"08-Aug-2023","EQ","975.75","986.60","972.30","975.65","981.00","979.90","980.50","1,008.70","796.00","23,784,778","23,321,034,820.05","298,758"
"07-Aug-2023","EQ","970.95","981.50","968.20","970.50","975.00","975.65","976.60","1,008.70","796.00","16,686,062","16,295,685,155.95","224,562"
"04-Aug-2023","EQ","968.65","976.00","961.25","965.00","970.85","970.50","969.48","1,008.70","796.00","20,582,882","19,954,679,141.05","296,882"
"03-Aug-2023","EQ","976.55","983.00","960.05","986.95","966.50","965.00","968.60","1,008.70","796.00","30,994,707","30,021,543,110.85","409,313"
"02-Aug-2023","EQ","985.25","994.10","977.50","994.55","986.05","986.95","985.15","1,008.70","796.00","15,787,996","15,553,548,909.85","243,935"
"01-Aug-2023","EQ","1,001.65","1,003.70","990.45","998.30","995.65","994.55","995.03","1,008.70","796.00","15,508,569","15,431,416,863.20","233,652"
"31-Jul-2023","EQ","996.00","999.40","988.60","996.20","997.00","998.30","995.23","1,008.70","796.00","14,303,116","14,234,904,667.90","232,761"
"28-Jul-2023","EQ","988.00","998.70","977.05","990.25","995.55","996.20","986.60","1,008.70","791.65","12,584,130","12,415,548,731.20","286,623"
"27-Jul-2023","EQ","1,002.55","1,006.50","987.20","996.45","994.10","990.25","993.54","1,008.70","791.65","25,932,395","25,764,883,809.10","320,992"
"26-Jul-2023","EQ","993.10","997.75","990.00","994.70","996.15","996.45","993.76","1,008.70","791.65","12,780,537","12,700,781,383.70","211,486"
"25-Jul-2023","EQ","999.00","999.00","988.25","992.00","993.90","994.70","992.39","1,008.70","791.65","29,325,327","29,102,078,261.10","365,896"
"24-Jul-2023","EQ","1,004.95","1,008.70","990.10","997.00","991.95","992.00","997.52","1,008.70","791.65","21,687,719","21,633,951,939.75","358,444"
"21-Jul-2023","EQ","995.30","1,001.45","988.80","995.60","1,000.45","997.00","994.46","1,001.45","757.85","16,903,003","16,809,434,509.70","255,812"
"20-Jul-2023","EQ","976.05","998.15","972.10","973.45","994.75","995.60","985.69","998.15","757.85","26,487,838","26,108,832,396.35","299,493"
"19-Jul-2023","EQ","980.00","980.00","967.55","975.45","973.55","973.45","972.26","987.95","757.85","15,994,261","15,550,541,577.95","228,514"
"18-Jul-2023","EQ","978.00","987.95","971.15","968.70","975.95","975.45","978.45","987.95","757.85","29,709,508","29,069,204,304.05","402,173"
"17-Jul-2023","EQ","962.90","973.80","952.85","960.05","972.05","968.70","959.83","973.80","757.85","16,290,763","15,636,381,792.45","227,824"
"14-Jul-2023","EQ","959.75","965.00","951.35","955.70","964.80","960.05","958.54","965.00","744.20","12,871,569","12,337,973,703.65","233,201"
"13-Jul-2023","EQ","947.70","959.25","942.20","944.40","956.50","955.70","953.88","964.75","744.20","23,222,286","22,151,217,019.20","320,781"
"12-Jul-2023","EQ","948.40","951.15","941.25","944.95","944.00","944.40","945.50","964.75","744.20","21,511,161","20,338,709,528.85","341,763"
"11-Jul-2023","EQ","948.40","952.70","941.90","948.40","945.90","944.95","948.14","964.75","744.20","16,977,595","16,097,205,936.20","274,418"
"10-Jul-2023","EQ","946.00","952.90","941.35","946.40","947.75","948.40","948.81","964.75","744.20","12,069,184","11,451,380,722.10","239,717"
"07-Jul-2023","EQ","953.00","955.05","943.80","959.40","944.95","946.40","949.99","964.75","704.85","8,593,807","8,163,998,786.25","205,348"
"06-Jul-2023","EQ","954.70","963.90","954.00","958.00","958.00","959.40","959.75","964.75","704.85","16,334,427","15,676,948,689.65","265,389"
"05-Jul-2023","EQ","942.05","964.75","941.00","944.70","959.40","958.00","959.34","964.75","704.85","13,817,767","13,256,000,056.30","236,282"
"04-Jul-2023","EQ","947.25","951.30","942.00","942.55","944.55","944.70","946.50","958.85","704.85","14,041,699","13,290,439,502.70","230,684"
"03-Jul-2023","EQ","937.00","945.75","936.50","934.60","942.95","942.55","942.96","958.85","704.85","12,350,359","11,645,937,223.35","280,788"
"30-Jun-2023","EQ","940.50","942.20","930.65","937.45","934.00","934.60","934.58","958.85","694.10","13,843,218","12,937,538,588.05","238,313"
"28-Jun-2023","EQ","944.00","944.00","934.30","936.10","939.95","937.45","938.91","958.85","694.10","25,708,001","24,137,627,542.55","315,439"
"27-Jun-2023","EQ","930.00","939.95","922.20","927.45","939.50","936.10","929.69","958.85","694.10","13,422,726","12,478,987,767.95","212,409"
"26-Jun-2023","EQ","927.10","931.80","923.20","923.50","927.00","927.45","926.74","958.85","694.10","11,749,040","10,888,355,748.15","195,374"
"23-Jun-2023","EQ","926.05","931.90","919.00","925.75","923.90","923.50","924.42","958.85","677.60","8,767,733","8,105,050,233.05","155,655"
"22-Jun-2023","EQ","924.40","935.55","920.70","924.70","925.70","925.75","930.42","958.85","677.60","27,291,569","25,392,594,584.00","215,747"
"21-Jun-2023","EQ","928.00","928.40","920.00","925.55","925.00","924.70","923.80","958.85","677.60","9,210,553","8,508,710,895.75","157,330"
"20-Jun-2023","EQ","920.95","928.55","914.80","923.15","928.20","925.55","919.93","958.85","677.60","15,212,286","13,994,175,555.45","287,355"
"19-Jun-2023","EQ","933.50","933.95","918.70","934.20","922.35","923.15","923.17","958.85","677.60","19,351,375","17,864,588,448.55","282,056"
"16-Jun-2023","EQ","929.30","937.75","927.00","926.60","934.05","934.20","932.02","958.85","669.95","11,249,387","10,484,657,237.25","166,192"
"15-Jun-2023","EQ","940.70","942.95","924.35","939.80","927.00","926.60","932.03","958.85","669.95","19,366,819","18,050,535,655.75","196,189"
"14-Jun-2023","EQ","946.05","946.95","936.25","943.55","939.15","939.80","938.69","958.85","669.95","13,489,262","12,662,298,905.90","161,261"
"13-Jun-2023","EQ","935.90","946.25","934.10","935.95","943.75","943.55","940.17","958.85","669.95","13,528,776","12,719,334,878.30","184,244"
"12-Jun-2023","EQ","938.00","943.50","933.30","938.05","936.70","935.95","938.60","958.85","669.95","10,520,125","9,874,219,363.85","163,744"
"09-Jun-2023","EQ","941.40","944.00","936.20","937.90","939.00","938.05","939.36","958.85","669.95","12,253,128","11,510,047,267.80","160,590"
"08-Jun-2023","EQ","936.60","950.50","935.20","940.20","938.95","937.90","943.61","958.85","669.95","17,608,140","16,615,268,439.75","191,521"
"07-Jun-2023","EQ","944.35","945.85","933.80","942.10","940.00","940.20","937.88","958.85","669.95","16,486,469","15,462,369,201.45","201,193"
"06-Jun-2023","EQ","946.50","947.80","938.10","946.75","942.60","942.10","941.11","958.85","669.95","11,894,330","11,193,869,092.55","140,147"
"05-Jun-2023","EQ","943.00","951.80","943.00","938.15","947.00","946.75","948.39","958.85","669.95","10,751,684","10,196,745,923.25","124,104"
"02-Jun-2023","EQ","943.00","944.65","935.05","936.10","936.60","938.15","939.61","958.85","669.95","12,494,376","11,739,902,972.45","202,054"
"01-Jun-2023","EQ","954.25","954.25","932.80","949.15","936.45","936.10","946.03","958.85","669.95","21,650,700","20,482,235,167.70","199,559"
"31-May-2023","EQ","949.50","952.00","940.50","949.95","951.30","949.15","946.37","958.85","669.95","27,254,425","25,792,657,193.20","196,047"
"30-May-2023","EQ","945.35","952.30","944.65","948.15","951.35","949.95","948.19","958.85","669.95","18,483,624","17,525,924,428.00","165,705"
"29-May-2023","EQ","953.85","957.60","946.80","950.70","948.15","948.15","951.73","958.85","669.95","12,108,079","11,523,605,997.05","154,665"
"26-May-2023","EQ","939.80","952.45","935.55","939.85","950.50","950.70","944.90","958.85","669.95","10,957,182","10,353,399,956.05","116,316"
"25-May-2023","EQ","937.00","941.60","932.95","940.65","939.40","939.85","937.68","958.85","669.95","19,328,582","18,124,113,002.95","165,933"
"24-May-2023","EQ","946.70","953.85","938.50","953.40","941.10","940.65","948.39","958.85","669.95","18,049,620","17,118,111,862.45","156,440"
"23-May-2023","EQ","952.00","958.85","945.00","950.35","951.00","953.40","954.55","958.85","669.95","16,579,935","15,826,384,807.30","179,712"
"22-May-2023","EQ","951.05","954.25","946.15","954.30","948.50","950.35","950.48","958.20","669.95","15,509,525","14,741,519,452.50","174,326"
"19-May-2023","EQ","951.45","956.00","941.60","946.50","954.00","954.30","948.41","958.20","669.95","15,427,412","14,631,454,419.20","256,936"
"18-May-2023","EQ","947.95","952.25","942.10","939.35","946.50","946.50","947.09","958.20","669.95","21,550,141","20,409,847,199.75","209,338"
"17-May-2023","EQ","947.30","948.40","935.80","946.35","942.40","939.35","941.45","958.20","669.95","19,273,344","18,144,912,091.25","249,139"
"16-May-2023","EQ","950.00","952.20","943.00","945.75","944.30","946.35","948.71","958.20","669.95","19,612,293","18,606,305,163.90","226,076"
"15-May-2023","EQ","943.75","949.00","938.20","943.90","944.15","945.75","944.97","958.20","669.95","10,453,762","9,878,468,196.25","164,481"
"12-May-2023","EQ","939.75","948.00","935.10","939.20","943.50","943.90","940.76","958.20","669.95","13,873,480","13,051,598,098.95","197,789"
"11-May-2023","EQ","940.05","947.00","933.85","936.05","939.65","939.20","940.72","958.20","669.95","20,027,372","18,840,164,285.90","213,605"
"10-May-2023","EQ","934.60","941.00","928.25","934.40","936.60","936.05","933.75","958.20","669.95","25,910,923","24,194,253,986.15","210,957"
"09-May-2023","EQ","941.00","945.00","931.80","937.90","934.00","934.40","939.45","958.20","669.95","21,507,610","20,205,219,030.00","197,816"
"08-May-2023","EQ","927.00","941.70","927.00","926.95","937.85","937.90","938.29","958.20","669.95","18,623,913","17,474,548,902.45","173,542"
"05-May-2023","EQ","925.00","942.45","923.45","921.70","927.00","926.95","933.17","958.20","669.95","19,002,035","17,732,172,083.15","233,042"
"04-May-2023","EQ","920.00","923.90","911.80","922.85","920.10","921.70","917.17","958.20","669.95","20,485,002","18,788,228,239.40","182,779"
"03-May-2023","EQ","919.55","923.85","911.55","922.10","921.70","922.85","917.93","958.20","669.95","18,715,142","17,179,260,633.20","193,633"
"02-May-2023","EQ","924.00","925.80","918.70","917.65","921.95","922.10","922.52","958.20","669.95","17,515,017","16,158,017,786.15","171,814"
"28-Apr-2023","EQ","915.10","920.45","910.25","918.35","919.30","917.65","914.70","958.20","669.95","20,381,002","18,642,498,731.80","206,736"
"27-Apr-2023","EQ","909.50","919.90","908.55","914.95","917.60","918.35","915.76","958.20","669.95","25,835,108","23,658,735,545.70","201,239"
"26-Apr-2023","EQ","911.45","916.95","905.75","913.45","916.00","914.95","911.65","958.20","669.95","30,371,555","27,688,322,157.80","203,559"
"25-Apr-2023","EQ","906.30","916.00","903.10","904.75","913.20","913.45","910.82","958.20","669.95","41,383,839","37,693,089,217.55","348,026"
"24-Apr-2023","EQ","905.00","906.50","895.00","885.65","905.30","904.75","901.44","958.20","669.95","30,881,665","27,837,892,551.70","314,794"
"21-Apr-2023","EQ","894.55","900.70","882.40","894.40","887.60","885.65","892.06","958.20","669.95","29,578,071","26,385,557,760.90","191,343"
"20-Apr-2023","EQ","892.25","899.30","889.20","891.90","894.10","894.40","893.52","958.20","669.95","16,999,919","15,189,825,560.90","142,458"
"19-Apr-2023","EQ","895.90","896.90","887.25","896.85","892.10","891.90","891.12","958.20","669.95","24,377,956","21,723,699,310.75","186,782"
"18-Apr-2023","EQ","907.95","907.95","894.10","901.30","896.00","896.85","900.06","958.20","669.95","26,699,379","24,030,981,838.10","211,374"
"17-Apr-2023","EQ","917.30","917.30","893.15","899.00","899.60","901.30","900.34","958.20","669.95","29,957,514","26,971,974,096.80","218,944"
