"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","1,416.00","1,463.50","1,413.00","1,411.30","1,451.65","1,452.90","1,444.09","1,475.65","990.00","4,397,398","6,350,255,335.60","165,019"
"21-Sep-2023","EQ","1,431.00","1,443.65","1,406.35","1,440.45","1,411.00","1,411.30","1,419.24","1,475.65","990.00","2,514,377","3,568,510,034.25","178,641"
"20-Sep-2023","EQ","1,441.00","1,475.65","1,422.30","1,456.90","1,440.10","1,440.45","1,446.32","1,475.65","990.00","5,683,215","8,219,724,810.30","198,989"
"18-Sep-2023","EQ","1,454.00","1,462.75","1,445.15","1,450.00","1,454.95","1,456.90","1,457.00","1,467.85","990.00","1,504,046","2,191,396,342.00","90,493"
"15-Sep-2023","EQ","1,464.40","1,464.40","1,446.45","1,458.25","1,452.00","1,450.00","1,451.25","1,467.85","990.00","1,647,901","2,391,509,907.00","74,194"
"14-Sep-2023","EQ","1,459.95","1,467.85","1,450.45","1,455.05","1,454.90","1,458.25","1,459.96","1,467.85","990.00","2,407,947","3,515,502,210.75","138,340"
"13-Sep-2023","EQ","1,429.90","1,459.65","1,416.05","1,429.15","1,456.00","1,455.05","1,442.02","1,459.95","990.00","4,302,942","6,204,921,612.05","147,469"
"12-Sep-2023","EQ","1,450.10","1,453.90","1,425.10","1,450.20","1,433.00","1,429.15","1,436.41","1,459.95","990.00","1,943,026","2,790,984,035.80","118,569"
"11-Sep-2023","EQ","1,449.05","1,452.00","1,431.75","1,448.85","1,450.00","1,450.20","1,445.10","1,459.95","990.00","2,220,230","3,208,461,003.20","97,912"
"08-Sep-2023","EQ","1,445.00","1,459.95","1,434.10","1,439.60","1,447.55","1,448.85","1,448.85","1,459.95","990.00","2,862,657","4,147,574,760.75","79,669"
"07-Sep-2023","EQ","1,408.65","1,443.20","1,398.00","1,408.65","1,438.00","1,439.60","1,421.52","1,446.00","990.00","2,278,316","3,238,680,631.85","64,840"
"06-Sep-2023","EQ","1,421.75","1,421.75","1,396.45","1,423.75","1,405.25","1,408.65","1,406.58","1,446.00","990.00","4,046,484","5,691,713,033.15","216,495"
"05-Sep-2023","EQ","1,425.00","1,429.80","1,416.35","1,421.80","1,422.65","1,423.75","1,423.36","1,446.00","990.00","1,469,938","2,092,255,196.80","98,804"
"04-Sep-2023","EQ","1,423.85","1,427.50","1,415.00","1,416.55","1,419.15","1,421.80","1,421.23","1,446.00","990.00","998,692","1,419,366,374.65","62,617"
"01-Sep-2023","EQ","1,382.00","1,423.60","1,376.20","1,378.15","1,415.00","1,416.55","1,406.88","1,446.00","990.00","2,792,033","3,928,047,923.00","136,660"
"31-Aug-2023","EQ","1,392.45","1,401.90","1,363.25","1,392.45","1,379.00","1,378.15","1,377.39","1,446.00","990.00","4,106,180","5,655,794,363.35","168,986"
"30-Aug-2023","EQ","1,405.15","1,410.90","1,386.85","1,400.15","1,391.40","1,392.45","1,400.94","1,446.00","990.00","1,500,390","2,101,953,726.20","94,840"
"29-Aug-2023","EQ","1,409.45","1,413.70","1,392.45","1,409.45","1,401.00","1,400.15","1,400.63","1,446.00","990.00","1,831,565","2,565,347,394.40","108,426"
"28-Aug-2023","EQ","1,400.00","1,411.25","1,393.80","1,401.15","1,409.50","1,409.45","1,405.98","1,446.00","990.00","1,072,295","1,507,628,846.40","67,843"
"25-Aug-2023","EQ","1,417.95","1,421.45","1,389.05","1,425.15","1,397.50","1,401.15","1,400.49","1,446.00","990.00","1,862,535","2,608,466,631.80","101,274"
"24-Aug-2023","EQ","1,408.25","1,435.00","1,402.25","1,401.00","1,418.65","1,425.15","1,425.01","1,446.00","990.00","3,559,546","5,072,372,068.00","155,256"
