"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","1,491.90","1,506.95","1,485.20","1,501.75","1,495.00","1,496.15","1,498.04","1,672.60","1,185.30","5,455,613","8,172,750,781.15","207,641"
"21-Sep-2023","EQ","1,486.55","1,504.55","1,476.00","1,490.25","1,500.00","1,501.75","1,493.20","1,672.60","1,185.30","6,779,195","10,122,712,262.45","197,654"
"20-Sep-2023","EQ","1,476.20","1,495.10","1,476.20","1,491.80","1,492.25","1,490.25","1,485.72","1,672.60","1,185.30","4,169,337","6,194,484,928.40","137,453"
"18-Sep-2023","EQ","1,504.90","1,504.90","1,488.00","1,511.60","1,490.00","1,491.80","1,493.78","1,672.60","1,185.30","3,991,916","5,963,027,755.00","141,817"
"15-Sep-2023","EQ","1,518.00","1,518.40","1,509.00","1,506.95","1,512.00","1,511.60","1,512.25","1,672.60","1,185.30","8,657,816","13,092,775,477.55","185,595"
"14-Sep-2023","EQ","1,505.00","1,512.55","1,499.15","1,498.35","1,505.55","1,506.95","1,505.99","1,672.60","1,185.30","6,444,213","9,704,889,706.65","211,776"
"13-Sep-2023","EQ","1,505.00","1,505.00","1,488.65","1,501.10","1,495.10","1,498.35","1,497.72","1,672.60","1,185.30","4,804,686","7,196,063,245.95","157,756"
"12-Sep-2023","EQ","1,482.50","1,504.00","1,477.10","1,476.45","1,501.00","1,501.10","1,492.48","1,672.60","1,185.30","6,793,161","10,138,668,745.00","223,119"
"11-Sep-2023","EQ","1,469.60","1,478.05","1,464.50","1,469.60","1,475.00","1,476.45","1,473.49","1,672.60","1,185.30","4,182,226","6,162,482,962.90","139,464"
"08-Sep-2023","EQ","1,463.50","1,474.75","1,460.20","1,466.20","1,468.45","1,469.60","1,469.26","1,672.60","1,185.30","3,125,838","4,592,675,942.50","113,333"
"07-Sep-2023","EQ","1,470.60","1,473.40","1,462.05","1,477.45","1,467.30","1,466.20","1,467.29","1,672.60","1,185.30","4,411,743","6,473,290,821.15","134,781"
"06-Sep-2023","EQ","1,481.90","1,482.90","1,463.30","1,478.90","1,475.80","1,477.45","1,472.98","1,672.60","1,185.30","5,075,786","7,476,534,609.00","186,641"
"05-Sep-2023","EQ","1,465.00","1,480.05","1,456.50","1,465.10","1,477.30","1,478.90","1,474.94","1,672.60","1,185.30","5,496,840","8,107,502,478.25","183,671"
"04-Sep-2023","EQ","1,443.00","1,470.00","1,434.70","1,443.85","1,468.50","1,465.10","1,453.48","1,672.60","1,185.30","4,609,014","6,699,108,919.40","149,765"
"01-Sep-2023","EQ","1,430.95","1,446.00","1,428.20","1,435.45","1,442.00","1,443.85","1,439.90","1,672.60","1,185.30","3,582,133","5,157,907,934.50","155,076"
"31-Aug-2023","EQ","1,435.15","1,444.90","1,428.65","1,435.15","1,436.50","1,435.45","1,437.31","1,672.60","1,185.30","9,792,735","14,075,209,330.60","156,538"
"30-Aug-2023","EQ","1,427.00","1,436.65","1,424.00","1,417.65","1,433.40","1,435.15","1,431.30","1,672.60","1,185.30","3,070,887","4,395,353,658.35","108,717"
"29-Aug-2023","EQ","1,424.00","1,424.40","1,415.30","1,415.65","1,418.00","1,417.65","1,419.44","1,672.60","1,185.30","3,074,444","4,363,979,784.60","111,666"
"28-Aug-2023","EQ","1,420.10","1,424.80","1,411.40","1,420.10","1,416.15","1,415.65","1,417.15","1,672.60","1,185.30","3,133,464","4,440,584,610.25","112,136"
"25-Aug-2023","EQ","1,413.00","1,422.50","1,411.40","1,423.60","1,416.55","1,420.10","1,417.89","1,672.60","1,185.30","4,307,172","6,107,113,235.85","165,554"
"24-Aug-2023","EQ","1,421.50","1,425.05","1,414.45","1,407.95","1,424.00","1,423.60","1,420.47","1,672.60","1,185.30","5,171,963","7,346,609,246.85","192,387"
"23-Aug-2023","EQ","1,416.00","1,416.60","1,405.65","1,403.75","1,407.00","1,407.95","1,409.22","1,672.60","1,185.30","2,559,125","3,606,378,738.90","109,292"
"22-Aug-2023","EQ","1,404.70","1,406.05","1,396.65","1,405.40","1,404.00","1,403.75","1,401.36","1,672.60","1,185.30","2,890,714","4,050,930,669.10","103,697"
"21-Aug-2023","EQ","1,389.75","1,407.00","1,387.15","1,388.80","1,404.50","1,405.40","1,400.57","1,672.60","1,185.30","3,032,722","4,247,553,400.10","108,762"
"18-Aug-2023","EQ","1,403.70","1,408.70","1,386.15","1,411.55","1,387.00","1,388.80","1,391.80","1,672.60","1,185.30","5,134,103","7,145,629,601.30","189,102"
"17-Aug-2023","EQ","1,420.00","1,420.00","1,406.00","1,418.50","1,410.50","1,411.55","1,413.24","1,672.60","1,185.30","5,618,346","7,940,072,970.95","160,656"
"16-Aug-2023","EQ","1,410.80","1,419.95","1,405.40","1,393.55","1,417.90","1,418.50","1,415.36","1,672.60","1,185.30","7,735,313","10,948,246,416.20","246,211"
"14-Aug-2023","EQ","1,371.85","1,395.00","1,365.60","1,371.85","1,392.95","1,393.55","1,384.14","1,672.60","1,185.30","4,304,135","5,957,519,188.70","165,734"
"11-Aug-2023","EQ","1,392.00","1,396.85","1,367.05","1,389.10","1,372.95","1,371.85","1,376.57","1,672.60","1,185.30","5,783,517","7,961,442,924.85","151,268"
"10-Aug-2023","EQ","1,391.60","1,395.80","1,385.60","1,394.40","1,391.00","1,389.10","1,390.73","1,672.60","1,185.30","3,873,025","5,386,328,012.50","163,971"
"09-Aug-2023","EQ","1,384.00","1,396.00","1,382.50","1,390.20","1,395.00","1,394.40","1,390.67","1,672.60","1,185.30","4,090,828","5,688,974,530.10","144,670"
"08-Aug-2023","EQ","1,392.85","1,393.55","1,384.40","1,393.00","1,389.25","1,390.20","1,389.34","1,672.60","1,185.30","4,161,877","5,782,280,835.25","136,200"
