"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","447.50","448.40","442.25","447.50","442.50","443.10","444.33","499.70","323.25","7,506,309","3,335,288,560.30","195,313"
"21-Sep-2023","EQ","452.80","453.55","444.50","452.95","447.50","447.50","447.41","499.70","323.25","10,719,470","4,795,986,148.20","187,202"
"20-Sep-2023","EQ","451.70","455.10","449.55","452.05","452.85","452.95","453.08","499.70","323.25","9,959,649","4,512,476,237.45","149,782"
"18-Sep-2023","EQ","448.35","454.00","446.20","448.35","451.95","452.05","451.88","499.70","323.25","8,197,425","3,704,274,692.05","134,382"
"15-Sep-2023","EQ","448.05","452.10","447.00","449.95","447.90","448.35","449.10","499.70","323.25","15,077,136","6,771,163,336.05","158,789"
"14-Sep-2023","EQ","455.90","455.90","447.15","453.50","450.35","449.95","450.17","499.70","323.25","14,430,930","6,496,313,051.65","216,539"
"13-Sep-2023","EQ","452.20","457.00","451.10","451.15","453.30","453.50","453.91","499.70","323.25","11,813,170","5,362,135,445.70","169,384"
"12-Sep-2023","EQ","448.90","454.30","445.60","447.20","451.00","451.15","450.56","499.70","323.25","14,406,441","6,491,027,758.45","203,436"
"11-Sep-2023","EQ","446.00","448.10","442.65","442.65","447.95","447.20","445.08","499.70","323.25","9,320,577","4,148,410,205.85","165,092"
"08-Sep-2023","EQ","447.90","447.90","441.85","445.90","442.70","442.65","443.46","499.70","323.25","9,939,517","4,407,778,233.95","138,338"
"07-Sep-2023","EQ","448.80","449.00","444.60","447.45","446.00","445.90","446.01","499.70","323.25","8,090,369","3,608,394,716.25","119,372"
"06-Sep-2023","EQ","443.95","448.50","442.00","443.10","448.00","447.45","445.72","499.70","323.25","12,863,039","5,733,284,923.40","179,677"
"05-Sep-2023","EQ","438.90","444.50","438.50","437.50","444.15","443.10","441.31","499.70","323.25","8,378,915","3,697,663,243.35","125,789"
"04-Sep-2023","EQ","443.35","443.35","436.65","441.05","437.50","437.50","438.46","499.70","323.25","13,604,608","5,965,023,205.70","195,519"
"01-Sep-2023","EQ","440.00","445.00","438.30","439.70","440.00","441.05","442.04","499.70","308.85","11,438,624","5,056,307,086.15","209,049"
