"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","780.00","783.70","772.70","778.35","774.50","774.05","778.14","840.00","614.20","2,147,621","1,671,150,435.15","82,592"
"21-Sep-2023","EQ","790.00","791.60","774.00","786.75","777.20","778.35","781.28","840.00","614.20","2,875,491","2,246,551,724.05","105,543"
"20-Sep-2023","EQ","808.05","810.80","785.20","808.80","787.00","786.75","795.52","840.00","614.20","3,359,951","2,672,899,954.45","71,311"
"18-Sep-2023","EQ","812.85","814.95","807.55","812.85","808.90","808.80","810.00","840.00","614.20","1,335,464","1,081,721,890.60","46,454"
"15-Sep-2023","EQ","813.05","819.70","805.00","810.35","812.25","812.85","810.51","840.00","614.20","4,454,542","3,610,459,283.85","72,279"
"14-Sep-2023","EQ","812.95","825.00","808.85","810.70","811.85","810.35","815.50","840.00","614.20","2,398,032","1,955,593,779.45","94,067"
"13-Sep-2023","EQ","818.00","820.15","808.00","816.20","810.80","810.70","812.39","840.00","614.20","1,380,634","1,121,608,026.90","51,180"
"12-Sep-2023","EQ","833.80","840.00","811.90","824.25","815.00","816.20","825.53","840.00","614.20","2,776,481","2,292,055,514.50","77,325"
"11-Sep-2023","EQ","820.00","829.35","816.45","815.75","823.55","824.25","823.58","835.00","614.20","1,715,172","1,412,579,588.95","55,990"
"08-Sep-2023","EQ","819.30","824.00","810.60","819.30","815.30","815.75","815.99","835.00","614.20","1,866,220","1,522,812,837.40","40,742"
"07-Sep-2023","EQ","812.05","821.40","805.50","814.90","818.00","819.30","815.33","835.00","614.20","2,652,562","2,162,719,002.65","63,968"
"06-Sep-2023","EQ","816.05","817.50","803.30","815.95","813.00","814.90","811.46","835.00","614.20","2,225,037","1,805,537,408.55","70,896"
"05-Sep-2023","EQ","808.95","818.00","800.50","809.80","815.00","815.95","808.24","835.00","614.20","1,770,212","1,430,758,978.20","53,362"
"04-Sep-2023","EQ","811.95","826.60","808.50","806.40","809.40","809.80","815.65","835.00","614.20","3,571,051","2,912,724,214.55","67,375"
"01-Sep-2023","EQ","779.00","807.70","778.00","779.65","807.00","806.40","798.55","835.00","614.20","3,513,798","2,805,945,074.80","79,424"
"31-Aug-2023","EQ","787.15","791.80","777.00","787.15","780.35","779.65","783.59","835.00","614.20","3,999,415","3,133,882,919.40","73,438"
"30-Aug-2023","EQ","784.70","791.95","784.10","782.65","784.60","787.15","787.43","835.00","614.20","1,978,468","1,557,897,685.60","58,165"
