"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","1,758.00","1,769.90","1,752.15","1,755.70","1,760.90","1,756.45","1,761.00","2,064.40","1,643.50","3,710,123","6,533,520,381.20","163,883"
"21-Sep-2023","EQ","1,784.00","1,790.80","1,751.00","1,789.45","1,755.00","1,755.70","1,774.79","2,064.40","1,643.50","4,784,751","8,491,927,834.25","184,588"
"20-Sep-2023","EQ","1,786.95","1,803.45","1,775.70","1,798.35","1,793.00","1,789.45","1,789.64","2,064.40","1,643.50","5,368,143","9,607,065,704.70","201,861"
"18-Sep-2023","EQ","1,811.00","1,812.00","1,794.00","1,813.90","1,797.60","1,798.35","1,802.13","2,064.40","1,643.50","3,970,112","7,154,652,233.40","141,933"
"15-Sep-2023","EQ","1,816.20","1,823.45","1,811.00","1,821.55","1,812.50","1,813.90","1,816.27","2,064.40","1,643.50","4,121,540","7,485,811,656.85","127,870"
"14-Sep-2023","EQ","1,828.00","1,831.75","1,814.00","1,824.60","1,822.50","1,821.55","1,821.46","2,064.40","1,643.50","2,559,423","4,661,883,298.95","150,951"
"13-Sep-2023","EQ","1,800.60","1,836.00","1,800.60","1,811.20","1,828.00","1,824.60","1,825.25","2,064.40","1,643.50","5,931,870","10,827,153,713.55","146,715"
"12-Sep-2023","EQ","1,819.00","1,819.00","1,796.40","1,807.90","1,811.75","1,811.20","1,807.72","2,064.40","1,643.50","3,408,966","6,162,444,751.10","162,316"
"11-Sep-2023","EQ","1,800.00","1,811.50","1,795.25","1,793.20","1,809.50","1,807.90","1,806.09","2,064.40","1,643.50","2,316,902","4,184,526,895.55","133,403"
"08-Sep-2023","EQ","1,797.00","1,805.00","1,781.55","1,789.00","1,793.50","1,793.20","1,793.37","2,064.40","1,643.50","2,386,182","4,279,306,171.70","76,540"
"07-Sep-2023","EQ","1,775.00","1,792.35","1,767.30","1,770.30","1,787.00","1,789.00","1,780.88","2,064.40","1,643.50","2,208,089","3,932,345,838.55","82,337"
"06-Sep-2023","EQ","1,771.00","1,777.00","1,760.20","1,771.05","1,776.00","1,770.30","1,769.56","2,064.40","1,643.50","6,220,223","11,007,068,218.60","307,880"
"05-Sep-2023","EQ","1,765.00","1,783.00","1,763.10","1,762.20","1,770.00","1,771.05","1,774.53","2,064.40","1,643.50","4,257,343","7,554,801,134.95","202,652"
"04-Sep-2023","EQ","1,777.40","1,789.00","1,757.30","1,771.10","1,764.60","1,762.20","1,766.81","2,064.40","1,643.50","4,697,683","8,299,909,305.60","163,590"
"01-Sep-2023","EQ","1,763.90","1,779.60","1,754.35","1,758.75","1,772.50","1,771.10","1,768.46","2,064.40","1,643.50","2,695,210","4,766,366,216.55","158,059"
"31-Aug-2023","EQ","1,774.90","1,783.80","1,754.30","1,774.90","1,759.95","1,758.75","1,765.09","2,064.40","1,643.50","8,314,010","14,675,007,294.00","245,208"
"30-Aug-2023","EQ","1,791.00","1,792.95","1,765.00","1,783.10","1,770.00","1,774.90","1,782.65","2,064.40","1,643.50","2,595,896","4,627,582,903.05","132,787"
"29-Aug-2023","EQ","1,796.95","1,797.55","1,779.00","1,790.35","1,781.95","1,783.10","1,789.70","2,064.40","1,643.50","2,708,692","4,847,746,472.20","123,689"
"28-Aug-2023","EQ","1,778.85","1,796.60","1,774.65","1,778.85","1,795.00","1,790.35","1,787.84","2,064.40","1,643.50","1,980,536","3,540,881,628.15","127,554"
"25-Aug-2023","EQ","1,771.20","1,789.35","1,767.00","1,780.95","1,773.05","1,778.85","1,778.33","2,064.40","1,643.50","2,043,350","3,633,758,062.20","101,900"
"24-Aug-2023","EQ","1,789.00","1,799.00","1,776.25","1,780.05","1,777.50","1,780.95","1,784.25","2,064.40","1,643.50","4,123,791","7,357,893,719.10","163,551"
"23-Aug-2023","EQ","1,769.80","1,781.90","1,754.00","1,763.10","1,778.00","1,780.05","1,768.63","2,064.40","1,643.50","3,338,285","5,904,190,828.90","144,885"
"22-Aug-2023","EQ","1,769.00","1,772.00","1,758.45","1,760.35","1,759.85","1,763.10","1,764.86","2,064.40","1,643.50","3,328,812","5,874,874,515.15","127,021"
"21-Aug-2023","EQ","1,751.00","1,772.60","1,748.85","1,750.80","1,762.00","1,760.35","1,760.41","2,064.40","1,643.50","3,955,468","6,963,230,702.70","124,546"
"18-Aug-2023","EQ","1,757.10","1,768.40","1,746.50","1,765.70","1,749.40","1,750.80","1,760.15","2,064.40","1,643.50","4,113,292","7,239,997,220.45","136,537"
"17-Aug-2023","EQ","1,782.00","1,787.40","1,763.00","1,786.20","1,767.00","1,765.70","1,774.21","2,064.40","1,643.50","5,131,739","9,104,797,109.40","165,598"
"16-Aug-2023","EQ","1,787.00","1,789.85","1,777.50","1,794.10","1,786.00","1,786.20","1,783.70","2,064.40","1,643.50","1,883,940","3,360,391,590.05","46,498"
"14-Aug-2023","EQ","1,789.00","1,802.35","1,785.00","1,791.45","1,795.00","1,794.10","1,794.58","2,064.40","1,643.50","3,299,919","5,921,953,076.35","142,754"
"11-Aug-2023","EQ","1,798.00","1,800.00","1,782.00","1,800.85","1,793.50","1,791.45","1,788.40","2,064.40","1,643.50","4,265,616","7,628,606,493.80","156,986"
"10-Aug-2023","EQ","1,825.75","1,832.40","1,796.00","1,831.50","1,797.30","1,800.85","1,810.25","2,064.40","1,643.50","5,112,099","9,254,183,486.10","198,906"
"09-Aug-2023","EQ","1,834.00","1,834.00","1,816.75","1,828.00","1,826.00","1,831.50","1,826.30","2,064.40","1,643.50","2,624,324","4,792,790,851.95","107,626"
"08-Aug-2023","EQ","1,831.50","1,842.65","1,822.05","1,831.55","1,830.50","1,828.00","1,831.90","2,064.40","1,643.50","4,089,623","7,491,798,321.45","135,117"
"07-Aug-2023","EQ","1,845.00","1,845.00","1,826.40","1,838.50","1,832.55","1,831.55","1,831.31","2,064.40","1,643.50","3,708,310","6,791,056,465.30","107,097"
"04-Aug-2023","EQ","1,829.00","1,842.80","1,811.15","1,823.25","1,837.00","1,838.50","1,828.93","2,064.40","1,643.50","5,443,532","9,955,826,212.25","146,245"
"03-Aug-2023","EQ","1,820.10","1,833.85","1,805.85","1,823.70","1,822.00","1,823.25","1,817.28","2,064.40","1,643.50","7,015,292","12,748,743,995.95","195,125"
"02-Aug-2023","EQ","1,840.55","1,847.90","1,818.05","1,850.00","1,823.40","1,823.70","1,827.30","2,064.40","1,643.50","4,180,451","7,638,933,597.30","145,863"
"01-Aug-2023","EQ","1,850.00","1,865.75","1,844.40","1,856.55","1,850.00","1,850.00","1,850.29","2,064.40","1,643.50","4,467,942","8,267,004,832.15","181,600"
"31-Jul-2023","EQ","1,866.00","1,875.00","1,849.15","1,876.85","1,856.90","1,856.55","1,857.23","2,064.40","1,643.50","4,025,207","7,475,737,477.80","163,611"
"28-Jul-2023","EQ","1,869.60","1,885.80","1,861.10","1,873.75","1,871.90","1,876.85","1,875.17","2,064.40","1,643.50","2,302,033","4,316,697,759.90","87,193"
"27-Jul-2023","EQ","1,889.00","1,902.60","1,862.55","1,895.30","1,873.05","1,873.75","1,877.21","2,064.40","1,643.50","6,290,001","11,807,637,146.50","152,657"
