"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","2,908.70","2,936.45","2,902.25","2,899.35","2,924.85","2,918.50","2,920.64","3,009.00","1,797.40","1,965,569","5,740,725,173.50","163,032"
"21-Sep-2023","EQ","2,885.05","2,905.10","2,846.05","2,890.00","2,901.60","2,899.35","2,872.38","3,009.00","1,797.40","2,444,711","7,022,145,824.05","143,950"
"20-Sep-2023","EQ","2,926.95","2,944.95","2,886.05","2,919.85","2,889.00","2,890.00","2,912.55","3,009.00","1,797.40","1,399,240","4,075,360,092.20","99,332"
"18-Sep-2023","EQ","2,910.00","2,930.00","2,907.00","2,908.55","2,920.30","2,919.85","2,920.17","3,009.00","1,797.40","736,631","2,151,088,308.80","77,082"
"15-Sep-2023","EQ","2,933.00","2,934.95","2,900.00","2,918.60","2,906.95","2,908.55","2,913.25","3,009.00","1,797.40","1,655,275","4,822,228,344.00","99,318"
"14-Sep-2023","EQ","2,924.90","2,931.65","2,906.00","2,906.75","2,914.00","2,918.60","2,917.49","3,009.00","1,797.40","1,910,041","5,572,516,827.65","131,030"
"13-Sep-2023","EQ","2,943.50","2,943.70","2,888.45","2,944.10","2,912.00","2,906.75","2,914.12","3,009.00","1,797.40","2,458,417","7,164,131,653.75","136,168"
"12-Sep-2023","EQ","2,951.60","3,009.00","2,932.45","2,894.20","2,948.50","2,944.10","2,980.82","3,009.00","1,797.40","7,788,759","23,216,896,335.55","228,017"
"11-Sep-2023","EQ","2,905.00","2,926.00","2,890.05","2,901.60","2,896.50","2,894.20","2,908.25","2,928.70","1,797.40","1,545,803","4,495,577,385.20","116,993"
"08-Sep-2023","EQ","2,888.00","2,928.70","2,872.45","2,846.40","2,900.00","2,901.60","2,902.97","2,928.70","1,797.40","3,638,510","10,562,494,449.80","165,172"
"07-Sep-2023","EQ","2,733.00","2,855.95","2,730.00","2,730.45","2,846.10","2,846.40","2,806.61","2,855.95","1,797.40","4,100,519","11,508,577,287.35","176,598"
"06-Sep-2023","EQ","2,740.00","2,742.80","2,712.00","2,732.95","2,731.30","2,730.45","2,726.52","2,766.80","1,797.40","1,747,425","4,764,389,224.60","100,311"
"05-Sep-2023","EQ","2,720.50","2,739.00","2,720.00","2,711.10","2,735.00","2,732.95","2,732.22","2,766.80","1,797.40","1,066,447","2,913,763,783.05","68,146"
"04-Sep-2023","EQ","2,733.00","2,742.00","2,705.00","2,702.10","2,713.00","2,711.10","2,716.79","2,766.80","1,797.40","1,548,282","4,206,362,223.60","95,478"
"01-Sep-2023","EQ","2,710.00","2,715.95","2,688.30","2,702.70","2,705.00","2,702.10","2,703.79","2,766.80","1,797.40","1,263,430","3,416,045,543.25","93,775"
"31-Aug-2023","EQ","2,720.00","2,724.60","2,678.35","2,709.00","2,716.00","2,702.70","2,698.55","2,766.80","1,797.40","2,439,625","6,583,451,196.90","125,071"
"30-Aug-2023","EQ","2,722.95","2,737.65","2,707.00","2,718.95","2,710.80","2,709.00","2,728.50","2,766.80","1,797.40","1,920,079","5,238,930,029.50","86,352"
"29-Aug-2023","EQ","2,710.00","2,722.10","2,696.30","2,695.35","2,716.95","2,718.95","2,710.46","2,766.80","1,797.40","1,101,830","2,986,464,903.55","75,845"
"28-Aug-2023","EQ","2,653.55","2,700.00","2,650.05","2,638.40","2,694.00","2,695.35","2,677.63","2,766.80","1,797.40","1,551,734","4,154,967,223.60","82,613"
"25-Aug-2023","EQ","2,677.45","2,682.70","2,631.00","2,688.15","2,632.00","2,638.40","2,647.37","2,766.80","1,797.40","1,408,427","3,728,626,143.50","90,518"
"24-Aug-2023","EQ","2,747.50","2,766.80","2,680.60","2,717.60","2,688.65","2,688.15","2,724.37","2,766.80","1,797.40","2,619,182","7,135,628,594.90","130,987"
"23-Aug-2023","EQ","2,689.55","2,726.00","2,682.45","2,678.80","2,718.10","2,717.60","2,712.78","2,726.00","1,797.40","1,990,672","5,400,260,419.80","92,469"
"22-Aug-2023","EQ","2,668.00","2,685.65","2,662.00","2,662.25","2,679.00","2,678.80","2,677.38","2,695.00","1,797.40","1,497,180","4,008,520,632.95","83,673"
"21-Aug-2023","EQ","2,641.85","2,666.60","2,623.45","2,641.95","2,656.15","2,662.25","2,641.98","2,695.00","1,797.40","1,376,318","3,636,198,567.60","86,473"
"18-Aug-2023","EQ","2,650.00","2,674.70","2,632.75","2,652.50","2,634.75","2,641.95","2,659.94","2,695.00","1,797.40","1,898,966","5,051,126,737.60","106,941"
"17-Aug-2023","EQ","2,691.05","2,691.05","2,642.00","2,691.05","2,649.00","2,652.50","2,656.90","2,695.00","1,797.40","1,629,067","4,328,265,285.00","112,323"
"16-Aug-2023","EQ","2,669.00","2,695.00","2,652.05","2,659.90","2,689.20","2,691.05","2,677.57","2,695.00","1,797.40","1,703,875","4,562,252,046.70","72,956"
"14-Aug-2023","EQ","2,637.00","2,663.55","2,616.00","2,638.50","2,658.00","2,659.90","2,644.73","2,690.00","1,797.40","1,364,413","3,608,505,516.10","104,864"
"11-Aug-2023","EQ","2,642.05","2,656.90","2,631.25","2,643.50","2,637.05","2,638.50","2,643.44","2,690.00","1,790.25","1,320,121","3,489,664,834.15","78,462"
"10-Aug-2023","EQ","2,640.10","2,661.60","2,621.65","2,651.60","2,641.85","2,643.50","2,638.91","2,690.00","1,790.25","1,040,041","2,744,572,068.50","134,752"
"09-Aug-2023","EQ","2,635.00","2,655.00","2,615.25","2,632.20","2,648.10","2,651.60","2,635.47","2,690.00","1,790.25","906,865","2,390,012,952.95","67,153"
"08-Aug-2023","EQ","2,639.05","2,649.50","2,628.30","2,635.90","2,635.00","2,632.20","2,638.44","2,690.00","1,790.25","767,310","2,024,500,774.15","108,359"
"07-Aug-2023","EQ","2,628.00","2,654.00","2,623.10","2,626.90","2,638.10","2,635.90","2,640.44","2,690.00","1,790.25","1,163,125","3,071,161,493.95","80,262"
"04-Aug-2023","EQ","2,605.00","2,635.00","2,598.50","2,598.10","2,628.00","2,626.90","2,621.35","2,690.00","1,773.00","1,101,278","2,886,834,664.80","76,843"
"03-Aug-2023","EQ","2,615.00","2,642.75","2,586.30","2,622.15","2,598.50","2,598.10","2,614.34","2,690.00","1,773.00","1,612,618","4,215,928,369.80","114,777"
"02-Aug-2023","EQ","2,638.00","2,644.95","2,602.70","2,666.65","2,616.00","2,622.15","2,626.50","2,690.00","1,773.00","1,479,486","3,885,873,944.55","122,202"
"01-Aug-2023","EQ","2,681.35","2,689.00","2,655.35","2,681.35","2,670.00","2,666.65","2,668.58","2,690.00","1,773.00","1,298,745","3,465,799,252.60","104,647"
"31-Jul-2023","EQ","2,655.00","2,690.00","2,631.10","2,649.55","2,682.00","2,681.35","2,658.32","2,690.00","1,773.00","1,284,981","3,415,895,227.95","95,837"
"28-Jul-2023","EQ","2,660.15","2,668.15","2,625.00","2,660.20","2,649.00","2,649.55","2,650.01","2,676.35","1,741.90","1,325,724","3,513,183,483.15","117,262"
"27-Jul-2023","EQ","2,668.95","2,676.35","2,646.45","2,646.25","2,661.95","2,660.20","2,661.87","2,676.35","1,741.90","2,117,794","5,637,296,979.40","134,044"
"26-Jul-2023","EQ","2,591.00","2,673.85","2,585.00","2,560.90","2,652.00","2,646.25","2,654.97","2,673.85","1,741.90","5,820,099","15,452,214,090.35","248,160"
"25-Jul-2023","EQ","2,616.00","2,617.75","2,553.00","2,605.25","2,565.00","2,560.90","2,578.92","2,638.00","1,741.90","2,068,876","5,335,456,329.50","126,959"
"24-Jul-2023","EQ","2,637.65","2,638.00","2,583.90","2,586.25","2,607.00","2,605.25","2,611.42","2,638.00","1,741.90","2,155,297","5,628,390,254.05","109,705"
"21-Jul-2023","EQ","2,522.00","2,595.00","2,521.10","2,489.70","2,587.00","2,586.25","2,566.56","2,595.00","1,690.00","4,610,417","11,832,913,691.90","241,210"
"20-Jul-2023","EQ","2,494.00","2,495.70","2,469.05","2,494.15","2,490.10","2,489.70","2,484.26","2,504.00","1,690.00","1,045,704","2,597,799,460.05","73,092"
"19-Jul-2023","EQ","2,474.60","2,502.95","2,466.40","2,474.70","2,497.00","2,494.15","2,489.72","2,504.00","1,690.00","1,431,080","3,562,986,689.45","122,951"
"18-Jul-2023","EQ","2,469.00","2,489.95","2,468.10","2,468.80","2,479.00","2,474.70","2,476.79","2,504.00","1,690.00","720,865","1,785,433,516.25","61,896"
"17-Jul-2023","EQ","2,475.00","2,494.00","2,465.00","2,472.25","2,474.00","2,468.80","2,476.42","2,504.00","1,690.00","878,697","2,176,024,418.05","75,714"
"14-Jul-2023","EQ","2,450.25","2,477.05","2,448.65","2,450.15","2,475.00","2,472.25","2,464.74","2,504.00","1,634.60","845,623","2,084,241,353.50","61,308"
"13-Jul-2023","EQ","2,466.00","2,484.90","2,446.25","2,454.95","2,458.30","2,450.15","2,465.52","2,504.00","1,634.60","1,141,663","2,814,795,698.50","98,237"
"12-Jul-2023","EQ","2,480.30","2,485.95","2,447.80","2,474.55","2,455.00","2,454.95","2,462.68","2,504.00","1,634.60","1,822,435","4,488,079,945.35","98,685"
"11-Jul-2023","EQ","2,447.20","2,479.00","2,447.20","2,438.75","2,478.35","2,474.55","2,469.28","2,504.00","1,634.60","1,219,658","3,011,679,718.55","83,552"
"10-Jul-2023","EQ","2,450.00","2,463.35","2,420.00","2,449.35","2,445.10","2,438.75","2,436.66","2,504.00","1,634.60","1,178,479","2,871,549,715.85","75,892"
"07-Jul-2023","EQ","2,482.75","2,504.00","2,444.60","2,488.60","2,452.00","2,449.35","2,463.95","2,504.00","1,550.20","1,837,661","4,527,902,781.45","105,241"
"06-Jul-2023","EQ","2,468.10","2,499.95","2,467.55","2,470.80","2,487.00","2,488.60","2,489.92","2,499.95","1,550.20","1,796,824","4,473,950,531.60","87,551"
"05-Jul-2023","EQ","2,461.00","2,484.95","2,454.35","2,461.85","2,472.00","2,470.80","2,469.27","2,492.40","1,550.20","1,191,896","2,943,109,995.05","78,418"
"04-Jul-2023","EQ","2,458.20","2,484.40","2,458.20","2,454.05","2,463.00","2,461.85","2,468.70","2,492.40","1,550.20","1,441,581","3,558,836,405.10","92,291"
"03-Jul-2023","EQ","2,478.20","2,492.40","2,448.00","2,475.55","2,456.00","2,454.05","2,464.64","2,492.40","1,550.20","1,078,456","2,658,008,200.35","77,218"
"30-Jun-2023","EQ","2,420.00","2,483.50","2,415.05","2,421.45","2,475.00","2,475.55","2,453.41","2,483.50","1,509.75","2,690,699","6,601,379,350.05","127,547"
"28-Jun-2023","EQ","2,400.00","2,432.90","2,390.05","2,388.05","2,424.00","2,421.45","2,418.46","2,432.90","1,509.75","1,734,938","4,195,872,072.20","118,169"
"27-Jun-2023","EQ","2,387.45","2,396.95","2,371.55","2,377.55","2,389.00","2,388.05","2,387.44","2,427.00","1,509.75","1,012,317","2,416,846,489.15","79,667"
"26-Jun-2023","EQ","2,398.10","2,403.85","2,367.95","2,389.55","2,375.00","2,377.55","2,379.97","2,427.00","1,509.75","793,572","1,888,673,789.80","67,473"
"23-Jun-2023","EQ","2,418.95","2,427.00","2,383.25","2,416.25","2,392.90","2,389.55","2,402.41","2,427.00","1,456.35","1,212,955","2,914,013,127.30","82,586"
"22-Jun-2023","EQ","2,394.60","2,424.00","2,380.00","2,394.45","2,418.00","2,416.25","2,405.52","2,424.00","1,456.35","1,741,775","4,189,872,511.60","73,734"
"21-Jun-2023","EQ","2,382.00","2,412.00","2,382.00","2,382.00","2,394.00","2,394.45","2,399.93","2,419.90","1,456.35","1,607,299","3,857,408,949.95","70,345"
"20-Jun-2023","EQ","2,364.95","2,389.65","2,354.45","2,366.35","2,388.00","2,382.00","2,375.25","2,419.90","1,456.35","1,771,306","4,207,298,020.80","82,474"
"19-Jun-2023","EQ","2,379.00","2,419.90","2,361.00","2,366.80","2,365.00","2,366.35","2,387.28","2,419.90","1,456.35","3,111,256","7,427,437,381.00","106,255"
"16-Jun-2023","EQ","2,363.75","2,380.00","2,352.25","2,361.30","2,363.15","2,366.80","2,367.08","2,416.35","1,456.35","1,794,542","4,247,829,339.05","86,400"
"15-Jun-2023","EQ","2,355.00","2,369.50","2,349.00","2,355.05","2,358.40","2,361.30","2,363.11","2,416.35","1,456.35","2,561,534","6,053,183,578.60","77,879"
"14-Jun-2023","EQ","2,352.90","2,360.00","2,340.00","2,354.40","2,355.00","2,355.05","2,351.52","2,416.35","1,456.35","1,013,564","2,383,416,827.05","56,151"
"13-Jun-2023","EQ","2,345.85","2,357.90","2,327.10","2,339.95","2,352.00","2,354.40","2,348.25","2,416.35","1,456.35","1,688,768","3,965,656,922.25","111,296"
"12-Jun-2023","EQ","2,365.00","2,370.00","2,333.10","2,363.00","2,340.05","2,339.95","2,342.03","2,416.35","1,456.35","1,172,382","2,745,752,288.65","45,800"
"09-Jun-2023","EQ","2,345.00","2,368.85","2,338.25","2,340.30","2,363.25","2,363.00","2,360.07","2,416.35","1,456.35","2,501,720","5,904,244,190.05","71,065"
"08-Jun-2023","EQ","2,316.95","2,345.05","2,312.75","2,315.50","2,340.40","2,340.30","2,336.61","2,416.35","1,456.35","2,556,995","5,974,708,032.00","71,004"
"07-Jun-2023","EQ","2,278.00","2,318.00","2,278.00","2,277.95","2,316.00","2,315.50","2,304.52","2,416.35","1,456.35","2,128,603","4,905,399,392.20","122,375"
"06-Jun-2023","EQ","2,269.00","2,280.70","2,263.70","2,268.30","2,278.10","2,277.95","2,272.28","2,416.35","1,456.35","1,677,680","3,812,165,166.35","98,810"
"05-Jun-2023","EQ","2,245.00","2,272.80","2,240.00","2,234.55","2,269.50","2,268.30","2,260.72","2,416.35","1,456.35","2,344,944","5,301,254,467.75","132,166"
"02-Jun-2023","EQ","2,221.00","2,237.30","2,212.15","2,207.80","2,236.00","2,234.55","2,228.04","2,416.35","1,456.35","1,399,950","3,119,146,915.75","117,300"
"01-Jun-2023","EQ","2,217.00","2,222.00","2,202.15","2,205.65","2,209.40","2,207.80","2,211.72","2,416.35","1,456.35","1,049,488","2,321,170,531.55","77,153"
"31-May-2023","EQ","2,201.10","2,224.00","2,200.00","2,210.80","2,212.50","2,205.65","2,207.16","2,416.35","1,456.35","2,809,284","6,200,544,991.75","72,450"
"30-May-2023","EQ","2,230.00","2,237.00","2,207.20","2,224.55","2,212.50","2,210.80","2,215.65","2,416.35","1,456.35","1,716,729","3,803,668,166.15","63,987"
"29-May-2023","EQ","2,225.00","2,241.80","2,220.20","2,218.45","2,227.30","2,224.55","2,230.23","2,416.35","1,456.35","1,369,656","3,054,642,456.65","62,359"
"26-May-2023","EQ","2,209.00","2,220.75","2,201.00","2,204.70","2,218.00","2,218.45","2,213.00","2,416.35","1,456.35","1,249,128","2,764,318,879.35","59,656"
"25-May-2023","EQ","2,190.00","2,207.30","2,178.00","2,185.15","2,205.55","2,204.70","2,190.71","2,416.35","1,456.35","1,689,521","3,701,256,865.80","110,789"
"24-May-2023","EQ","2,200.00","2,208.50","2,176.00","2,197.65","2,190.00","2,185.15","2,189.90","2,416.35","1,456.35","2,648,479","5,799,912,291.00","177,358"
"23-May-2023","EQ","2,225.60","2,228.60","2,194.00","2,216.60","2,196.00","2,197.65","2,203.51","2,416.35","1,456.35","2,265,389","4,991,800,513.00","148,396"
