"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","5,386.00","5,452.50","5,350.00","5,394.15","5,431.50","5,427.50","5,413.09","5,593.40","4,121.00","180,055","974,653,023.45","33,718"
"21-Sep-2023","EQ","5,468.00","5,468.00","5,355.00","5,473.45","5,395.00","5,394.15","5,389.89","5,593.40","4,121.00","313,418","1,689,288,403.90","65,639"
"20-Sep-2023","EQ","5,475.00","5,527.70","5,453.20","5,513.75","5,462.00","5,473.45","5,480.29","5,593.40","4,121.00","145,121","795,305,359.75","20,061"
"18-Sep-2023","EQ","5,520.00","5,523.60","5,471.10","5,532.80","5,500.00","5,513.75","5,506.22","5,593.40","4,121.00","184,125","1,013,832,896.65","23,245"
"15-Sep-2023","EQ","5,529.95","5,549.30","5,495.15","5,498.60","5,527.00","5,532.80","5,524.58","5,593.40","4,121.00","296,245","1,636,630,217.05","33,856"
"14-Sep-2023","EQ","5,545.00","5,593.40","5,481.35","5,539.10","5,500.00","5,498.60","5,530.93","5,593.40","4,121.00","401,195","2,218,980,556.00","49,249"
"13-Sep-2023","EQ","5,498.00","5,550.00","5,457.35","5,505.45","5,537.00","5,539.10","5,514.72","5,550.00","4,121.00","247,607","1,365,484,242.80","29,361"
"12-Sep-2023","EQ","5,508.60","5,536.00","5,416.00","5,508.65","5,500.00","5,505.45","5,488.04","5,536.00","4,121.00","327,724","1,798,563,283.60","35,163"
"11-Sep-2023","EQ","5,480.00","5,521.00","5,467.30","5,478.50","5,493.20","5,508.65","5,505.47","5,521.00","4,121.00","239,456","1,318,318,598.80","22,820"
"08-Sep-2023","EQ","5,500.00","5,501.00","5,450.00","5,485.90","5,475.05","5,478.50","5,476.45","5,501.00","4,121.00","244,392","1,338,399,426.65","29,100"
"07-Sep-2023","EQ","5,400.00","5,497.95","5,353.00","5,407.25","5,480.00","5,485.90","5,448.36","5,497.95","4,121.00","602,474","3,282,494,098.05","53,913"
"06-Sep-2023","EQ","5,448.95","5,480.40","5,357.10","5,426.15","5,394.40","5,407.25","5,421.47","5,480.40","4,121.00","388,092","2,104,027,332.10","49,382"
"05-Sep-2023","EQ","5,365.70","5,462.00","5,341.35","5,365.70","5,409.00","5,426.15","5,431.97","5,462.00","4,121.00","600,824","3,263,658,654.75","60,839"
"04-Sep-2023","EQ","5,315.05","5,380.00","5,272.85","5,303.35","5,360.00","5,365.70","5,343.45","5,430.00","4,121.00","397,768","2,125,453,900.55","40,535"
"01-Sep-2023","EQ","5,224.80","5,314.00","5,197.05","5,193.40","5,300.00","5,303.35","5,271.04","5,430.00","4,121.00","435,444","2,295,244,181.80","37,200"
"31-Aug-2023","EQ","5,195.00","5,253.40","5,158.05","5,173.65","5,235.00","5,193.40","5,216.93","5,430.00","4,121.00","636,436","3,320,244,873.50","47,078"
"30-Aug-2023","EQ","5,179.40","5,213.00","5,135.00","5,136.75","5,166.15","5,173.65","5,174.92","5,430.00","4,121.00","349,680","1,809,567,690.90","33,456"
"29-Aug-2023","EQ","5,141.00","5,187.95","5,122.10","5,129.95","5,130.05","5,136.75","5,150.43","5,430.00","4,121.00","196,122","1,010,113,173.50","24,089"
"28-Aug-2023","EQ","5,150.00","5,156.85","5,095.50","5,127.40","5,140.05","5,129.95","5,128.36","5,430.00","4,121.00","165,824","850,404,712.20","27,596"
"25-Aug-2023","EQ","5,131.00","5,189.90","5,104.15","5,170.15","5,109.00","5,127.40","5,132.15","5,430.00","4,121.00","206,278","1,058,650,026.70","29,798"
