"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","10,378.00","10,566.75","10,308.45","10,284.30","10,552.60","10,535.15","10,466.18","10,623.65","8,076.05","986,206","10,321,804,670.75","108,106"
"21-Sep-2023","EQ","10,343.05","10,345.00","10,206.50","10,346.75","10,280.00","10,284.30","10,259.44","10,623.65","8,076.05","577,252","5,922,280,655.45","85,501"
"20-Sep-2023","EQ","10,494.05","10,494.05","10,337.55","10,522.10","10,342.10","10,346.75","10,392.10","10,623.65","8,076.05","545,106","5,664,793,346.15","79,042"
"18-Sep-2023","EQ","10,500.05","10,623.65","10,494.05","10,525.25","10,501.00","10,522.10","10,556.60","10,623.65","8,076.05","430,213","4,541,588,640.95","57,632"
"15-Sep-2023","EQ","10,489.30","10,550.00","10,477.40","10,488.15","10,534.55","10,525.25","10,523.66","10,580.00","8,076.05","544,616","5,731,355,495.75","81,999"
"14-Sep-2023","EQ","10,465.05","10,580.00","10,431.05","10,473.40","10,478.35","10,488.15","10,501.76","10,580.00","8,076.05","501,196","5,263,440,185.80","71,988"
"13-Sep-2023","EQ","10,500.00","10,536.40","10,440.00","10,503.60","10,461.00","10,473.40","10,468.27","10,568.40","8,076.05","301,707","3,158,351,626.85","55,384"
"12-Sep-2023","EQ","10,544.00","10,568.40","10,405.00","10,533.85","10,500.00","10,503.60","10,483.48","10,568.40","8,076.05","568,773","5,962,717,891.80","67,867"
"11-Sep-2023","EQ","10,345.00","10,550.00","10,344.00","10,332.00","10,540.00","10,533.85","10,488.38","10,550.00","8,076.05","598,050","6,272,577,462.75","72,835"
"08-Sep-2023","EQ","10,399.00","10,400.00","10,300.00","10,280.75","10,345.00","10,332.00","10,349.04","10,467.95","8,076.05","439,721","4,550,689,814.80","54,561"
"07-Sep-2023","EQ","10,150.00","10,300.90","10,150.00","10,178.85","10,293.00","10,280.75","10,242.15","10,467.95","8,076.05","445,805","4,566,000,264.20","55,113"
"06-Sep-2023","EQ","10,260.00","10,260.00","10,130.15","10,262.10","10,225.00","10,178.85","10,173.32","10,467.95","8,076.05","663,758","6,752,622,890.15","64,328"
"05-Sep-2023","EQ","10,350.00","10,412.70","10,245.80","10,362.45","10,255.85","10,262.10","10,320.89","10,467.95","8,076.05","507,107","5,233,797,178.05","52,341"
"04-Sep-2023","EQ","10,401.00","10,467.95","10,286.30","10,331.25","10,365.00","10,362.45","10,376.66","10,467.95","8,076.05","819,552","8,504,213,131.30","136,523"
"01-Sep-2023","EQ","9,999.00","10,397.95","9,951.35","10,003.80","10,320.10","10,331.25","10,210.53","10,397.95","8,076.05","1,193,178","12,182,985,617.30","126,234"
"31-Aug-2023","EQ","9,770.10","10,065.00","9,770.10","9,796.40","10,000.00","10,003.80","9,989.32","10,065.00","8,076.05","1,581,818","15,801,293,328.40","149,957"
"30-Aug-2023","EQ","9,660.00","9,817.95","9,610.00","9,621.25","9,790.00","9,796.40","9,729.82","10,036.95","8,076.05","543,634","5,289,463,342.75","50,125"
"29-Aug-2023","EQ","9,600.00","9,684.75","9,506.00","9,597.70","9,634.95","9,621.25","9,620.76","10,036.95","8,076.05","317,224","3,051,937,365.65","34,317"
