"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","238.60","239.30","236.00","238.95","237.80","237.95","237.79","246.00","155.00","7,209,300","1,714,319,925.35","108,700"
"21-Sep-2023","EQ","240.05","242.90","237.10","241.75","239.25","238.95","239.37","246.00","155.00","10,134,737","2,425,928,390.65","130,194"
"20-Sep-2023","EQ","241.50","246.00","240.35","241.20","241.85","241.75","243.18","246.00","155.00","18,936,709","4,604,940,849.10","132,310"
"18-Sep-2023","EQ","237.00","242.15","236.05","236.20","240.35","241.20","239.95","244.95","155.00","11,163,399","2,678,671,013.60","93,235"
"15-Sep-2023","EQ","235.60","239.30","235.60","237.95","236.45","236.20","236.53","244.95","155.00","14,098,284","3,334,679,173.20","107,659"
"14-Sep-2023","EQ","237.95","239.20","235.95","237.15","238.30","237.95","237.49","244.95","155.00","7,568,464","1,797,445,007.50","134,603"
"13-Sep-2023","EQ","236.10","238.45","233.15","235.10","237.20","237.15","236.40","244.95","155.00","9,151,928","2,163,514,536.35","118,239"
"12-Sep-2023","EQ","244.20","244.95","234.10","243.10","234.35","235.10","238.07","244.95","155.00","21,174,310","5,040,924,859.20","142,685"
"11-Sep-2023","EQ","243.60","243.90","238.15","240.25","243.00","243.10","242.12","243.90","155.00","22,493,483","5,446,049,563.25","130,618"
"08-Sep-2023","EQ","236.00","243.60","235.00","234.10","240.50","240.25","240.71","243.60","155.00","28,856,420","6,945,957,115.80","166,377"
"07-Sep-2023","EQ","233.00","238.00","229.35","231.90","234.70","234.10","233.45","238.00","155.00","30,334,731","7,081,758,399.40","117,171"
"06-Sep-2023","EQ","235.50","235.85","228.40","234.60","231.50","231.90","231.02","236.90","155.00","14,623,019","3,378,228,543.80","131,178"
"05-Sep-2023","EQ","236.90","236.90","231.70","235.80","234.70","234.60","234.01","236.90","155.00","13,952,922","3,265,125,314.40","82,156"
"04-Sep-2023","EQ","233.70","236.50","230.50","230.70","236.25","235.80","233.95","236.50","155.00","21,895,573","5,122,458,468.15","187,562"
"01-Sep-2023","EQ","217.85","231.65","216.15","220.30","231.35","230.70","226.90","231.65","155.00","29,859,815","6,775,287,087.25","180,980"
"31-Aug-2023","EQ","221.65","221.65","218.75","220.40","219.15","220.30","220.54","226.65","155.00","18,532,999","4,087,244,975.40","85,047"
"30-Aug-2023","EQ","222.00","222.00","219.75","221.10","220.50","220.40","220.76","226.65","155.00","5,490,930","1,212,165,031.85","67,002"
"29-Aug-2023","EQ","219.20","221.75","218.25","218.70","221.15","221.10","220.80","226.65","155.00","8,799,235","1,942,904,383.65","82,115"
"28-Aug-2023","EQ","217.90","219.30","217.20","217.90","218.70","218.70","218.38","226.65","155.00","4,851,793","1,059,558,140.30","66,730"
"25-Aug-2023","EQ","221.85","221.85","217.20","220.85","217.60","217.90","218.64","226.65","155.00","7,413,549","1,620,928,860.20","60,680"
"24-Aug-2023","EQ","222.00","222.40","219.65","221.70","220.50","220.85","220.87","226.65","155.00","11,182,959","2,469,986,794.40","93,669"
"23-Aug-2023","EQ","222.90","222.90","221.05","221.70","222.00","221.70","221.93","226.65","155.00","13,507,905","2,997,856,581.45","78,043"
"22-Aug-2023","EQ","219.25","222.30","218.85","218.80","221.25","221.70","221.41","226.65","155.00","16,930,149","3,748,490,547.10","123,508"
"21-Aug-2023","EQ","217.20","219.55","215.70","215.15","219.15","218.80","217.88","226.65","155.00","13,336,739","2,905,840,027.80","113,730"
"18-Aug-2023","EQ","215.80","216.65","213.30","215.75","215.00","215.15","215.08","226.65","155.00","14,101,163","3,032,873,887.80","113,511"
"17-Aug-2023","EQ","219.45","219.80","215.15","217.45","215.80","215.75","216.75","226.65","155.00","11,865,239","2,571,741,925.15","126,213"
"16-Aug-2023","EQ","212.95","217.95","212.05","213.00","217.50","217.45","215.60","226.65","155.00","9,687,712","2,088,658,863.75","66,101"
"14-Aug-2023","EQ","213.30","214.00","211.80","213.00","213.05","213.00","212.97","226.65","155.00","9,283,695","1,977,108,515.00","112,979"
"11-Aug-2023","EQ","214.90","216.50","212.65","217.40","213.20","213.00","214.30","226.65","152.60","7,970,536","1,708,075,570.70","92,965"
