"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","186.60","187.70","185.00","186.70","185.15","185.10","185.68","191.70","121.50","7,814,821","1,451,076,385.20","66,452"
"21-Sep-2023","EQ","188.40","188.45","186.05","188.20","186.75","186.70","186.78","191.70","121.50","7,814,108","1,459,536,866.70","82,870"
"20-Sep-2023","EQ","186.45","189.50","186.20","186.75","188.15","188.20","188.05","191.70","121.50","12,687,099","2,385,799,300.60","92,983"
"18-Sep-2023","EQ","185.80","187.50","185.10","186.65","186.60","186.75","186.58","191.70","121.50","5,022,956","937,192,092.80","38,804"
"15-Sep-2023","EQ","191.70","191.70","185.60","187.90","186.60","186.65","187.18","191.70","121.50","19,924,829","3,729,444,999.85","73,235"
"14-Sep-2023","EQ","184.75","188.90","184.20","183.90","187.85","187.90","187.32","188.90","121.50","17,746,404","3,324,207,803.80","108,892"
"13-Sep-2023","EQ","181.90","184.70","180.90","180.90","184.35","183.90","183.16","186.75","121.50","10,578,786","1,937,567,691.80","89,074"
"12-Sep-2023","EQ","184.85","184.90","180.20","183.40","181.00","180.90","182.17","186.75","121.50","15,524,470","2,828,121,079.90","145,901"
"11-Sep-2023","EQ","185.45","185.95","182.30","184.45","183.95","183.40","183.64","186.75","121.50","10,845,871","1,991,781,589.90","75,474"
"08-Sep-2023","EQ","182.50","184.95","182.00","181.75","184.40","184.45","183.74","186.75","121.50","9,737,214","1,789,122,586.10","57,434"
"07-Sep-2023","EQ","185.00","185.20","181.00","183.05","181.25","181.75","182.27","186.75","121.50","11,137,801","2,030,093,286.55","66,742"
"06-Sep-2023","EQ","184.90","186.75","182.35","183.10","182.90","183.05","184.18","186.75","121.50","11,954,407","2,201,767,506.75","89,738"
"05-Sep-2023","EQ","183.50","186.00","182.40","182.95","182.60","183.10","184.30","186.00","121.50","13,506,519","2,489,284,911.05","80,922"
"04-Sep-2023","EQ","183.85","184.45","181.80","181.75","182.90","182.95","183.09","184.75","121.50","10,998,180","2,013,670,310.55","77,173"
"01-Sep-2023","EQ","174.40","184.75","174.40","174.15","181.20","181.75","181.02","184.75","121.50","22,460,960","4,065,862,034.50","123,999"
"31-Aug-2023","EQ","175.80","176.00","173.05","175.75","173.85","174.15","174.48","180.45","121.50","15,823,452","2,760,872,928.40","65,571"
"30-Aug-2023","EQ","175.70","176.90","175.00","175.70","175.85","175.75","176.02","180.45","121.50","5,937,955","1,045,223,604.40","42,449"
"29-Aug-2023","EQ","175.60","176.10","174.95","175.20","175.60","175.70","175.53","180.45","121.50","4,596,468","806,818,588.75","37,980"
"28-Aug-2023","EQ","175.10","175.80","174.55","174.70","175.10","175.20","175.24","180.45","121.50","4,354,221","763,046,389.05","47,964"
"25-Aug-2023","EQ","173.10","175.25","172.85","173.10","174.25","174.70","174.41","180.45","121.50","4,757,915","829,828,956.45","52,747"
"24-Aug-2023","EQ","175.50","176.70","172.80","175.50","173.20","173.10","174.03","180.45","121.50","7,976,333","1,388,088,698.60","54,248"
"23-Aug-2023","EQ","177.00","177.20","175.00","176.15","175.00","175.50","175.73","180.45","121.50","6,379,611","1,121,096,171.80","47,913"
"22-Aug-2023","EQ","176.05","177.90","175.60","176.05","175.95","176.15","176.66","180.45","121.50","5,348,036","944,806,271.50","48,210"
"21-Aug-2023","EQ","175.30","176.30","174.30","175.30","175.65","176.05","175.64","180.45","121.50","3,599,820","632,285,431.15","45,138"
"18-Aug-2023","EQ","177.65","177.65","174.15","177.75","174.50","175.30","175.73","180.45","121.50","6,734,650","1,183,499,151.00","67,584"
"17-Aug-2023","EQ","178.70","179.10","177.10","179.05","177.45","177.75","177.91","180.45","121.50","5,199,363","925,041,740.25","79,341"
"16-Aug-2023","EQ","176.30","179.45","175.80","178.00","178.75","179.05","178.11","180.45","121.50","8,371,665","1,491,090,025.05","62,730"
"14-Aug-2023","EQ","180.00","180.45","177.35","177.20","178.20","178.00","178.69","180.45","121.50","12,876,956","2,301,024,200.05","119,414"
"11-Aug-2023","EQ","178.90","179.70","176.70","178.65","177.20","177.20","177.56","179.75","121.50","4,112,277","730,193,207.05","45,502"
"10-Aug-2023","EQ","178.10","179.75","176.90","176.90","178.80","178.65","178.43","179.75","121.50","10,430,692","1,861,184,788.65","100,829"
"09-Aug-2023","EQ","173.35","177.25","173.30","173.35","177.00","176.90","175.11","178.65","121.50","4,852,294","849,701,136.85","59,125"
"08-Aug-2023","EQ","172.90","173.80","172.60","172.95","173.20","173.35","173.18","178.65","121.50","3,631,238","628,859,808.20","53,346"
"07-Aug-2023","EQ","174.30","174.50","172.10","173.35","172.55","172.95","173.05","178.65","121.50","2,240,015","387,623,679.10","36,326"
"04-Aug-2023","EQ","173.35","174.45","172.10","172.10","173.15","173.35","173.20","178.65","121.50","4,605,271","797,614,434.65","40,792"
"03-Aug-2023","EQ","175.25","175.80","171.50","175.95","171.80","172.10","173.04","178.65","121.50","6,152,393","1,064,639,973.40","55,414"
"02-Aug-2023","EQ","177.00","178.65","174.00","176.70","175.45","175.95","175.90","178.65","121.50","8,975,495","1,578,745,161.70","84,023"
"01-Aug-2023","EQ","175.30","177.00","174.30","177.05","176.80","176.70","176.04","177.50","121.50","5,584,773","983,121,661.85","56,979"
"31-Jul-2023","EQ","172.80","177.50","171.40","171.80","177.00","177.05","175.52","177.50","121.50","9,277,749","1,628,454,548.80","90,302"
"28-Jul-2023","EQ","170.70","174.95","168.90","171.00","171.30","171.80","172.54","174.95","121.50","9,004,252","1,553,551,486.75","67,529"
"27-Jul-2023","EQ","173.45","173.65","170.70","172.95","170.80","171.00","171.65","174.30","121.50","7,731,146","1,327,060,712.95","60,222"
"26-Jul-2023","EQ","173.85","174.30","172.00","173.00","173.00","172.95","172.77","174.30","121.50","9,103,949","1,572,913,297.75","75,044"
"25-Jul-2023","EQ","172.00","173.35","171.30","171.00","172.70","173.00","172.57","173.35","121.50","10,480,578","1,808,681,787.10","78,867"
"24-Jul-2023","EQ","171.65","172.25","170.25","170.55","170.50","171.00","171.49","172.25","121.50","8,451,631","1,449,386,909.00","71,648"
"21-Jul-2023","EQ","167.35","171.00","166.50","167.20","170.55","170.55","169.53","171.00","121.50","7,842,863","1,329,596,730.85","67,560"
"20-Jul-2023","EQ","167.00","168.10","166.00","166.75","167.00","167.20","167.10","169.75","121.50","5,217,131","871,798,536.40","49,548"
"19-Jul-2023","EQ","167.20","167.95","166.10","166.90","166.85","166.75","166.78","169.75","121.50","5,968,174","995,387,275.60","63,340"
"18-Jul-2023","EQ","166.40","168.15","166.05","166.40","166.95","166.90","167.16","169.75","121.50","4,322,257","722,493,585.30","55,396"
"17-Jul-2023","EQ","167.80","168.40","166.15","169.25","166.40","166.40","167.02","169.75","121.50","4,968,847","829,921,077.50","48,567"
"14-Jul-2023","EQ","169.00","169.75","168.20","167.80","168.90","169.25","168.98","169.75","121.05","9,448,062","1,596,491,971.00","63,500"
"13-Jul-2023","EQ","168.65","169.30","167.20","167.65","168.05","167.80","168.32","169.30","121.05","11,350,009","1,910,406,113.10","71,871"
"12-Jul-2023","EQ","165.95","169.00","165.25","164.60","167.75","167.65","167.75","169.00","121.05","15,614,026","2,619,285,123.25","101,151"
"11-Jul-2023","EQ","163.25","165.10","162.90","162.75","164.45","164.60","164.16","169.00","121.05","6,343,183","1,041,315,915.50","63,446"
"10-Jul-2023","EQ","163.90","165.40","162.50","163.50","162.90","162.75","163.36","169.00","121.05","5,437,687","888,291,339.75","44,861"
"07-Jul-2023","EQ","165.50","166.00","162.80","165.40","163.75","163.50","163.93","169.00","119.85","7,597,171","1,245,417,979.55","64,801"
"06-Jul-2023","EQ","162.80","165.80","162.55","162.80","165.55","165.40","164.57","169.00","119.85","9,845,699","1,620,265,517.65","66,500"
"05-Jul-2023","EQ","162.00","164.40","161.35","161.20","162.80","162.80","163.31","169.00","119.85","8,795,342","1,436,367,878.90","59,643"
"04-Jul-2023","EQ","162.50","162.90","160.00","162.90","161.35","161.20","160.94","169.00","119.85","5,394,282","868,157,088.45","45,575"
"03-Jul-2023","EQ","160.30","163.25","160.00","160.30","162.95","162.90","162.16","169.00","119.85","9,548,822","1,548,460,509.05","54,422"
"30-Jun-2023","EQ","161.00","161.00","158.95","158.55","160.35","160.30","160.00","169.00","119.85","7,840,112","1,254,418,971.30","65,656"
"28-Jun-2023","EQ","157.85","160.15","156.55","157.85","158.35","158.55","158.59","169.00","119.85","40,243,993","6,382,167,105.45","110,829"
"27-Jun-2023","EQ","158.85","158.85","157.35","156.90","158.00","157.85","158.06","169.00","119.85","9,730,174","1,537,969,780.10","38,444"
"26-Jun-2023","EQ","157.00","158.25","155.85","156.90","157.45","156.90","157.17","169.00","119.85","4,273,205","671,598,827.55","45,029"
"23-Jun-2023","EQ","159.00","159.00","155.40","158.95","156.45","156.90","157.01","169.00","119.85","8,722,650","1,369,541,663.65","63,307"
"22-Jun-2023","EQ","160.20","160.95","157.50","160.20","159.20","158.95","159.24","169.00","119.85","10,629,027","1,692,576,060.10","84,357"
"21-Jun-2023","EQ","157.00","160.55","156.60","157.25","160.20","160.20","159.04","169.00","119.85","8,284,206","1,317,508,727.80","59,329"
"20-Jun-2023","EQ","157.55","157.80","156.55","157.80","157.00","157.25","157.09","169.00","119.85","6,059,738","951,937,634.80","66,881"
"19-Jun-2023","EQ","157.90","158.45","156.50","157.00","157.60","157.80","157.70","169.00","119.85","4,718,221","744,071,215.35","44,851"
"16-Jun-2023","EQ","158.25","158.65","156.35","157.65","157.00","157.00","157.32","169.00","119.85","11,466,647","1,803,918,264.60","44,853"
"15-Jun-2023","EQ","157.50","157.90","156.20","157.85","157.85","157.65","157.14","169.00","119.85","7,426,254","1,166,932,525.40","56,969"
"14-Jun-2023","EQ","156.10","158.40","155.85","155.65","157.60","157.85","157.18","169.00","119.85","9,695,952","1,524,040,667.95","62,655"
"13-Jun-2023","EQ","155.20","156.20","154.25","155.05","155.85","155.65","155.64","169.00","119.85","10,073,644","1,567,881,195.60","51,279"
"12-Jun-2023","EQ","154.85","155.25","152.60","154.25","155.20","155.05","154.59","169.00","119.85","11,017,643","1,703,167,821.05","88,946"
"09-Jun-2023","EQ","156.70","156.90","153.80","156.10","154.20","154.25","154.45","169.00","119.85","11,764,248","1,817,019,388.80","51,533"
"08-Jun-2023","EQ","154.50","156.65","154.20","153.85","156.30","156.10","155.98","169.00","119.85","13,850,599","2,160,456,468.85","62,921"
"07-Jun-2023","EQ","153.60","154.50","152.55","153.65","154.40","153.85","153.51","169.00","119.85","12,180,164","1,869,780,364.25","64,890"
"06-Jun-2023","EQ","155.50","155.90","153.20","155.40","153.80","153.65","153.87","169.00","119.85","8,118,800","1,249,277,654.10","61,060"
"05-Jun-2023","EQ","155.50","156.00","154.45","154.70","155.35","155.40","155.34","169.00","119.85","11,850,547","1,840,888,093.95","61,439"
"02-Jun-2023","EQ","155.00","155.00","153.40","153.65","154.70","154.70","154.16","169.00","119.85","9,851,058","1,518,606,783.55","51,881"
"01-Jun-2023","EQ","154.70","156.00","153.20","154.90","154.00","153.65","154.20","169.00","119.85","13,982,606","2,156,090,243.30","78,938"
"31-May-2023","EQ","159.00","159.40","150.05","158.85","153.70","154.90","155.20","169.00","119.85","83,741,017","12,996,588,002.80","138,955"
"30-May-2023","EQ","159.70","161.70","157.25","159.00","159.00","158.85","159.62","169.00","119.85","16,117,505","2,572,600,526.20","82,414"
