"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","200.55","202.90","196.40","201.60","199.00","199.15","198.54","267.00","186.35","21,193,988","4,207,950,818.85","167,973"
"21-Sep-2023","EQ","205.00","205.55","200.40","204.65","202.15","201.60","202.34","267.00","186.35","20,332,556","4,114,042,959.85","159,234"
"20-Sep-2023","EQ","198.70","205.95","198.45","200.10","204.80","204.65","203.69","267.00","186.35","33,369,524","6,797,182,307.65","212,188"
"18-Sep-2023","EQ","195.25","200.50","194.10","194.10","200.15","200.10","197.52","267.00","186.35","25,627,043","5,061,827,701.20","112,091"
"15-Sep-2023","EQ","196.15","196.20","192.20","195.15","194.10","194.10","194.08","267.00","186.35","20,516,593","3,981,813,441.00","149,652"
"14-Sep-2023","EQ","194.20","195.65","193.70","193.20","195.25","195.15","194.63","267.00","186.35","10,941,807","2,129,562,103.40","105,128"
"13-Sep-2023","EQ","193.20","194.60","191.30","191.30","193.50","193.20","193.44","267.00","186.35","10,692,151","2,068,278,764.25","117,887"
"12-Sep-2023","EQ","203.00","204.25","190.65","264.50","191.90","191.30","195.28","267.00","186.35","29,826,173","5,824,511,623.70","256,374"
"11-Sep-2023","EQ","260.35","265.00","257.60","258.65","264.30","264.50","261.40","267.00","186.35","13,262,855","3,466,934,748.35","124,968"
"08-Sep-2023","EQ","258.25","261.30","257.10","257.00","258.70","258.65","259.12","267.00","186.35","12,586,314","3,261,311,246.75","78,420"
"07-Sep-2023","EQ","254.00","257.70","252.15","254.50","257.30","257.00","255.64","267.00","186.35","10,320,340","2,638,256,699.15","81,790"
"06-Sep-2023","EQ","256.70","257.25","252.15","254.30","254.00","254.50","254.23","267.00","186.35","7,513,855","1,910,237,566.20","83,525"
"05-Sep-2023","EQ","255.30","257.00","253.00","255.40","254.40","254.30","254.74","267.00","186.35","8,169,890","2,081,218,805.75","62,690"
"04-Sep-2023","EQ","253.60","256.50","250.80","252.20","255.50","255.40","254.23","267.00","186.35","7,680,024","1,952,473,808.90","80,947"
"01-Sep-2023","EQ","247.00","252.60","245.20","244.55","252.10","252.20","249.81","267.00","186.35","9,840,543","2,458,237,057.25","113,800"
"31-Aug-2023","EQ","247.85","249.60","243.55","247.10","245.15","244.55","246.03","267.00","186.35","15,536,865","3,822,548,431.40","129,597"
"30-Aug-2023","EQ","251.30","251.60","246.45","251.15","247.40","247.10","248.01","267.00","186.35","5,061,006","1,255,162,478.80","65,122"
