"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","2,376.00","2,382.45","2,350.00","2,364.80","2,356.50","2,354.95","2,363.47","2,630.95","2,350.00","9,588,393","22,661,897,562.05","302,933"
"21-Sep-2023","EQ","2,374.95","2,390.10","2,360.00","2,382.15","2,365.00","2,364.80","2,370.70","2,630.95","2,355.00","6,113,091","14,492,294,094.80","292,445"
"20-Sep-2023","EQ","2,423.05","2,427.60","2,355.00","2,436.45","2,380.65","2,382.15","2,377.79","2,630.95","2,355.00","28,540,942","67,864,489,357.80","350,883"
"18-Sep-2023","EQ","2,440.05","2,451.00","2,432.05","2,457.85","2,434.00","2,436.45","2,442.35","2,630.95","2,399.90","3,758,150","9,178,715,239.40","135,713"
"15-Sep-2023","EQ","2,468.00","2,468.00","2,449.50","2,453.30","2,452.50","2,457.85","2,458.32","2,630.95","2,399.90","12,734,296","31,304,996,690.80","172,228"
"14-Sep-2023","EQ","2,460.00","2,465.80","2,445.00","2,451.05","2,456.00","2,453.30","2,454.20","2,630.95","2,399.90","4,604,818","11,301,141,212.65","259,706"
"13-Sep-2023","EQ","2,440.00","2,462.65","2,426.25","2,438.85","2,450.10","2,451.05","2,451.78","2,630.95","2,399.90","6,401,669","15,695,491,695.65","153,034"
"12-Sep-2023","EQ","2,483.00","2,483.00","2,435.95","2,474.60","2,437.00","2,438.85","2,451.73","2,630.95","2,399.90","8,127,833","19,927,245,602.50","230,277"
"11-Sep-2023","EQ","2,452.00","2,476.85","2,452.00","2,448.20","2,473.05","2,474.60","2,468.87","2,630.95","2,399.90","6,635,537","16,382,249,910.10","216,515"
"08-Sep-2023","EQ","2,440.00","2,456.00","2,422.95","2,432.00","2,451.00","2,448.20","2,435.83","2,630.95","2,399.90","11,554,644","28,145,173,638.30","203,161"
"07-Sep-2023","EQ","2,421.70","2,438.25","2,411.00","2,428.70","2,431.00","2,432.00","2,424.86","2,630.95","2,399.90","6,826,286","16,552,769,825.75","176,371"
"06-Sep-2023","EQ","2,421.10","2,436.15","2,417.25","2,423.60","2,426.35","2,428.70","2,427.46","2,630.95","2,399.90","4,100,185","9,953,029,723.50","168,907"
"05-Sep-2023","EQ","2,420.00","2,433.95","2,412.45","2,410.70","2,426.00","2,423.60","2,423.22","2,630.95","2,399.90","4,337,938","10,511,762,468.35","160,296"
"04-Sep-2023","EQ","2,412.65","2,423.65","2,405.30","2,412.65","2,411.05","2,410.70","2,413.56","2,630.95","2,399.90","4,673,813","11,280,512,429.60","167,154"
"01-Sep-2023","EQ","2,406.55","2,425.65","2,401.65","2,407.00","2,411.40","2,412.65","2,413.40","2,630.95","2,399.90","9,056,421","21,856,799,694.25","285,753"
"31-Aug-2023","EQ","2,423.00","2,425.00","2,399.90","2,418.05","2,408.00","2,407.00","2,410.24","2,630.95","2,399.90","10,819,300","26,077,096,813.90","263,614"
"30-Aug-2023","EQ","2,432.00","2,443.00","2,415.00","2,420.35","2,419.40","2,418.05","2,426.59","2,630.95","2,408.15","6,084,473","14,764,544,103.55","220,096"
"29-Aug-2023","EQ","2,452.05","2,453.45","2,408.15","2,443.75","2,422.00","2,420.35","2,425.23","2,630.95","2,408.15","8,438,322","20,464,839,388.10","319,838"
"28-Aug-2023","EQ","2,472.00","2,484.00","2,431.10","2,468.35","2,436.95","2,443.75","2,465.38","2,630.95","2,431.10","6,290,413","15,508,240,986.20","248,985"
