"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","1,326.05","1,337.60","1,316.00","1,334.20","1,320.00","1,318.85","1,328.01","1,393.00","1,054.00","1,084,861","1,440,711,080.40","29,973"
"21-Sep-2023","EQ","1,345.50","1,351.90","1,328.05","1,345.20","1,341.95","1,334.20","1,334.75","1,393.00","1,054.00","783,641","1,045,963,013.00","62,978"
"20-Sep-2023","EQ","1,370.00","1,376.80","1,340.35","1,373.70","1,347.45","1,345.20","1,354.60","1,393.00","1,054.00","574,012","777,555,973.00","37,295"
"18-Sep-2023","EQ","1,375.00","1,393.00","1,367.55","1,372.65","1,374.35","1,373.70","1,380.22","1,393.00","1,054.00","1,324,270","1,827,785,944.55","63,422"
"15-Sep-2023","EQ","1,355.30","1,374.85","1,352.00","1,352.75","1,374.10","1,372.65","1,366.31","1,374.85","1,054.00","878,944","1,200,911,510.80","48,380"
"14-Sep-2023","EQ","1,345.50","1,360.75","1,342.25","1,345.50","1,350.65","1,352.75","1,352.31","1,374.00","1,054.00","889,229","1,202,514,300.95","88,620"
"13-Sep-2023","EQ","1,350.00","1,351.05","1,328.25","1,346.50","1,341.00","1,345.50","1,342.68","1,374.00","1,054.00","438,029","588,130,596.45","34,703"
"12-Sep-2023","EQ","1,352.80","1,352.80","1,331.30","1,350.15","1,348.85","1,346.50","1,341.07","1,374.00","1,054.00","1,139,357","1,527,955,166.20","68,639"
"11-Sep-2023","EQ","1,344.45","1,356.85","1,337.00","1,341.45","1,345.00","1,350.15","1,350.69","1,374.00","1,054.00","844,034","1,140,030,110.30","50,075"
"08-Sep-2023","EQ","1,348.00","1,349.45","1,334.35","1,347.50","1,337.45","1,341.45","1,340.96","1,374.00","1,054.00","1,214,231","1,628,231,368.85","49,398"
"07-Sep-2023","EQ","1,320.00","1,351.30","1,311.45","1,319.80","1,343.60","1,347.50","1,336.49","1,374.00","1,054.00","1,468,196","1,962,226,273.95","55,694"
"06-Sep-2023","EQ","1,310.00","1,329.00","1,305.45","1,309.45","1,315.15","1,319.80","1,315.90","1,374.00","1,054.00","1,461,738","1,923,502,749.25","40,385"
"05-Sep-2023","EQ","1,328.35","1,338.95","1,305.65","1,328.35","1,311.00","1,309.45","1,314.03","1,374.00","1,054.00","1,922,115","2,525,717,221.85","58,168"
"04-Sep-2023","EQ","1,328.50","1,332.45","1,301.50","1,320.55","1,332.00","1,328.35","1,317.08","1,374.00","1,054.00","542,261","714,203,390.05","31,114"
"01-Sep-2023","EQ","1,297.95","1,327.10","1,293.20","1,292.55","1,316.25","1,320.55","1,318.62","1,374.00","1,054.00","761,000","1,003,468,684.90","38,123"
"31-Aug-2023","EQ","1,304.85","1,308.60","1,286.50","1,300.60","1,298.00","1,292.55","1,294.68","1,374.00","1,054.00","1,390,078","1,799,705,977.95","38,564"
"30-Aug-2023","EQ","1,301.95","1,307.85","1,293.30","1,297.20","1,298.45","1,300.60","1,302.89","1,374.00","1,054.00","812,860","1,059,070,941.55","26,922"
"29-Aug-2023","EQ","1,292.00","1,301.65","1,290.00","1,291.55","1,298.00","1,297.20","1,296.11","1,374.00","1,054.00","1,011,094","1,310,484,197.80","31,843"
"28-Aug-2023","EQ","1,300.00","1,307.00","1,289.55","1,296.40","1,291.00","1,291.55","1,298.14","1,374.00","1,054.00","764,751","992,756,209.60","39,735"
"25-Aug-2023","EQ","1,293.05","1,298.55","1,282.45","1,293.75","1,295.00","1,296.40","1,289.69","1,374.00","1,054.00","487,521","628,751,992.50","34,017"
"24-Aug-2023","EQ","1,299.90","1,311.65","1,290.15","1,300.25","1,296.80","1,293.75","1,301.87","1,374.00","1,054.00","618,797","805,590,327.70","44,827"
"23-Aug-2023","EQ","1,289.95","1,304.50","1,286.25","1,286.75","1,298.15","1,300.25","1,295.19","1,374.00","1,054.00","583,458","755,688,359.90","32,882"
"22-Aug-2023","EQ","1,284.35","1,313.20","1,278.75","1,278.55","1,287.00","1,286.75","1,296.98","1,374.00","1,054.00","1,405,263","1,822,593,068.85","60,832"
"21-Aug-2023","EQ","1,282.95","1,289.80","1,274.30","1,282.45","1,277.95","1,278.55","1,280.54","1,374.00","1,054.00","703,317","900,622,931.65","32,025"
"18-Aug-2023","EQ","1,278.55","1,285.85","1,266.00","1,284.45","1,280.00","1,282.45","1,276.86","1,374.00","1,054.00","886,254","1,131,622,234.95","46,545"
"17-Aug-2023","EQ","1,286.50","1,289.95","1,276.25","1,291.30","1,279.00","1,284.45","1,281.65","1,374.00","1,054.00","843,146","1,080,618,197.70","65,190"
"16-Aug-2023","EQ","1,295.00","1,299.95","1,281.00","1,297.10","1,290.00","1,291.30","1,288.75","1,374.00","1,054.00","395,774","510,054,758.45","26,684"
"14-Aug-2023","EQ","1,314.00","1,315.95","1,291.95","1,311.50","1,294.60","1,297.10","1,299.54","1,374.00","1,054.00","888,959","1,155,236,140.95","69,097"
"11-Aug-2023","EQ","1,340.00","1,340.00","1,304.90","1,334.35","1,308.30","1,311.50","1,314.63","1,374.00","1,054.00","891,342","1,171,784,255.95","43,291"
"10-Aug-2023","EQ","1,344.95","1,358.90","1,330.10","1,349.35","1,334.70","1,334.35","1,342.32","1,374.00","1,054.00","841,571","1,129,655,489.95","47,811"
"09-Aug-2023","EQ","1,366.00","1,374.00","1,343.00","1,349.35","1,348.00","1,349.35","1,357.43","1,374.00","1,054.00","1,746,764","2,371,104,785.30","83,404"
"08-Aug-2023","EQ","1,306.90","1,358.75","1,293.75","1,302.55","1,354.10","1,349.35","1,335.15","1,358.75","1,054.00","3,458,915","4,618,186,690.95","133,770"
