"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","1,142.50","1,148.00","1,128.30","1,146.15","1,134.00","1,132.35","1,132.96","1,169.70","856.80","1,585,418","1,796,215,410.45","79,508"
"21-Sep-2023","EQ","1,149.00","1,156.95","1,141.15","1,153.15","1,144.50","1,146.15","1,147.77","1,169.70","856.80","2,088,934","2,397,619,812.25","119,838"
"20-Sep-2023","EQ","1,148.00","1,156.00","1,139.00","1,147.65","1,152.75","1,153.15","1,152.45","1,169.70","856.80","2,303,191","2,654,318,935.50","105,153"
"18-Sep-2023","EQ","1,149.00","1,157.00","1,142.55","1,149.80","1,149.00","1,147.65","1,148.33","1,169.70","856.80","962,842","1,105,664,937.85","40,003"
"15-Sep-2023","EQ","1,144.00","1,153.80","1,144.00","1,143.80","1,151.00","1,149.80","1,149.88","1,169.70","856.80","2,404,169","2,764,500,082.90","78,056"
"14-Sep-2023","EQ","1,148.75","1,150.90","1,138.75","1,148.75","1,145.40","1,143.80","1,144.00","1,169.70","856.80","2,065,163","2,362,550,392.45","92,766"
"13-Sep-2023","EQ","1,149.00","1,156.70","1,142.30","1,145.25","1,147.75","1,148.75","1,149.55","1,169.70","856.80","2,115,524","2,431,896,795.00","83,111"
"12-Sep-2023","EQ","1,142.05","1,153.80","1,137.10","1,136.90","1,145.00","1,145.25","1,147.07","1,169.70","856.80","3,989,578","4,576,336,815.75","97,014"
"11-Sep-2023","EQ","1,130.45","1,140.00","1,125.70","1,130.45","1,138.20","1,136.90","1,132.03","1,169.70","856.80","2,032,253","2,300,564,482.55","80,999"
"08-Sep-2023","EQ","1,133.00","1,138.05","1,128.50","1,133.05","1,129.15","1,130.45","1,131.97","1,169.70","856.80","1,789,037","2,025,138,786.20","54,572"
"07-Sep-2023","EQ","1,140.00","1,141.45","1,128.60","1,142.35","1,134.00","1,133.05","1,132.78","1,169.70","856.80","1,863,837","2,111,326,291.75","62,442"
"06-Sep-2023","EQ","1,137.00","1,149.00","1,129.05","1,131.90","1,141.70","1,142.35","1,141.31","1,169.70","856.80","2,960,249","3,378,573,966.00","93,004"
"05-Sep-2023","EQ","1,110.00","1,136.00","1,107.20","1,108.90","1,132.00","1,131.90","1,126.54","1,169.70","856.80","1,698,118","1,912,997,064.85","63,448"
"04-Sep-2023","EQ","1,114.00","1,114.00","1,102.00","1,109.00","1,111.00","1,108.90","1,106.15","1,169.70","856.80","1,205,294","1,333,239,802.50","80,131"
"01-Sep-2023","EQ","1,112.00","1,117.50","1,105.75","1,111.60","1,110.00","1,109.00","1,109.55","1,169.70","856.80","2,715,249","3,012,708,790.80","114,401"
"31-Aug-2023","EQ","1,118.85","1,118.85","1,101.70","1,114.90","1,113.35","1,111.60","1,109.73","1,169.70","856.80","4,782,404","5,307,157,221.70","107,825"
"30-Aug-2023","EQ","1,117.50","1,119.15","1,110.50","1,111.60","1,115.55","1,114.90","1,114.43","1,169.70","856.80","1,543,173","1,719,751,218.55","71,365"
"29-Aug-2023","EQ","1,125.05","1,125.05","1,106.45","1,117.00","1,114.00","1,111.60","1,114.35","1,169.70","856.80","1,749,707","1,949,782,547.65","90,543"
"28-Aug-2023","EQ","1,110.05","1,124.15","1,105.15","1,106.30","1,117.00","1,117.00","1,117.08","1,169.70","856.80","1,959,645","2,189,075,881.10","91,005"
