"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","871.00","889.85","870.05","871.00","877.00","877.75","879.44","897.70","686.60","1,518,828","1,335,723,670.50","51,025"
"21-Sep-2023","EQ","869.00","874.00","861.20","869.70","870.10","871.00","869.50","897.70","686.60","1,165,593","1,013,478,894.35","65,458"
"20-Sep-2023","EQ","880.80","880.90","865.00","880.95","868.50","869.70","870.63","897.70","686.60","924,868","805,221,565.05","36,785"
"18-Sep-2023","EQ","883.00","885.95","875.90","875.90","879.00","880.95","881.52","897.70","686.60","1,084,407","955,931,619.35","34,214"
"15-Sep-2023","EQ","887.55","889.75","873.50","884.55","876.45","875.90","877.34","897.70","686.60","1,104,866","969,348,131.95","42,144"
"14-Sep-2023","EQ","895.00","897.70","881.00","889.30","883.10","884.55","886.54","897.70","686.60","2,205,160","1,954,956,492.90","73,555"
"13-Sep-2023","EQ","862.00","891.25","860.15","864.75","890.00","889.30","879.65","891.25","686.60","2,812,359","2,473,889,866.00","69,388"
"12-Sep-2023","EQ","867.00","874.00","856.00","862.60","863.45","864.75","865.27","883.95","686.60","1,795,152","1,553,299,626.85","61,982"
"11-Sep-2023","EQ","855.50","864.95","854.75","853.10","863.00","862.60","860.96","883.95","686.60","1,039,583","895,037,072.70","46,295"
"08-Sep-2023","EQ","864.00","864.85","851.75","858.70","853.30","853.10","855.86","883.95","686.60","901,217","771,314,235.15","29,341"
"07-Sep-2023","EQ","865.70","866.95","854.00","878.90","858.95","858.70","858.74","883.95","686.60","3,458,930","2,970,327,828.30","76,712"
"06-Sep-2023","EQ","845.80","883.00","845.50","846.30","881.05","878.90","868.21","883.95","686.60","3,618,782","3,141,879,702.85","94,086"
"05-Sep-2023","EQ","847.00","852.40","843.05","846.05","847.00","846.30","847.59","883.95","686.60","745,626","631,983,010.10","29,982"
"04-Sep-2023","EQ","844.00","849.00","837.00","844.15","843.30","846.05","843.01","883.95","686.60","705,024","594,345,390.70","29,092"
"01-Sep-2023","EQ","833.00","847.40","833.00","834.35","843.35","844.15","842.70","883.95","686.60","661,741","557,649,158.85","36,286"
"31-Aug-2023","EQ","848.35","851.45","829.05","848.35","837.00","834.35","836.89","883.95","686.60","2,025,392","1,695,038,046.00","49,577"
"30-Aug-2023","EQ","841.00","849.30","838.70","838.25","848.00","848.35","846.21","883.95","686.60","604,884","511,856,983.30","24,450"
"29-Aug-2023","EQ","841.00","843.95","836.00","841.80","837.90","838.25","838.92","883.95","686.60","606,053","508,429,388.55","25,215"
"28-Aug-2023","EQ","832.50","842.95","828.25","832.55","840.00","841.80","837.08","883.95","686.60","649,996","544,099,213.45","36,459"
"25-Aug-2023","EQ","840.00","846.15","830.15","844.20","831.00","832.55","836.20","883.95","686.60","1,149,261","961,008,108.00","29,831"
"24-Aug-2023","EQ","845.00","854.80","842.10","844.55","845.00","844.20","847.26","883.95","686.60","1,482,572","1,256,126,302.25","33,702"
