"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","628.00","630.80","619.00","627.05","620.95","620.45","625.62","665.40","375.20","6,551,917","4,099,025,027.30","150,697"
"21-Sep-2023","EQ","638.50","641.70","624.00","638.50","628.15","627.05","631.47","665.40","375.20","9,266,854","5,851,765,688.55","202,887"
"20-Sep-2023","EQ","640.70","647.00","637.00","640.65","640.00","638.50","642.84","665.40","375.20","11,777,925","7,571,271,157.35","211,433"
"18-Sep-2023","EQ","635.90","644.20","633.15","634.25","640.85","640.65","640.37","665.40","375.20","11,108,349","7,113,501,339.10","177,581"
"15-Sep-2023","EQ","628.70","636.50","627.15","624.60","634.20","634.25","633.20","665.40","375.20","18,917,805","11,978,750,794.85","250,637"
"14-Sep-2023","EQ","628.10","630.80","623.30","625.90","624.70","624.60","626.87","665.40","375.20","5,722,295","3,587,128,293.10","138,280"
"13-Sep-2023","EQ","621.00","628.50","619.55","620.80","626.00","625.90","625.18","665.40","375.20","6,988,358","4,368,976,331.95","141,594"
"12-Sep-2023","EQ","638.00","639.00","615.25","634.85","620.90","620.80","624.30","665.40","375.20","12,541,377","7,829,599,452.25","238,844"
"11-Sep-2023","EQ","634.65","635.40","630.50","627.25","634.95","634.85","633.71","665.40","375.20","8,780,510","5,564,259,558.20","201,674"
"08-Sep-2023","EQ","617.95","628.90","614.20","614.90","626.95","627.25","624.03","665.40","375.20","16,190,749","10,103,472,512.75","206,605"
"07-Sep-2023","EQ","610.90","616.50","609.05","610.25","614.25","614.90","613.64","665.40","375.20","6,520,293","4,001,137,081.85","112,863"
"06-Sep-2023","EQ","611.15","612.55","605.60","611.15","610.60","610.25","608.59","665.40","375.20","6,520,064","3,968,067,590.80","142,267"
"05-Sep-2023","EQ","610.00","618.90","608.05","609.00","611.50","611.15","612.62","665.40","375.20","8,560,651","5,244,447,608.85","131,391"
"04-Sep-2023","EQ","615.60","615.60","606.00","611.20","609.70","609.00","609.08","665.40","375.20","8,392,665","5,111,787,835.65","173,185"
"01-Sep-2023","EQ","604.20","614.90","601.90","601.00","610.40","611.20","609.91","665.40","375.20","10,297,492","6,280,525,718.10","182,015"
"31-Aug-2023","EQ","608.80","609.65","599.05","605.55","601.90","601.00","603.88","665.40","375.20","10,544,271","6,367,465,563.95","149,603"
"30-Aug-2023","EQ","611.20","612.90","605.00","607.15","606.65","605.55","609.24","665.40","375.20","5,676,055","3,458,100,346.70","110,514"
"29-Aug-2023","EQ","603.60","610.50","603.60","602.40","607.65","607.15","607.69","665.40","375.20","6,956,667","4,227,470,423.75","108,463"
"28-Aug-2023","EQ","605.40","608.50","601.55","605.10","603.00","602.40","604.74","665.40","375.20","7,479,254","4,523,034,713.60","136,397"
"25-Aug-2023","EQ","610.85","616.70","593.30","610.95","601.80","605.10","606.07","665.40","375.20","16,075,509","9,742,924,758.50","224,142"
"24-Aug-2023","EQ","618.00","619.00","609.65","613.90","611.65","610.95","613.96","665.40","375.20","7,096,025","4,356,694,947.50","126,558"
"23-Aug-2023","EQ","622.75","622.75","613.15","620.20","614.50","613.90","615.89","665.40","375.20","8,248,333","5,080,104,176.50","132,089"
"22-Aug-2023","EQ","621.80","626.50","618.60","620.50","619.45","620.20","622.70","665.40","375.20","8,534,395","5,314,360,611.05","119,046"
"21-Aug-2023","EQ","617.00","623.30","614.80","615.80","619.50","620.50","620.41","665.40","375.20","9,580,365","5,943,723,319.55","160,367"
"18-Aug-2023","EQ","612.80","620.10","610.90","613.75","613.20","615.80","615.76","665.40","375.20","11,190,760","6,890,862,422.10","191,535"
"17-Aug-2023","EQ","620.00","622.00","611.00","618.75","613.35","613.75","614.99","665.40","375.20","12,119,293","7,453,254,415.40","196,731"
"16-Aug-2023","EQ","606.70","621.35","597.30","607.35","617.80","618.75","610.75","665.40","375.20","14,562,074","8,893,746,444.75","218,419"
"14-Aug-2023","EQ","612.00","612.00","594.50","611.80","606.80","607.35","602.18","665.40","375.20","14,492,164","8,726,874,255.65","328,524"
"11-Aug-2023","EQ","619.75","624.75","610.00","618.25","611.90","611.80","616.76","665.40","375.20","9,347,707","5,765,264,757.15","172,588"
"10-Aug-2023","EQ","623.00","628.30","598.00","622.55","617.50","618.25","605.43","665.40","375.20","53,116,980","32,158,684,030.15","279,839"
"09-Aug-2023","EQ","610.60","624.00","605.35","607.30","623.50","622.55","614.69","665.40","375.20","13,362,350","8,213,713,920.75","190,843"
"08-Aug-2023","EQ","612.55","614.75","605.25","609.50","607.95","607.30","609.23","665.40","375.20","8,863,640","5,400,017,786.55","200,799"
"07-Aug-2023","EQ","619.00","619.00","608.50","615.00","610.00","609.50","611.74","665.40","375.20","9,893,466","6,052,270,883.65","184,528"
"04-Aug-2023","EQ","624.85","625.00","613.30","618.95","615.80","615.00","617.24","665.40","375.20","11,806,739","7,287,561,209.60","203,649"
"03-Aug-2023","EQ","623.00","626.45","614.15","622.65","619.80","618.95","620.10","665.40","375.20","11,458,920","7,105,732,473.20","188,647"
"02-Aug-2023","EQ","644.00","644.30","616.45","643.65","623.00","622.65","626.67","665.40","375.20","15,762,687","9,878,076,233.55","275,002"
"01-Aug-2023","EQ","645.00","652.90","642.00","644.30","642.90","643.65","647.67","665.40","375.20","8,924,219","5,779,968,945.75","170,823"
"31-Jul-2023","EQ","640.20","645.55","635.90","635.30","644.30","644.30","642.98","665.40","375.20","7,502,361","4,823,837,741.50","172,623"
"28-Jul-2023","EQ","646.00","646.00","631.80","643.70","635.85","635.30","636.11","665.40","375.20","9,299,530","5,915,566,105.65","168,753"
"27-Jul-2023","EQ","647.00","648.45","636.75","641.10","646.00","643.70","643.67","665.40","375.20","11,696,851","7,528,922,145.50","219,355"
"26-Jul-2023","EQ","640.00","665.40","639.00","639.45","639.00","641.10","650.43","665.40","375.20","31,673,714","20,601,675,207.20","439,456"
"25-Jul-2023","EQ","636.00","642.50","633.35","629.25","641.80","639.45","638.97","642.50","375.20","13,988,137","8,937,951,714.05","240,989"
"24-Jul-2023","EQ","627.95","634.45","626.25","625.75","630.00","629.25","630.31","634.80","375.20","12,247,844","7,719,997,621.50","191,129"
"21-Jul-2023","EQ","621.00","631.00","617.70","621.65","626.25","625.75","626.12","634.80","375.20","12,914,610","8,086,056,636.55","228,093"
"20-Jul-2023","EQ","622.65","623.60","616.20","620.60","621.70","621.65","620.11","634.80","375.20","7,834,891","4,858,529,427.05","146,994"
"19-Jul-2023","EQ","614.00","625.30","610.15","612.10","620.00","620.60","618.79","634.80","375.20","11,128,348","6,886,129,207.45","177,036"
"18-Jul-2023","EQ","620.40","620.85","607.00","618.50","611.40","612.10","612.34","634.80","375.20","10,359,400","6,343,487,925.85","197,655"
"17-Jul-2023","EQ","626.90","627.00","617.15","624.90","619.00","618.50","620.26","634.80","375.20","7,580,645","4,701,935,428.25","161,770"
"14-Jul-2023","EQ","623.00","626.00","619.50","620.65","624.50","624.90","622.85","634.80","375.20","7,010,179","4,366,283,471.05","117,051"
"13-Jul-2023","EQ","625.00","626.50","615.50","621.45","623.35","620.65","622.04","634.80","375.20","9,689,708","6,027,422,532.80","175,194"
"12-Jul-2023","EQ","629.95","630.80","619.35","628.50","620.05","621.45","624.84","634.80","375.20","10,785,502","6,739,209,788.00","205,307"
"11-Jul-2023","EQ","624.95","630.45","622.15","618.65","628.95","628.50","625.88","634.80","375.20","12,051,173","7,542,621,843.90","237,986"
"10-Jul-2023","EQ","624.00","634.80","617.55","618.20","619.40","618.65","625.48","634.80","375.20","23,802,524","14,887,985,314.70","342,034"
"07-Jul-2023","EQ","600.00","624.80","592.20","600.80","622.90","618.20","607.47","624.80","375.20","21,066,726","12,797,364,224.05","249,477"
"06-Jul-2023","EQ","590.80","604.95","588.55","588.25","601.00","600.80","597.40","604.95","375.20","14,356,681","8,576,730,578.00","222,847"
"05-Jul-2023","EQ","592.00","593.00","584.95","591.45","589.90","588.25","588.78","602.30","375.20","8,715,919","5,131,786,266.40","150,738"
"04-Jul-2023","EQ","594.40","596.40","589.50","590.80","591.90","591.45","592.93","602.30","375.20","6,917,886","4,101,800,207.05","117,731"
"03-Jul-2023","EQ","600.00","602.30","590.00","595.55","591.90","590.80","594.87","602.30","375.20","11,131,048","6,621,539,987.55","211,601"
"30-Jun-2023","EQ","588.35","599.00","588.00","586.65","595.20","595.55","594.94","599.00","375.20","12,488,047","7,429,651,079.45","283,716"
"28-Jun-2023","EQ","579.00","590.00","575.50","573.10","586.00","586.65","584.81","590.00","375.20","16,720,940","9,778,565,684.55","223,026"
"27-Jun-2023","EQ","570.00","576.90","568.45","567.85","572.75","573.10","573.44","585.90","375.20","9,404,450","5,392,933,906.70","178,988"
"26-Jun-2023","EQ","560.00","569.00","557.80","559.65","568.45","567.85","563.79","585.90","375.20","6,986,621","3,938,956,595.10","117,244"
"23-Jun-2023","EQ","570.00","571.15","557.70","569.35","560.45","559.65","561.07","585.90","375.20","9,362,695","5,253,115,281.10","169,014"
"22-Jun-2023","EQ","584.00","584.70","568.20","581.40","570.50","569.35","575.59","585.90","375.20","11,229,179","6,463,430,994.05","163,564"
"21-Jun-2023","EQ","584.95","585.90","574.50","583.25","581.40","581.40","580.49","585.90","375.20","9,146,332","5,309,369,582.50","141,750"
"20-Jun-2023","EQ","566.05","583.95","562.50","566.05","583.05","583.25","576.62","583.95","375.20","18,074,902","10,422,284,289.60","237,264"
"19-Jun-2023","EQ","570.65","573.20","564.20","569.80","566.40","566.05","568.50","576.55","375.20","6,280,388","3,570,369,796.50","110,083"
"16-Jun-2023","EQ","569.65","572.20","566.05","568.45","569.85","569.80","569.10","576.55","375.20","8,736,313","4,971,828,846.75","124,969"
"15-Jun-2023","EQ","571.80","575.00","567.75","570.30","568.50","568.45","570.84","576.55","375.20","12,475,759","7,121,718,474.45","174,201"
"14-Jun-2023","EQ","566.00","571.20","564.00","562.20","569.75","570.30","567.76","576.55","375.20","12,713,256","7,218,066,743.45","150,717"
"13-Jun-2023","EQ","567.70","571.05","560.75","564.15","562.45","562.20","564.83","576.55","375.20","12,845,897","7,255,715,972.55","233,002"
"12-Jun-2023","EQ","567.00","568.90","560.65","562.30","563.80","564.15","564.20","576.55","375.20","7,599,572","4,287,693,145.50","133,928"
