"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","127.15","128.70","125.50","127.80","127.20","126.75","127.09","135.00","95.00","34,059,194","4,328,563,173.75","193,209"
"21-Sep-2023","EQ","128.30","129.25","127.20","128.30","127.90","127.80","128.19","135.00","95.00","29,826,091","3,823,296,128.15","189,809"
"20-Sep-2023","EQ","130.45","131.80","128.00","130.45","128.50","128.30","129.55","135.00","95.00","43,627,379","5,651,983,902.35","220,289"
"18-Sep-2023","EQ","135.00","135.00","130.05","131.95","130.50","130.45","131.81","135.00","95.00","62,420,823","8,227,968,331.45","282,655"
"15-Sep-2023","EQ","132.60","133.30","129.85","131.70","132.20","131.95","131.48","134.20","95.00","85,058,495","11,183,754,761.50","189,446"
"14-Sep-2023","EQ","131.00","134.20","130.80","129.55","131.95","131.70","132.32","134.20","95.00","58,800,620","7,780,313,510.10","333,183"
"13-Sep-2023","EQ","129.60","130.50","127.70","129.00","129.90","129.55","129.32","133.15","95.00","23,371,459","3,022,484,084.00","163,917"
"12-Sep-2023","EQ","132.80","133.15","128.65","131.15","128.90","129.00","130.05","133.15","95.00","38,065,283","4,950,314,633.25","212,107"
"11-Sep-2023","EQ","129.50","131.85","129.20","129.50","131.10","131.15","130.71","132.90","95.00","33,377,857","4,362,862,449.95","174,961"
"08-Sep-2023","EQ","131.40","131.65","129.20","130.15","129.60","129.50","130.24","132.90","95.00","34,313,523","4,469,052,986.90","126,365"
"07-Sep-2023","EQ","129.50","130.80","128.60","129.60","130.10","130.15","130.00","132.90","95.00","30,268,235","3,934,781,899.05","153,956"
"06-Sep-2023","EQ","132.40","132.40","128.20","131.70","129.45","129.60","129.55","132.90","95.00","36,058,850","4,671,465,545.35","216,595"
"05-Sep-2023","EQ","131.75","132.45","128.85","131.75","131.75","131.70","130.75","132.90","95.00","36,466,807","4,767,857,575.05","190,902"
"04-Sep-2023","EQ","129.20","132.90","128.85","127.05","131.90","131.75","131.69","132.90","95.00","68,525,900","9,024,225,220.75","342,443"
