"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","1,290.05","1,320.00","1,284.00","1,291.65","1,306.00","1,305.35","1,307.75","1,320.00","981.05","3,252,940","4,254,027,267.45","121,571"
"21-Sep-2023","EQ","1,275.95","1,296.00","1,265.90","1,274.35","1,292.60","1,291.65","1,284.82","1,303.70","981.05","2,960,250","3,803,380,812.65","133,257"
"20-Sep-2023","EQ","1,282.00","1,289.15","1,269.05","1,289.80","1,274.20","1,274.35","1,277.10","1,303.70","981.05","2,843,560","3,631,507,978.50","141,973"
"18-Sep-2023","EQ","1,301.00","1,302.00","1,283.00","1,300.05","1,290.50","1,289.80","1,291.25","1,303.70","981.05","1,967,717","2,540,821,292.55","75,868"
"15-Sep-2023","EQ","1,278.20","1,303.70","1,274.00","1,279.85","1,298.00","1,300.05","1,291.49","1,303.70","981.05","4,316,210","5,574,356,426.90","131,477"
"14-Sep-2023","EQ","1,262.00","1,289.35","1,262.00","1,260.40","1,279.30","1,279.85","1,280.89","1,289.35","981.05","3,288,631","4,212,377,193.60","140,853"
"13-Sep-2023","EQ","1,260.30","1,268.75","1,253.90","1,266.00","1,260.00","1,260.40","1,260.96","1,283.80","981.05","1,204,376","1,518,665,231.60","61,092"
"12-Sep-2023","EQ","1,271.80","1,283.80","1,251.55","1,268.85","1,264.70","1,266.00","1,268.98","1,283.80","981.05","2,335,224","2,963,345,982.80","113,402"
"11-Sep-2023","EQ","1,265.00","1,275.00","1,263.50","1,262.95","1,265.00","1,268.85","1,268.32","1,278.00","981.05","1,293,853","1,641,023,520.70","64,565"
"08-Sep-2023","EQ","1,272.00","1,278.00","1,259.05","1,269.25","1,261.00","1,262.95","1,265.00","1,278.00","981.05","1,731,105","2,189,845,680.35","85,951"
"07-Sep-2023","EQ","1,248.95","1,274.85","1,238.65","1,248.95","1,269.00","1,269.25","1,265.07","1,274.85","981.05","2,554,884","3,232,100,183.20","111,033"
"06-Sep-2023","EQ","1,254.55","1,259.60","1,235.85","1,254.55","1,250.50","1,248.95","1,247.15","1,270.75","981.05","1,753,376","2,186,726,691.35","84,611"
"05-Sep-2023","EQ","1,258.75","1,266.60","1,248.65","1,256.75","1,249.00","1,254.55","1,258.03","1,270.75","981.05","2,199,985","2,767,646,672.85","82,890"
"04-Sep-2023","EQ","1,235.00","1,266.00","1,225.55","1,228.05","1,256.05","1,256.75","1,248.66","1,270.75","981.05","3,466,873","4,328,962,389.25","161,948"
"01-Sep-2023","EQ","1,205.00","1,229.90","1,204.05","1,201.95","1,229.00","1,228.05","1,219.65","1,270.75","981.05","1,686,038","2,056,370,321.25","114,085"
"31-Aug-2023","EQ","1,199.00","1,214.50","1,198.00","1,197.20","1,204.05","1,201.95","1,205.94","1,270.75","981.05","2,817,747","3,398,022,928.20","87,028"
"30-Aug-2023","EQ","1,207.95","1,221.60","1,194.55","1,198.00","1,197.00","1,197.20","1,210.53","1,270.75","981.05","2,016,339","2,440,841,123.30","68,071"
"29-Aug-2023","EQ","1,192.40","1,207.90","1,188.25","1,184.75","1,203.75","1,198.00","1,199.85","1,270.75","981.05","1,419,344","1,702,996,622.15","52,694"
"28-Aug-2023","EQ","1,189.55","1,196.30","1,182.30","1,189.50","1,186.50","1,184.75","1,187.63","1,270.75","981.05","950,013","1,128,264,935.70","41,148"
"25-Aug-2023","EQ","1,190.00","1,197.20","1,178.45","1,199.10","1,186.95","1,189.50","1,186.85","1,270.75","981.05","1,213,340","1,440,058,507.85","63,607"
"24-Aug-2023","EQ","1,206.20","1,216.50","1,196.70","1,201.00","1,197.05","1,199.10","1,205.54","1,270.75","981.05","1,218,843","1,469,365,406.95","55,507"
"23-Aug-2023","EQ","1,213.20","1,218.85","1,199.20","1,213.20","1,199.20","1,201.00","1,206.55","1,270.75","981.05","1,569,035","1,893,126,542.45","52,382"
"22-Aug-2023","EQ","1,218.85","1,223.00","1,209.25","1,218.85","1,213.40","1,213.20","1,213.26","1,270.75","981.05","1,003,208","1,217,150,410.60","52,250"
"21-Aug-2023","EQ","1,205.00","1,224.00","1,204.35","1,210.80","1,214.45","1,218.85","1,218.61","1,270.75","981.05","1,175,945","1,433,014,854.10","57,525"
"18-Aug-2023","EQ","1,225.95","1,225.95","1,205.15","1,231.75","1,206.95","1,210.80","1,213.26","1,270.75","981.05","1,794,430","2,177,117,248.15","66,029"
"17-Aug-2023","EQ","1,225.00","1,233.90","1,214.55","1,227.85","1,229.10","1,231.75","1,226.28","1,270.75","981.05","2,636,308","3,232,863,831.25","94,693"
"16-Aug-2023","EQ","1,221.00","1,239.00","1,220.00","1,219.75","1,227.10","1,227.85","1,230.28","1,270.75","981.05","2,341,456","2,880,636,229.45","79,074"
"14-Aug-2023","EQ","1,212.10","1,221.20","1,203.00","1,220.45","1,221.00","1,219.75","1,215.07","1,270.75","981.05","1,842,625","2,238,926,928.55","109,750"
"11-Aug-2023","EQ","1,235.80","1,250.35","1,215.30","1,235.80","1,216.00","1,220.45","1,228.23","1,270.75","981.05","2,933,959","3,603,575,846.45","123,063"
"10-Aug-2023","EQ","1,220.00","1,239.20","1,215.60","1,228.00","1,236.00","1,235.80","1,232.55","1,270.75","981.05","3,715,680","4,579,750,430.40","92,272"
"09-Aug-2023","EQ","1,206.95","1,236.50","1,200.20","1,205.40","1,224.40","1,228.00","1,224.66","1,270.75","981.05","3,396,984","4,160,133,720.35","90,053"
"08-Aug-2023","EQ","1,186.00","1,208.90","1,175.10","1,183.65","1,205.10","1,205.40","1,198.12","1,270.75","981.05","5,137,402","6,155,203,408.25","132,638"
"07-Aug-2023","EQ","1,180.00","1,192.85","1,172.10","1,175.20","1,180.90","1,183.65","1,184.46","1,270.75","981.05","1,694,290","2,006,818,022.85","62,794"
"04-Aug-2023","EQ","1,153.95","1,181.85","1,142.80","1,142.80","1,173.05","1,175.20","1,168.30","1,270.75","981.05","3,580,506","4,183,121,598.75","90,185"
"03-Aug-2023","EQ","1,140.00","1,146.95","1,121.30","1,145.65","1,140.90","1,142.80","1,135.27","1,270.75","981.05","2,348,236","2,665,882,476.40","77,811"
"02-Aug-2023","EQ","1,143.00","1,152.60","1,125.60","1,143.50","1,147.50","1,145.65","1,135.95","1,270.75","981.05","2,357,217","2,677,691,526.50","81,862"
"01-Aug-2023","EQ","1,120.00","1,154.50","1,119.90","1,115.50","1,142.00","1,143.50","1,138.39","1,270.75","981.05","3,805,214","4,331,817,075.60","133,538"
"31-Jul-2023","EQ","1,095.00","1,119.00","1,087.15","1,091.05","1,119.00","1,115.50","1,106.37","1,270.75","981.05","4,766,331","5,273,319,515.10","141,668"
"28-Jul-2023","EQ","1,100.00","1,100.00","1,085.05","1,099.90","1,089.95","1,091.05","1,091.03","1,270.75","981.05","4,244,321","4,630,694,506.95","220,407"
"27-Jul-2023","EQ","1,111.00","1,125.00","1,082.30","1,143.20","1,101.85","1,099.90","1,102.58","1,270.75","981.05","17,594,818","19,399,692,356.00","328,306"
"26-Jul-2023","EQ","1,158.00","1,167.00","1,139.45","1,156.50","1,144.00","1,143.20","1,154.20","1,270.75","981.05","3,170,213","3,659,047,318.70","109,388"
"25-Jul-2023","EQ","1,164.00","1,164.70","1,145.00","1,161.85","1,156.45","1,156.50","1,153.55","1,270.75","981.05","2,557,865","2,950,627,435.85","103,299"
"24-Jul-2023","EQ","1,196.50","1,203.95","1,155.25","1,195.10","1,158.00","1,161.85","1,176.82","1,270.75","981.05","2,669,308","3,141,302,617.65","82,122"
"21-Jul-2023","EQ","1,199.50","1,217.95","1,181.00","1,252.95","1,196.50","1,195.10","1,200.51","1,270.75","981.05","5,032,086","6,041,067,037.00","130,502"
"20-Jul-2023","EQ","1,245.00","1,255.50","1,235.60","1,244.70","1,253.10","1,252.95","1,247.39","1,270.75","981.05","2,000,345","2,495,219,050.45","70,785"
"19-Jul-2023","EQ","1,255.00","1,261.70","1,231.10","1,247.55","1,245.00","1,244.70","1,247.28","1,270.75","981.05","2,293,881","2,861,123,132.70","81,687"
"18-Jul-2023","EQ","1,243.00","1,258.40","1,225.00","1,242.40","1,249.45","1,247.55","1,242.00","1,270.75","981.05","2,666,872","3,312,266,620.70","90,559"
"17-Jul-2023","EQ","1,235.90","1,270.75","1,220.65","1,228.65","1,244.00","1,242.40","1,247.70","1,270.75","981.05","4,880,073","6,088,871,657.15","146,658"
"14-Jul-2023","EQ","1,183.95","1,232.00","1,183.00","1,175.25","1,226.00","1,228.65","1,214.78","1,232.00","965.05","6,033,106","7,328,900,736.85","164,729"
"13-Jul-2023","EQ","1,159.40","1,191.90","1,153.50","1,159.40","1,181.45","1,175.25","1,179.36","1,191.90","965.05","3,215,610","3,792,358,126.15","109,486"
"12-Jul-2023","EQ","1,166.00","1,169.00","1,153.45","1,161.45","1,155.00","1,159.40","1,161.83","1,184.95","965.05","1,274,203","1,480,403,402.00","49,896"
"11-Jul-2023","EQ","1,154.65","1,166.20","1,145.10","1,147.15","1,161.75","1,161.45","1,157.97","1,184.95","965.05","1,212,566","1,404,117,782.35","61,204"
"10-Jul-2023","EQ","1,159.95","1,159.95","1,135.60","1,156.00","1,146.50","1,147.15","1,146.24","1,184.95","965.05","2,088,505","2,393,932,983.40","65,303"
"07-Jul-2023","EQ","1,170.00","1,184.30","1,151.25","1,179.25","1,155.00","1,156.00","1,165.81","1,184.95","965.05","2,261,102","2,636,024,785.00","71,816"
"06-Jul-2023","EQ","1,175.00","1,184.00","1,162.00","1,175.00","1,178.00","1,179.25","1,172.53","1,184.95","965.05","2,520,085","2,954,870,189.70","70,379"
"05-Jul-2023","EQ","1,150.80","1,184.95","1,146.50","1,148.00","1,176.50","1,175.00","1,169.60","1,184.95","965.05","3,732,838","4,365,932,527.85","104,957"
"04-Jul-2023","EQ","1,123.55","1,156.00","1,120.10","1,121.45","1,149.00","1,148.00","1,141.83","1,165.00","965.05","2,773,593","3,166,966,135.10","74,382"
