"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","3,298.80","3,298.80","3,261.70","3,304.50","3,284.85","3,274.50","3,271.63","3,352.00","2,269.60","1,019,051","3,333,961,546.80","68,160"
"21-Sep-2023","EQ","3,300.00","3,322.50","3,285.80","3,306.65","3,309.95","3,304.50","3,298.89","3,352.00","2,269.60","1,091,384","3,600,350,381.55","83,767"
"20-Sep-2023","EQ","3,314.00","3,349.00","3,300.05","3,339.50","3,310.05","3,306.65","3,324.20","3,352.00","2,269.60","1,201,025","3,992,444,888.60","68,988"
"18-Sep-2023","EQ","3,257.00","3,352.00","3,246.80","3,248.60","3,335.00","3,339.50","3,320.22","3,352.00","2,269.60","1,423,507","4,726,354,122.40","90,061"
"15-Sep-2023","EQ","3,261.60","3,264.00","3,239.00","3,261.35","3,245.00","3,248.60","3,248.79","3,302.45","2,269.60","1,397,407","4,539,885,099.25","77,309"
"14-Sep-2023","EQ","3,277.55","3,302.45","3,240.00","3,263.20","3,258.00","3,261.35","3,265.49","3,302.45","2,269.60","1,264,935","4,130,634,062.35","89,504"
"13-Sep-2023","EQ","3,178.05","3,270.00","3,178.05","3,185.80","3,261.00","3,263.20","3,234.59","3,270.00","2,269.60","1,370,306","4,432,375,341.55","107,088"
"12-Sep-2023","EQ","3,216.05","3,221.15","3,177.60","3,213.30","3,183.00","3,185.80","3,193.30","3,221.55","2,269.60","591,509","1,888,864,791.00","58,286"
"11-Sep-2023","EQ","3,209.95","3,221.55","3,186.60","3,199.10","3,208.00","3,213.30","3,210.29","3,221.55","2,269.60","544,452","1,747,848,372.15","48,307"
"08-Sep-2023","EQ","3,182.00","3,205.00","3,172.80","3,172.80","3,199.00","3,199.10","3,191.90","3,210.00","2,269.60","700,158","2,234,834,985.60","40,336"
"07-Sep-2023","EQ","3,173.00","3,182.95","3,152.00","3,176.05","3,177.00","3,172.80","3,167.08","3,210.00","2,269.60","805,295","2,550,437,261.55","51,819"
"06-Sep-2023","EQ","3,136.15","3,180.55","3,120.85","3,136.15","3,170.00","3,176.05","3,159.17","3,210.00","2,269.60","1,163,154","3,674,604,427.60","71,528"
"05-Sep-2023","EQ","3,120.00","3,157.50","3,115.00","3,100.30","3,126.25","3,136.15","3,136.78","3,210.00","2,269.60","721,199","2,262,239,271.75","66,124"
"04-Sep-2023","EQ","3,116.95","3,124.95","3,086.30","3,116.80","3,107.00","3,100.30","3,105.57","3,210.00","2,269.60","539,813","1,676,427,369.70","50,966"
"01-Sep-2023","EQ","3,111.95","3,124.90","3,100.00","3,104.45","3,116.00","3,116.80","3,114.05","3,210.00","2,269.60","423,739","1,319,544,987.85","45,670"
"31-Aug-2023","EQ","3,090.85","3,118.95","3,082.20","3,082.20","3,112.00","3,104.45","3,102.82","3,210.00","2,269.60","1,420,498","4,407,556,396.30","82,971"
"30-Aug-2023","EQ","3,080.00","3,111.00","3,067.00","3,079.40","3,082.95","3,082.20","3,095.49","3,210.00","2,269.60","582,766","1,803,947,334.60","55,732"
"29-Aug-2023","EQ","3,051.95","3,090.00","3,044.00","3,048.55","3,077.45","3,079.40","3,066.27","3,210.00","2,269.60","482,639","1,479,901,631.15","52,140"
"28-Aug-2023","EQ","3,074.00","3,079.95","3,040.70","3,067.20","3,047.15","3,048.55","3,054.51","3,210.00","2,269.60","471,698","1,440,808,435.10","45,180"
"25-Aug-2023","EQ","3,055.00","3,074.75","3,037.55","3,061.20","3,063.00","3,067.20","3,055.72","3,210.00","2,269.60","648,003","1,980,117,038.85","50,776"
"24-Aug-2023","EQ","3,075.70","3,099.90","3,056.25","3,070.00","3,056.35","3,061.20","3,078.24","3,210.00","2,269.60","618,626","1,904,276,854.55","55,119"
"23-Aug-2023","EQ","3,075.60","3,085.00","3,056.30","3,075.60","3,069.00","3,070.00","3,074.01","3,210.00","2,269.60","602,197","1,851,159,530.40","62,367"
"22-Aug-2023","EQ","3,084.95","3,091.00","3,040.10","3,078.30","3,078.45","3,075.60","3,067.29","3,210.00","2,269.60","714,220","2,190,717,582.95","58,414"
"21-Aug-2023","EQ","3,051.00","3,082.50","3,050.00","3,050.45","3,078.00","3,078.30","3,066.18","3,210.00","2,269.60","706,621","2,166,628,268.90","59,192"
"18-Aug-2023","EQ","3,070.60","3,079.50","3,035.00","3,071.75","3,052.00","3,050.45","3,053.20","3,210.00","2,269.60","860,782","2,628,138,142.85","60,031"
"17-Aug-2023","EQ","3,018.00","3,079.45","3,012.00","3,011.10","3,071.50","3,071.75","3,057.50","3,210.00","2,269.60","1,699,758","5,197,007,141.75","141,448"
"16-Aug-2023","EQ","3,005.00","3,015.90","2,978.05","3,010.65","3,011.00","3,011.10","2,994.57","3,210.00","2,269.60","544,441","1,630,365,942.15","51,197"
"14-Aug-2023","EQ","3,020.35","3,020.35","2,988.35","3,017.25","3,010.00","3,010.65","3,006.65","3,210.00","2,269.60","542,561","1,631,291,517.45","73,800"
"11-Aug-2023","EQ","2,988.50","3,067.45","2,980.00","2,988.55","3,017.20","3,017.25","3,029.48","3,210.00","2,269.60","1,823,274","5,523,563,461.00","103,627"
"10-Aug-2023","EQ","2,958.00","2,995.50","2,917.00","2,955.90","2,988.00","2,988.55","2,958.98","3,210.00","2,269.60","970,990","2,873,137,608.55","60,947"
"09-Aug-2023","EQ","2,924.00","2,962.00","2,918.15","2,921.25","2,962.00","2,955.90","2,937.70","3,210.00","2,269.60","600,081","1,762,860,589.65","46,972"
"08-Aug-2023","EQ","2,918.00","2,932.00","2,904.60","2,904.60","2,920.80","2,921.25","2,922.69","3,210.00","2,269.60","474,417","1,386,574,975.10","55,992"
"07-Aug-2023","EQ","2,919.95","2,919.95","2,882.45","2,904.40","2,908.00","2,904.60","2,897.68","3,210.00","2,269.60","580,359","1,681,697,434.45","64,116"
"04-Aug-2023","EQ","2,919.95","2,935.80","2,898.00","2,902.10","2,902.75","2,904.40","2,913.55","3,210.00","2,269.60","709,334","2,066,680,614.00","83,590"
"03-Aug-2023","EQ","2,937.95","2,986.95","2,883.00","2,977.15","2,906.00","2,902.10","2,916.69","3,210.00","2,269.60","3,319,847","9,682,974,440.40","244,114"
"02-Aug-2023","EQ","3,005.65","3,005.70","2,960.00","3,001.90","2,964.25","2,977.15","2,979.50","3,210.00","2,269.60","1,152,335","3,433,386,949.15","72,369"
"01-Aug-2023","EQ","3,024.85","3,027.50","2,987.70","3,004.05","3,006.00","3,001.90","3,004.71","3,210.00","2,269.60","602,288","1,809,700,780.35","46,366"
"31-Jul-2023","EQ","2,950.00","3,017.95","2,950.00","2,987.00","3,014.90","3,004.05","2,987.66","3,210.00","2,269.60","656,048","1,960,050,758.05","55,960"
"28-Jul-2023","EQ","3,008.15","3,010.00","2,951.70","3,002.10","2,986.00","2,987.00","2,972.41","3,210.00","2,266.55","837,051","2,488,062,158.10","68,404"
"27-Jul-2023","EQ","3,013.95","3,024.10","2,983.65","3,008.35","3,004.00","3,002.10","3,000.64","3,210.00","2,266.55","595,544","1,787,010,849.95","47,129"
"26-Jul-2023","EQ","3,044.90","3,044.90","2,995.00","3,029.00","3,008.10","3,008.35","3,016.11","3,210.00","2,266.55","588,487","1,774,940,539.80","49,420"
"25-Jul-2023","EQ","2,980.00","3,032.90","2,972.75","2,979.20","3,030.00","3,029.00","3,009.07","3,210.00","2,266.55","874,788","2,632,298,633.40","72,141"
"24-Jul-2023","EQ","2,978.00","2,992.90","2,951.25","2,976.30","2,985.90","2,979.20","2,976.00","3,210.00","2,266.55","523,141","1,556,866,525.70","60,067"
"21-Jul-2023","EQ","2,990.75","3,005.00","2,970.00","2,989.30","2,977.80","2,976.30","2,987.73","3,210.00","2,194.05","599,594","1,791,425,341.60","59,051"
