"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","8,275.00","8,310.65","8,179.05","8,313.55","8,197.00","8,187.40","8,208.90","8,750.95","6,005.00","524,827","4,308,254,371.20","59,743"
"21-Sep-2023","EQ","8,375.10","8,438.00","8,286.65","8,458.15","8,286.65","8,313.55","8,352.98","8,750.95","6,005.00","393,954","3,290,690,474.70","75,457"
"20-Sep-2023","EQ","8,590.00","8,623.50","8,441.05","8,628.00","8,450.00","8,458.15","8,501.82","8,750.95","6,005.00","317,399","2,698,470,689.70","33,814"
"18-Sep-2023","EQ","8,728.00","8,737.60","8,607.00","8,728.35","8,619.00","8,628.00","8,638.75","8,750.95","6,005.00","129,308","1,117,059,656.20","23,592"
"15-Sep-2023","EQ","8,721.00","8,750.95","8,661.25","8,687.95","8,731.05","8,728.35","8,715.93","8,750.95","6,005.00","357,249","3,113,758,435.80","44,814"
"14-Sep-2023","EQ","8,666.00","8,700.00","8,603.00","8,636.35","8,688.00","8,687.95","8,654.32","8,700.00","6,005.00","311,971","2,699,897,106.90","58,307"
"13-Sep-2023","EQ","8,590.00","8,685.00","8,525.50","8,571.65","8,620.00","8,636.35","8,615.57","8,685.00","6,005.00","321,018","2,765,753,550.35","38,835"
"12-Sep-2023","EQ","8,519.95","8,609.85","8,395.00","8,461.70","8,583.00","8,571.65","8,544.41","8,609.85","6,005.00","335,823","2,869,410,383.10","53,348"
"11-Sep-2023","EQ","8,450.95","8,498.65","8,426.15","8,430.55","8,469.00","8,461.70","8,455.76","8,600.00","6,005.00","131,688","1,113,522,374.95","23,221"
"08-Sep-2023","EQ","8,535.00","8,550.00","8,400.00","8,495.15","8,430.00","8,430.55","8,473.50","8,600.00","6,005.00","125,962","1,067,338,439.90","16,629"
"07-Sep-2023","EQ","8,537.40","8,545.00","8,430.00","8,537.40","8,482.50","8,495.15","8,479.09","8,600.00","6,005.00","203,477","1,725,299,766.10","34,231"
"06-Sep-2023","EQ","8,484.85","8,556.80","8,444.10","8,454.85","8,550.00","8,537.40","8,503.10","8,600.00","6,005.00","327,847","2,787,715,251.30","44,875"
"05-Sep-2023","EQ","8,582.00","8,600.00","8,448.20","8,582.55","8,454.95","8,454.85","8,490.61","8,600.00","6,005.00","210,587","1,788,013,087.80","25,185"
