"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","627.45","629.50","612.60","625.05","613.60","614.80","620.12","807.00","576.95","1,850,344","1,147,430,236.15","54,230"
"21-Sep-2023","EQ","627.00","635.00","622.10","622.50","625.50","625.05","627.50","807.00","576.95","3,925,418","2,463,192,111.25","103,899"
"20-Sep-2023","EQ","625.05","628.30","620.50","630.10","622.25","622.50","623.61","807.00","576.95","2,474,148","1,542,896,564.35","56,511"
"18-Sep-2023","EQ","634.65","639.05","628.00","634.65","628.00","630.10","634.17","807.00","576.95","2,579,565","1,635,886,547.10","41,982"
"15-Sep-2023","EQ","634.80","635.50","627.65","631.75","633.85","634.65","633.24","807.00","576.95","3,745,966","2,372,085,825.60","57,328"
"14-Sep-2023","EQ","610.95","633.50","610.00","608.30","631.80","631.75","627.67","807.00","576.95","9,184,356","5,764,778,189.85","155,178"
"13-Sep-2023","EQ","605.00","610.80","603.60","604.50","608.10","608.30","607.69","807.00","576.95","1,430,448","869,267,679.00","46,651"
"12-Sep-2023","EQ","621.95","622.35","602.35","617.95","604.90","604.50","609.45","807.00","576.95","2,923,292","1,781,593,310.65","58,835"
"11-Sep-2023","EQ","610.00","619.35","608.10","606.80","617.50","617.95","615.25","807.00","576.95","3,724,960","2,291,774,254.15","77,277"
"08-Sep-2023","EQ","614.45","614.90","606.00","612.30","606.00","606.80","610.48","807.00","576.95","2,137,652","1,304,994,518.50","44,486"
"07-Sep-2023","EQ","609.30","615.90","607.05","609.35","612.40","612.30","613.09","807.00","576.95","3,079,054","1,887,748,651.70","51,998"
"06-Sep-2023","EQ","609.00","611.00","603.85","608.05","609.30","609.35","607.75","807.00","576.95","2,896,499","1,760,354,013.70","60,049"
"05-Sep-2023","EQ","608.10","612.25","603.80","607.45","608.10","608.05","608.26","807.00","576.95","3,465,504","2,107,935,794.00","53,472"
"04-Sep-2023","EQ","605.00","608.85","599.25","603.00","608.50","607.45","604.84","807.00","576.95","4,215,928","2,549,960,615.05","57,640"
"01-Sep-2023","EQ","593.00","604.55","591.00","591.15","603.30","603.00","599.17","807.00","576.95","2,466,406","1,477,802,957.95","48,763"
"31-Aug-2023","EQ","601.95","602.10","590.25","599.90","592.00","591.15","592.80","807.00","576.95","7,321,307","4,340,055,485.45","98,790"
"30-Aug-2023","EQ","600.00","607.50","598.60","597.60","599.25","599.90","603.00","807.00","576.95","3,729,681","2,248,996,346.80","65,020"
"29-Aug-2023","EQ","589.50","601.00","589.00","585.15","599.45","597.60","596.15","807.00","576.95","6,318,164","3,766,599,787.55","95,692"
"28-Aug-2023","EQ","583.20","587.55","582.00","583.20","585.00","585.15","585.37","807.00","576.95","1,005,968","588,867,435.95","25,794"
"25-Aug-2023","EQ","585.00","588.75","580.00","586.40","582.60","583.20","583.80","807.00","576.95","1,132,264","661,011,802.45","31,585"
"24-Aug-2023","EQ","589.00","593.85","585.00","585.75","586.00","586.40","589.56","807.00","576.95","1,673,004","986,336,346.90","48,346"
