"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","424.40","426.75","416.60","428.95","418.50","418.50","420.35","443.75","352.00","9,909,130","4,165,330,761.50","159,688"
"21-Sep-2023","EQ","429.90","431.25","423.05","430.10","428.15","428.95","427.56","443.75","352.00","4,446,535","1,901,163,575.15","131,440"
"20-Sep-2023","EQ","434.25","436.85","429.05","436.10","430.00","430.10","432.84","443.75","352.00","4,551,350","1,969,992,006.40","99,754"
"18-Sep-2023","EQ","441.05","441.05","435.20","441.05","436.00","436.10","437.38","443.75","352.00","3,012,598","1,317,649,175.05","89,644"
"15-Sep-2023","EQ","439.80","443.75","438.25","436.45","440.50","441.05","440.99","443.75","352.00","9,917,938","4,373,663,863.40","109,608"
"14-Sep-2023","EQ","438.40","443.25","435.30","435.70","436.80","436.45","438.52","443.25","352.00","7,447,505","3,265,884,775.75","141,096"
"13-Sep-2023","EQ","434.95","437.95","431.50","435.00","435.25","435.70","435.68","441.50","352.00","3,722,835","1,621,965,393.95","89,889"
"12-Sep-2023","EQ","437.10","441.50","426.90","434.85","435.00","435.00","435.47","441.50","352.00","7,272,664","3,167,034,270.85","142,396"
"11-Sep-2023","EQ","433.00","437.50","430.10","430.00","434.40","434.85","434.97","437.50","352.00","4,126,657","1,794,977,418.90","104,547"
"08-Sep-2023","EQ","433.45","433.45","429.30","432.85","430.50","430.00","430.93","437.50","352.00","2,874,205","1,238,570,246.75","72,265"
"07-Sep-2023","EQ","429.95","433.70","426.75","429.30","433.20","432.85","431.34","437.50","352.00","4,661,325","2,010,597,936.20","80,116"
"06-Sep-2023","EQ","433.75","435.55","425.90","431.85","429.00","429.30","429.42","437.50","352.00","6,765,956","2,905,444,337.70","113,366"
"05-Sep-2023","EQ","435.80","437.50","430.30","434.10","431.80","431.85","433.80","437.50","352.00","8,986,713","3,898,472,298.20","119,690"
"04-Sep-2023","EQ","418.00","436.50","416.00","416.35","434.45","434.10","427.34","436.50","352.00","13,817,324","5,904,664,876.55","223,525"
"01-Sep-2023","EQ","407.95","417.75","407.50","408.40","416.70","416.35","413.12","426.00","352.00","4,238,065","1,750,823,973.65","97,133"
"31-Aug-2023","EQ","408.00","410.00","406.45","407.20","409.95","408.40","408.26","426.00","352.00","11,030,976","4,503,525,225.90","96,303"
"30-Aug-2023","EQ","410.00","410.20","406.65","408.10","406.95","407.20","408.74","426.00","352.00","2,009,091","821,201,454.45","60,881"
"29-Aug-2023","EQ","409.65","411.90","407.10","408.05","408.45","408.10","409.17","426.00","352.00","1,999,281","818,052,761.15","58,081"
"28-Aug-2023","EQ","411.45","412.45","407.65","409.70","408.00","408.05","409.23","426.00","352.00","1,700,987","696,097,112.55","51,292"
"25-Aug-2023","EQ","410.00","411.30","407.10","412.70","408.80","409.70","409.68","430.90","352.00","3,299,255","1,351,637,893.45","67,686"
"24-Aug-2023","EQ","418.75","420.00","412.00","415.25","413.10","412.70","415.93","430.90","352.00","2,888,478","1,201,398,589.65","64,921"
"23-Aug-2023","EQ","417.25","417.95","414.60","417.10","415.40","415.25","416.10","430.90","352.00","3,067,117","1,276,235,457.25","57,709"
"22-Aug-2023","EQ","415.00","418.10","412.75","414.60","417.35","417.10","415.61","430.90","352.00","3,175,120","1,319,606,248.30","65,506"
"21-Aug-2023","EQ","411.80","417.35","411.65","411.70","414.20","414.60","415.12","430.90","352.00","3,667,130","1,522,301,658.30","72,397"
"18-Aug-2023","EQ","415.05","416.35","408.00","417.55","411.50","411.70","410.93","444.90","352.00","5,301,196","2,178,436,296.30","100,194"
"17-Aug-2023","EQ","418.65","420.40","414.50","418.65","417.05","417.55","417.02","444.90","352.00","3,170,480","1,322,162,178.60","74,629"
"16-Aug-2023","EQ","414.15","420.20","414.00","415.15","418.00","418.65","418.54","444.90","352.00","4,065,890","1,701,756,027.60","76,525"
"14-Aug-2023","EQ","413.25","416.20","409.50","413.05","414.00","415.15","412.68","444.90","352.00","2,896,090","1,195,167,758.30","79,575"
"11-Aug-2023","EQ","418.65","422.15","412.35","418.65","413.15","413.05","415.68","444.90","352.00","3,785,734","1,573,664,689.65","76,499"
"10-Aug-2023","EQ","417.10","420.80","415.55","417.80","418.65","418.65","419.11","444.90","352.00","4,950,822","2,074,955,030.65","121,633"
"09-Aug-2023","EQ","415.50","418.50","412.55","416.35","417.50","417.80","415.85","444.90","352.00","4,654,694","1,935,648,288.30","68,131"
"08-Aug-2023","EQ","412.40","417.50","409.95","411.15","416.50","416.35","414.97","444.90","352.00","7,862,142","3,262,513,903.35","117,427"
"07-Aug-2023","EQ","409.95","413.00","408.05","408.85","411.50","411.15","410.89","444.90","352.00","4,411,433","1,812,616,755.30","84,874"
"04-Aug-2023","EQ","400.85","410.00","400.30","399.65","408.80","408.85","407.87","444.90","352.00","6,240,770","2,545,454,016.60","97,568"
"03-Aug-2023","EQ","402.00","402.00","397.05","402.80","399.90","399.65","399.05","444.90","352.00","3,410,849","1,361,101,830.70","80,467"
"02-Aug-2023","EQ","405.90","405.90","399.00","406.95","402.80","402.80","402.69","444.90","352.00","2,699,809","1,087,189,943.35","72,244"
"01-Aug-2023","EQ","405.50","408.00","404.05","405.05","406.45","406.95","405.98","444.90","352.00","3,590,902","1,457,832,099.50","80,168"
"31-Jul-2023","EQ","399.75","406.00","398.95","398.75","405.05","405.05","403.18","444.90","352.00","3,381,090","1,363,200,928.10","73,359"
"28-Jul-2023","EQ","401.05","402.85","396.55","399.95","399.10","398.75","399.17","444.90","352.00","3,380,030","1,349,219,640.95","72,087"
"27-Jul-2023","EQ","404.00","406.60","399.00","402.75","401.50","399.95","402.11","444.90","352.00","4,474,179","1,799,105,801.45","95,482"
"26-Jul-2023","EQ","403.50","403.60","401.40","400.40","402.60","402.75","402.67","444.90","352.00","2,664,831","1,073,054,833.75","74,079"
"25-Jul-2023","EQ","405.50","405.50","400.00","404.05","400.85","400.40","402.39","444.90","352.00","3,229,100","1,299,354,236.70","84,846"
"24-Jul-2023","EQ","406.30","408.00","403.50","404.70","403.80","404.05","405.73","444.90","352.00","3,404,230","1,381,202,063.05","75,450"
"21-Jul-2023","EQ","405.00","414.35","401.00","417.65","404.90","404.70","407.43","444.90","352.00","11,757,106","4,790,244,430.95","144,842"
"20-Jul-2023","EQ","418.50","420.00","414.65","417.95","417.25","417.65","416.63","444.90","352.00","4,127,855","1,719,801,382.90","81,392"
"19-Jul-2023","EQ","420.00","421.00","414.15","417.20","418.20","417.95","418.04","444.90","352.00","5,415,495","2,263,887,017.90","103,582"
"18-Jul-2023","EQ","418.00","420.30","412.25","415.25","417.15","417.20","416.42","444.90","352.00","8,884,513","3,699,653,314.15","134,339"
"17-Jul-2023","EQ","407.00","424.95","405.80","405.05","415.90","415.25","417.49","444.90","352.00","22,879,930","9,552,154,932.85","269,358"
"14-Jul-2023","EQ","394.75","405.50","392.35","394.30","404.85","405.05","400.57","444.90","352.00","15,683,392","6,282,263,780.15","200,736"
"13-Jul-2023","EQ","391.85","398.60","391.25","391.85","394.80","394.30","395.85","444.90","352.00","6,797,863","2,690,917,603.05","111,401"
"12-Jul-2023","EQ","393.90","393.95","390.35","392.05","391.00","391.85","392.29","444.90","352.00","3,424,110","1,343,255,403.30","80,961"
"11-Jul-2023","EQ","390.00","392.80","387.85","389.95","392.00","392.05","390.12","444.90","352.00","4,817,419","1,879,388,336.65","116,428"
"10-Jul-2023","EQ","395.85","395.85","389.65","395.85","390.00","389.95","391.80","444.90","352.00","2,815,200","1,102,982,706.90","83,757"
"07-Jul-2023","EQ","395.00","397.45","393.20","396.20","395.80","395.85","395.39","444.90","352.00","4,532,610","1,792,141,934.35","108,448"
"06-Jul-2023","EQ","394.50","396.95","393.15","393.90","395.95","396.20","395.01","444.90","352.00","4,518,621","1,784,914,962.65","79,742"
"05-Jul-2023","EQ","394.10","395.40","391.85","395.95","393.85","393.90","393.66","444.90","352.00","6,183,479","2,434,196,503.80","118,266"
"04-Jul-2023","EQ","393.75","397.35","393.00","391.60","396.00","395.95","394.90","444.90","352.00","6,308,617","2,491,301,540.00","117,122"
"03-Jul-2023","EQ","393.90","393.90","389.50","389.15","392.20","391.60","391.11","444.90","352.00","4,518,462","1,767,228,443.15","76,627"
"30-Jun-2023","EQ","385.00","389.75","383.00","381.70","389.05","389.15","387.30","444.90","352.00","4,535,405","1,756,573,651.10","75,164"
"28-Jun-2023","EQ","383.75","383.75","380.80","382.60","382.30","381.70","381.90","444.90","352.00","3,570,056","1,363,400,368.10","70,654"
"27-Jun-2023","EQ","384.25","384.25","381.50","380.90","382.40","382.60","382.79","444.90","352.00","2,940,375","1,125,540,220.10","40,083"
"26-Jun-2023","EQ","380.00","381.90","379.05","379.95","380.95","380.90","380.73","444.90","352.00","2,050,200","780,582,544.30","47,564"
"23-Jun-2023","EQ","382.30","383.00","378.10","382.30","379.95","379.95","380.52","444.90","352.00","3,235,203","1,231,071,258.20","68,179"
"22-Jun-2023","EQ","386.00","386.00","381.60","385.50","382.85","382.30","383.24","444.90","352.00","4,678,087","1,792,812,845.20","69,473"
"21-Jun-2023","EQ","384.25","387.25","383.10","382.50","386.00","385.50","385.54","444.90","352.00","4,414,632","1,702,038,567.85","81,348"
"20-Jun-2023","EQ","381.80","384.95","380.60","380.15","383.35","382.50","382.82","444.90","352.00","5,901,329","2,259,166,985.10","93,420"
"19-Jun-2023","EQ","382.00","382.00","377.10","381.30","380.20","380.15","379.58","444.90","352.00","5,314,720","2,017,347,500.55","91,249"
"16-Jun-2023","EQ","385.55","388.65","379.15","388.95","380.40","381.30","382.64","453.70","352.00","20,555,324","7,865,200,135.80","204,749"
"15-Jun-2023","EQ","397.10","397.45","388.25","396.45","388.80","388.95","391.44","453.70","352.00","14,351,160","5,617,591,712.45","165,386"
"14-Jun-2023","EQ","396.30","397.15","392.70","395.55","397.10","396.45","395.06","453.70","352.00","9,256,282","3,656,777,068.15","107,916"
"13-Jun-2023","EQ","397.95","398.50","394.50","395.60","395.25","395.55","395.73","453.70","352.00","6,508,093","2,575,439,247.45","91,010"
"12-Jun-2023","EQ","399.80","399.80","394.60","397.30","395.65","395.60","397.06","453.70","352.00","5,986,811","2,377,135,110.15","95,232"
"09-Jun-2023","EQ","399.45","400.35","396.05","399.55","397.25","397.30","397.52","476.15","352.00","6,009,116","2,388,760,106.00","101,103"
"08-Jun-2023","EQ","404.10","404.75","398.75","402.80","399.95","399.55","400.27","476.15","352.00","5,307,526","2,124,432,474.40","83,358"
"07-Jun-2023","EQ","402.40","403.60","401.00","399.95","403.60","402.80","402.52","476.15","352.00","4,107,930","1,653,524,386.75","64,560"
"06-Jun-2023","EQ","403.35","403.35","395.55","404.20","400.00","399.95","398.98","476.15","352.00","6,853,700","2,734,492,969.80","86,185"
"05-Jun-2023","EQ","408.90","409.75","403.70","404.95","404.55","404.20","405.51","476.15","352.00","3,626,430","1,470,554,210.75","65,499"
"02-Jun-2023","EQ","408.70","409.80","404.00","407.15","405.35","404.95","406.53","488.00","352.00","3,160,377","1,284,773,695.60","67,783"
"01-Jun-2023","EQ","405.00","408.00","404.05","403.65","407.40","407.15","406.86","488.00","352.00","3,532,742","1,437,320,552.70","59,327"
"31-May-2023","EQ","401.75","404.80","400.50","402.50","403.90","403.65","403.43","488.00","352.00","5,891,791","2,376,934,523.20","61,934"
"30-May-2023","EQ","400.00","403.85","399.45","399.80","403.00","402.50","402.23","488.00","352.00","3,689,486","1,484,010,896.85","76,385"
"29-May-2023","EQ","404.00","406.00","399.35","401.70","400.00","399.80","401.85","488.00","352.00","3,979,654","1,599,237,603.15","82,196"
"26-May-2023","EQ","395.15","402.55","395.00","394.10","401.05","401.70","399.88","488.00","352.00","3,963,090","1,584,753,034.70","65,343"
